bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts
Rasikh Salam,GT,1,24,12,4,2,2,4,4,0,0,0,0,12.0,3.0,3.0,33.33,1,1,0
R Ravindra,RR,1,38,24,3,4,2,10,7,0,1,0,0,9.5,8.0,4.0,41.67,1,0,0
Yash Thakur,PBKS,1,27,24,2,2,1,9,11,1,0,0,0,6.75,12.0,8.0,37.5,0,0,0
KK Ahmed,GT,1,22,18,2,1,2,11,2,2,0,0,0,7.33,9.0,6.0,61.11,0,0,0
CV Varun,PBKS,1,32,24,2,4,1,10,8,1,0,0,0,8.0,12.0,4.8,41.67,0,0,0
HV Patel,PBKS,1,8,12,1,0,0,4,8,0,0,0,0,4.0,12.0,inf,33.33,0,0,0
KV Sharma,RR,1,25,24,1,1,1,8,13,1,0,0,0,6.25,24.0,12.0,33.33,0,0,0
Ravi Bishnoi,PBKS,1,21,18,1,2,0,5,10,0,1,0,0,7.0,18.0,9.0,27.78,0,0,0
K Kartikeya,GT,1,35,24,1,2,1,7,9,4,1,1,0,8.75,24.0,8.0,29.17,0,0,0
T Stubbs,SRH,1,44,24,1,0,4,7,8,4,1,0,1,11.0,24.0,6.0,29.17,0,0,0
MP Stoinis,PBKS,1,45,24,1,4,2,4,11,3,0,0,0,11.25,24.0,4.0,16.67,0,0,0
GJ Maxwell,RR,1,27,12,1,1,2,2,5,1,1,1,0,13.5,12.0,4.0,16.67,0,0,0
S Dube,RR,1,48,18,1,4,4,3,7,0,0,1,0,16.0,18.0,2.25,16.67,0,0,0
LS Livingstone,SRH,1,19,18,0,1,0,5,10,1,1,0,0,6.33,inf,18.0,27.78,0,0,0
R Tewatia,RR,1,26,24,0,1,1,10,9,2,1,0,0,6.5,inf,12.0,41.67,0,0,0
JR Hazlewood,RR,1,26,18,0,4,0,6,7,1,0,1,0,8.67,inf,4.5,33.33,0,0,0
Naman Dhir,GT,1,32,19,0,6,0,8,2,3,0,0,0,10.11,inf,3.17,42.11,0,0,0
KH Pandya,SRH,1,32,18,0,4,0,3,8,2,1,1,0,10.67,inf,4.5,16.67,0,0,0
Rashid Khan,GT,1,34,18,0,2,3,5,8,0,0,0,0,11.33,inf,3.6,27.78,0,0,0
AK Markram,SRH,1,35,18,0,2,1,2,9,2,2,2,0,11.67,inf,6.0,11.11,0,0,0
A Badoni,SRH,1,47,24,0,4,3,6,9,2,0,0,0,11.75,inf,3.43,25.0,0,0,0
Nithish Kumar Reddy,GT,1,25,12,0,2,2,3,5,0,0,0,0,12.5,inf,3.0,25.0,0,0,0
PJ Cummins,PBKS,1,39,18,0,4,2,2,9,1,0,0,0,13.0,inf,3.0,11.11,0,0,0
VR Iyer,SRH,1,41,18,0,3,2,1,9,2,1,1,0,13.67,inf,3.6,5.56,0,0,0
