partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
RD Gaikwad  - Tilak Varma,CSK,175,111,2,16,5,157.66,87.5,5.29
Abhishek Sharma  - MJ Owen,MI,167,98,0,13,6,170.41,inf,5.16
KA Pollard  - WG Jacks,RR,155,86,1,11,7,180.23,155.0,4.78
Naman Dhir  - SV Samson,GT,117,78,2,13,4,150.0,58.5,4.59
DR Mousley  - HH Pandya,LSG,113,59,2,12,3,191.53,56.5,3.93
Sameer Rizvi  - V Kohli,LSG,107,69,1,8,3,155.07,107.0,6.27
Ajay Rohera  - V Kohli,LSG,103,51,3,19,2,201.96,34.33,2.43
D Brevis  - R Parag,GT,102,56,0,7,5,182.14,inf,4.67
PD Salt  - TL Seifert,PBKS,101,55,2,11,4,183.64,50.5,3.67
D Brevis  - SV Samson,GT,94,67,1,8,2,140.3,94.0,6.7
N Sindhu  - SA Yadav,DC,93,59,2,10,3,157.63,46.5,4.54
FH Allen  - P Simran Singh,SRH,87,53,2,11,3,164.15,43.5,3.79
PD Salt  - V Suryavanshi,PBKS,82,43,2,12,1,190.7,41.0,3.31
Akshat Raghuwanshi  - Urvil Patel,MI,81,39,1,5,7,207.69,81.0,3.25
AD Russell  - Parth Chandan,DC,80,38,2,6,4,210.53,40.0,3.8
Shubman Gill  - V Kohli,LSG,80,36,3,9,4,222.22,26.67,2.77
R Parag  - V Nigam,GT,79,30,1,6,6,263.33,79.0,2.5
KK Nair  - Tanush Kotian,CSK,79,56,1,6,2,141.07,79.0,7.0
MS Bhandage  - Shashank Singh,PBKS,78,35,2,8,4,222.86,39.0,2.92
Ishan Kishan  - TM Head,KKR,78,48,2,9,1,162.5,39.0,4.8
AR Patel  - Shashank Singh,PBKS,75,34,1,6,6,220.59,75.0,2.83
Abhishek Pathak  - JM Sharma,RCB,74,54,2,6,2,137.04,37.0,6.75
KL Rahul  - Kartik Sharma,SRH,73,50,1,1,2,146.0,73.0,16.67
R Smaran  - S Dube,RR,72,33,1,5,5,218.18,72.0,3.3
AD Russell  - JC Buttler,DC,72,42,0,2,6,171.43,inf,5.25
Abhishek Sharma  - Urvil Patel,MI,67,39,1,8,2,171.79,67.0,3.9
Aniket Verma  - D Padikkal,RR,63,38,1,12,0,165.79,63.0,3.17
GJ Maxwell  - N Sindhu,DC,62,27,1,8,2,229.63,62.0,2.7
Karan Shinde  - SP Narine,SRH,60,34,1,3,2,176.47,60.0,6.8
JP Inglis  - Naman Dhir,GT,58,25,1,9,2,232.0,58.0,2.27
GD Phillips  - S Dube,RR,58,33,1,4,2,175.76,58.0,5.5
KK Nair  - Tilak Varma,CSK,57,33,3,7,2,172.73,19.0,3.67
TP Ura  - Vansh Bedi,PBKS,56,44,2,4,0,127.27,28.0,11.0
Akhil Singh Rawat  - Anmolpreet Singh,KKR,53,35,1,6,1,151.43,53.0,5.0
Aniket Verma  - RD Rickelton,RR,51,25,2,6,3,204.0,25.5,2.78
Chirag Jani  - JM Sharma,RCB,51,26,0,5,3,196.15,inf,3.25
KK Nair  - Sachin Baby,CSK,50,33,1,1,3,151.52,50.0,8.25
Aniket Verma  - YBK Jaiswal,RR,50,23,1,8,2,217.39,50.0,2.3
N Sindhu  - Ritik Vats,DC,49,37,2,2,2,132.43,24.5,9.25
PWH de Silva  - Priyansh Arya,RCB,49,24,2,6,3,204.17,24.5,2.67
JM Vince  - Tilak Varma,CSK,47,33,1,3,3,142.42,47.0,5.5
TL Seifert  - V Suryavanshi,PBKS,46,34,2,0,2,135.29,23.0,17.0
C Green  - MR Marsh,KKR,44,33,1,2,2,133.33,44.0,8.25
Abhishek Pathak  - RM Patidar,RCB,44,35,1,2,1,125.71,44.0,11.67
D Padikkal  - S Dube,RR,43,34,1,3,1,126.47,43.0,8.5
GJ Maxwell  - Ritik Vats,DC,43,25,1,8,0,172.0,43.0,3.12
Aniket Verma  - S Dube,RR,41,30,1,1,1,136.67,41.0,15.0
MR Marsh  - TM Head,KKR,40,24,1,5,1,166.67,40.0,4.0
Abishek Porel  - Sameer Rizvi,LSG,38,29,2,3,0,131.03,19.0,9.67
Sachin Baby  - T Stubbs,CSK,37,23,2,2,3,160.87,18.5,4.6
Abhishek Pathak  - S Gill,RCB,37,31,1,2,1,119.35,37.0,10.33
Abishek Porel  - Ajay Rohera,LSG,36,22,2,3,1,163.64,18.0,5.5
PD Salt  - Vansh Bedi,PBKS,34,21,1,2,2,161.9,34.0,5.25
CH Gayle  - Priyansh Arya,RCB,33,21,2,2,2,157.14,16.5,5.25
D Brevis  - JP Inglis,GT,33,27,1,2,1,122.22,33.0,9.0
GJ Maxwell  - Tarang Gohel,DC,33,22,2,5,0,150.0,16.5,4.4
Shashank Singh  - TL Seifert,PBKS,33,25,1,2,0,132.0,33.0,12.5
FH Allen  - KL Rahul,SRH,31,29,2,2,0,106.9,15.5,14.5
RK Singh  - Shashank Singh,PBKS,30,20,1,3,1,150.0,30.0,5.0
Ishan Kishan  - SS Iyer,KKR,30,21,1,3,0,142.86,30.0,7.0
D Brevis  - Naman Dhir,GT,28,24,1,0,2,116.67,28.0,12.0
Shashank Singh  - TP Ura,PBKS,24,22,2,1,0,109.09,12.0,22.0
AD Russell  - SA Yadav,DC,23,22,1,1,1,104.55,23.0,11.0
Anmolpreet Singh  - Ishan Kishan,KKR,20,23,1,1,0,86.96,20.0,23.0
Aniket Verma  - WG Jacks,RR,17,22,2,2,0,77.27,8.5,11.0
