bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
GF Linde,GT,3,119,72,7,10,6,20,1,0,9.92,10.29,4.5,27.78,179.84,3-23 (24),2-0-0
Mohammad Amir,LSG,3,120,72,7,11,6,28,2,0,10.0,10.29,4.24,38.89,184.87,4-33 (24),1-1-0
CV Varun,PBKS,3,103,72,6,2,7,23,2,1,8.58,12.0,8.0,31.94,183.49,3-32 (24),1-0-0
Atharva Ankolekar,RR,3,124,72,6,11,6,19,0,0,10.33,12.0,4.24,26.39,157.63,3-46 (24),1-0-0
A Zampa,SRH,3,80,72,5,5,2,26,0,0,6.67,14.4,10.29,36.11,183.08,3-25 (24),1-0-0
NT Ellis,SRH,2,74,48,5,7,3,16,1,0,9.25,9.6,4.8,33.33,166.14,3-37 (24),1-0-0
SM Curran,RR,3,113,72,5,9,6,23,0,0,9.42,14.4,4.8,31.94,145.75,2-27 (24),0-0-0
Tanush Kotian,CSK,3,135,66,5,20,3,16,1,0,12.27,13.2,2.87,24.24,130.92,2-32 (18),0-0-0
HV Patel,PBKS,3,89,68,4,3,2,12,2,0,7.85,17.0,13.6,17.65,168.99,3-21 (20),1-0-0
Prashant Solanki,CSK,3,106,72,4,7,4,16,2,0,8.83,18.0,6.55,22.22,131.43,3-23 (24),1-0-0
JJ Bumrah,DC,2,72,48,4,8,1,13,2,0,9.0,12.0,5.33,27.08,143.18,4-27 (24),1-1-0
Sufiyan Muqeem,GT,3,112,72,4,12,5,27,0,0,9.33,18.0,4.24,37.5,126.7,2-36 (24),0-0-0
Shivam Shukla,MI,2,79,48,4,5,4,9,3,0,9.88,12.0,5.33,18.75,136.44,2-37 (24),0-0-0
M Markande,SRH,1,20,24,3,1,0,12,0,0,5.0,8.0,24.0,50.0,0.0,3-20 (24),1-0-0
T Natarajan,RR,1,28,24,3,2,1,11,0,0,7.0,8.0,8.0,45.83,0.0,3-28 (24),1-0-0
V Nigam,GT,3,97,72,3,7,3,17,0,0,8.08,24.0,7.2,23.61,117.63,1-20 (24),0-0-0
Shahbaz Ahmed,KKR,3,106,72,3,13,0,14,1,0,8.83,24.0,5.54,19.44,105.77,3-28 (24),1-0-0
R Sai Kishore,GT,1,38,24,3,2,3,7,0,0,9.5,8.0,4.8,29.17,0.0,3-38 (24),1-0-0
Chirag Jani,RCB,3,111,66,3,11,4,19,2,0,10.09,22.0,4.4,28.79,104.66,2-40 (24),0-0-0
Gurnoor Brar,DC,2,74,42,3,9,2,10,0,0,10.57,14.0,3.82,23.81,112.81,2-34 (18),0-0-0
Rasikh Salam,SRH,3,137,68,3,20,4,18,3,1,12.09,22.67,2.83,26.47,90.86,1-40 (20),0-0-0
Tanay Thyagarajan,CSK,1,20,24,2,1,0,10,0,0,5.0,12.0,24.0,41.67,0.0,2-20 (24),0-0-0
H Ssenyondo,LSG,1,24,24,2,2,1,12,0,0,6.0,12.0,8.0,50.0,0.0,2-24 (24),0-0-0
KH Pandya,SRH,1,19,18,2,2,0,9,1,0,6.33,9.0,9.0,50.0,0.0,2-19 (18),0-0-0
Arshdeep Singh,LSG,1,29,24,2,3,0,6,0,0,7.25,12.0,8.0,25.0,0.0,2-29 (24),0-0-0
DS Airee,DC,1,30,24,2,2,1,8,0,0,7.5,12.0,8.0,33.33,0.0,2-30 (24),0-0-0
Tripuresh Singh,SRH,2,60,48,2,5,1,18,1,0,7.5,24.0,8.0,37.5,119.92,2-21 (24),0-0-0
MP Yadav,KKR,1,23,18,2,1,1,5,0,0,7.67,9.0,9.0,27.78,0.0,2-23 (18),0-0-0
LS Livingstone,PBKS,1,16,12,2,2,0,3,0,0,8.0,6.0,6.0,25.0,0.0,2-16 (12),0-0-0
Karan Lal,RR,1,34,24,2,5,0,6,0,0,8.5,12.0,4.8,25.0,0.0,2-34 (24),0-0-0
S Lamichhane,MI,1,37,24,2,4,1,9,1,0,9.25,12.0,4.8,37.5,0.0,2-37 (24),0-0-0
PWH de Silva,RCB,3,103,66,2,7,3,13,1,0,9.36,33.0,6.6,19.7,92.41,1-34 (24),0-0-0
Washington Sundar,RCB,1,38,24,2,3,2,7,0,0,9.5,12.0,4.8,29.17,0.0,2-38 (24),0-0-0
AD Russell,DC,3,99,62,2,13,1,18,3,0,9.58,31.0,4.43,29.03,87.39,1-34 (20),0-0-0
Parth Chandan,DC,2,77,48,2,10,2,15,1,0,9.62,24.0,4.0,31.25,91.48,1-32 (24),0-0-0
JA Duffy,LSG,1,36,22,2,2,3,8,0,0,9.82,11.0,4.4,36.36,0.0,2-36 (22),0-0-0
