striker,batting_team,num_innings,fours,runs,strike_rate
GJ Maxwell,DC,3,19,132,209.52
Aniket Verma,RR,3,19,122,193.65
MJ Owen,MI,2,18,167,157.55
SV Samson,GT,3,15,140,147.37
V Kohli,LSG,3,15,107,140.79
Ajay Rohera,LSG,3,14,86,226.32
Urvil Patel,MI,3,14,124,206.67
Sameer Rizvi,LSG,3,13,114,203.57
Tilak Varma,CSK,3,13,137,173.42
FH Allen,SRH,3,13,124,158.97
DR Mousley,LSG,3,12,99,215.22
Ishan Kishan,KKR,3,12,104,160.0
Naman Dhir,GT,3,11,105,187.5
Abhishek Pathak,RCB,3,11,150,182.93
V Suryavanshi,PBKS,3,10,82,195.24
N Sindhu,DC,3,10,114,162.86
PD Salt,PBKS,3,10,103,156.06
Jay Gohil,MI,2,9,45,264.71
KK Nair,CSK,3,9,120,164.38
CH Gayle,RCB,3,9,95,158.33
Abhishek Sharma,MI,3,9,135,146.74
TM Head,KKR,3,9,81,144.64
D Brevis,GT,3,9,124,125.25
S Arora,KKR,1,8,94,191.84
S Dube,RR,2,8,134,183.56
HH Pandya,LSG,3,8,74,176.19
R Parag,GT,3,7,99,202.04
Priyansh Arya,RCB,3,7,48,171.43
WG Jacks,RR,2,7,104,170.49
D Padikkal,RR,3,7,60,133.33
RD Gaikwad,CSK,2,7,84,131.25
Shubman Gill,LSG,3,6,54,225.0
Akhil Singh Rawat,KKR,2,6,67,197.06
JP Inglis,GT,3,6,51,196.15
Shashank Singh,PBKS,3,6,108,174.19
MS Bhandage,PBKS,2,6,34,161.9
KA Pollard,RR,1,6,69,160.47
SA Yadav,DC,3,6,69,150.0
JM Sharma,RCB,3,6,71,144.9
TL Seifert,PBKS,3,6,69,132.69
YBK Jaiswal,RR,2,5,45,281.25
D Forrester,MI,1,5,27,270.0
VR Iyer,SRH,3,5,56,233.33
Akshat Raghuwanshi,MI,1,5,63,185.29
Tarang Gohel,DC,3,5,27,180.0
C Green,KKR,3,5,74,176.19
Tanush Kotian,CSK,2,5,55,166.67
Vansh Bedi,PBKS,3,5,66,153.49
Chirag Jani,RCB,3,5,50,138.89
MR Marsh,KKR,2,5,43,122.86
Anmolpreet Singh,KKR,2,5,42,116.67
AR Patel,PBKS,2,4,52,247.62
Parth Chandan,DC,2,4,55,203.7
Kartik Sharma,SRH,3,4,88,172.55
AD Russell,DC,3,4,92,170.37
T Stubbs,CSK,2,4,42,161.54
PWH de Silva,RCB,3,4,26,152.94
V Nigam,GT,1,3,45,264.71
Shubhang Hegde,LSG,2,3,21,262.5
WL Madsen,MI,1,3,36,200.0
GD Phillips,RR,1,3,39,195.0
SP Narine,SRH,3,3,75,178.57
BJ McMullen,RCB,1,3,22,169.23
RK Singh,PBKS,1,3,20,166.67
Shahbaz Ahmed,KKR,2,3,20,166.67
Karan Shinde,SRH,3,3,78,111.43
Abishek Porel,LSG,3,3,41,110.81
Dhruv Jurel,CSK,1,2,18,300.0
Sonu Yadav,CSK,1,2,10,200.0
R Smaran,RR,1,2,18,150.0
JC Buttler,DC,2,2,50,142.86
SS Iyer,KKR,3,2,23,135.29
TP Ura,PBKS,2,2,45,132.35
P Simran Singh,SRH,3,2,28,121.74
RM Patidar,RCB,2,2,23,121.05
Sachin Baby,CSK,2,2,30,120.0
KL Rahul,SRH,3,2,47,114.63
Praveen Dubey,MI,1,1,4,400.0
Tripuresh Singh,SRH,1,1,4,400.0
HV Patel,PBKS,2,1,4,200.0
RA Jadeja,CSK,2,1,11,157.14
N Pooran,MI,1,1,14,155.56
Washington Sundar,RCB,1,1,12,133.33
Ritik Vats,DC,3,1,38,122.58
JM Vince,CSK,1,1,18,120.0
KH Pandya,SRH,1,1,6,120.0
RD Rickelton,RR,2,1,14,116.67
RG Sharma,KKR,1,1,6,100.0
KA Maharaj,RCB,1,1,6,54.55
