batting_team,Bowl_Type,outs,avg,SR
CSK,Pace,7,30.29,151.43
CSK,Spin,12,29.42,163.43
DC,Pace,14,30.0,176.47
DC,Spin,8,24.62,164.17
GT,Pace,5,37.6,166.37
GT,Spin,7,55.57,169.87
KKR,Pace,8,30.38,168.75
KKR,Spin,11,30.91,157.41
LSG,Spin,8,38.38,182.74
LSG,Pace,13,23.23,177.65
MI,Pace,7,57.57,176.75
MI,Spin,4,56.5,182.26
PBKS,Pace,5,42.4,168.25
PBKS,Spin,16,23.75,162.39
RCB,Pace,8,30.25,172.86
RCB,Spin,16,17.62,134.29
RR,Pace,7,52.57,179.51
RR,Spin,6,43.83,182.64
SRH,Pace,8,38.62,171.67
SRH,Spin,9,23.22,135.71
