striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
MJ Owen,MI,2,2,167,157.55,1
S Dube,RR,2,2,134,183.56,0
Abhishek Pathak,RCB,3,1,150,182.93,1
SV Samson,GT,3,1,140,147.37,0
Tilak Varma,CSK,3,1,137,173.42,0
Abhishek Sharma,MI,3,1,135,146.74,0
GJ Maxwell,DC,3,1,132,209.52,0
Urvil Patel,MI,3,1,124,206.67,0
FH Allen,SRH,3,1,124,158.97,0
D Brevis,GT,3,1,124,125.25,0
Aniket Verma,RR,3,1,122,193.65,0
KK Nair,CSK,3,1,120,164.38,0
Sameer Rizvi,LSG,3,1,114,203.57,0
N Sindhu,DC,3,1,114,162.86,0
Shashank Singh,PBKS,3,1,108,174.19,0
Naman Dhir,GT,3,1,105,187.5,0
WG Jacks,RR,2,1,104,170.49,0
Ishan Kishan,KKR,3,1,104,160.0,0
PD Salt,PBKS,3,1,103,156.06,0
CH Gayle,RCB,3,1,95,158.33,0
S Arora,KKR,1,1,94,191.84,0
Kartik Sharma,SRH,3,1,88,172.55,0
RD Gaikwad,CSK,2,1,84,131.25,0
V Suryavanshi,PBKS,3,1,82,195.24,0
HH Pandya,LSG,3,1,74,176.19,0
KA Pollard,RR,1,1,69,160.47,0
TL Seifert,PBKS,3,1,69,132.69,0
Akshat Raghuwanshi,MI,1,1,63,185.29,0
VR Iyer,SRH,3,1,56,233.33,0
Tanush Kotian,CSK,2,1,55,166.67,0
