``` Player | TI | Team | Runs | I.Runs | B.Impact | Bowl | I.Wkts | Bo.Impact ```
``` AD Russell | 122.47 | DC | 43(26) | 48.2 | 57.33 | 2-34 | 2.91 | 65.14 ```
``` KL Rahul | 85.12 | SRH | 76(50) | 78.67 | 85.12 |  |  | 0.0 ```
``` BM Duckett | 80.74 | SRH | 75(51) | 76.68 | 80.74 |  |  | 0.0 ```
``` Kuldeep Yadav | 61.06 | SRH |  |  | 0.0 | 3-26 | 2.86 | 61.06 ```
``` MG Bracewell | 57.51 | DC | 22(11) | 25.02 | 30.33 | 1-15 | 1.31 | 27.18 ```
``` A Zampa | 50.53 | SRH |  |  | 0.0 | 2-32 | 2.68 | 50.53 ```
``` AK Markram | 43.5 | SRH | 1(1) | 0.38 | -1.1 | 1-18 | 1.98 | 44.6 ```
``` N Sindhu | 40.99 | DC | 40(28) | 40.36 | 40.99 |  |  | 0.0 ```
``` LS Livingstone | 29.6 | SRH | 19(13) | 19.23 | 19.8 | 1-28 | 0.75 | 9.8 ```
``` Akash Deep | 24.39 | SRH |  |  | 0.0 | 1-48 | 1.51 | 24.39 ```
``` Abishek Porel | 19.84 | DC | 18(10) | 18.67 | 19.84 |  |  | 0.0 ```
``` C Sakariya | 18.96 | SRH |  |  | 0.0 | 1-27 | 0.99 | 18.96 ```
``` Cheepurapalli Stephen | 17.59 | DC | 2(4) | 0.91 | -1.01 | 1-29 | 1.08 | 18.6 ```
``` P Simran Singh | 17.08 | SRH | 10(4) | 12.08 | 17.08 |  |  | 0.0 ```
``` Sikandar Raza | 16.47 | DC | 17(9) | 18.21 | 20.33 | 0-38 | 0.0 | -3.87 ```
``` V Kohli | 15.93 | DC | 17(13) | 16.61 | 15.93 |  |  | 0.0 ```
``` M Prasidh Krishna | 13.31 | DC | 0(3) | -0.64 | -1.77 | 0-31 | 0.0 | 15.08 ```
``` Urvil Patel | 12.27 | DC | 11(6) | 11.46 | 12.27 |  |  | 0.0 ```
``` SA Yadav | 10.23 | DC | 6(2) | 7.54 | 10.23 |  |  | 0.0 ```
``` VR Iyer | -1.81 | SRH | 0(1) | -0.53 | -1.81 |  |  | 0.0 ```
``` Mustafizur Rahman | -6.74 | DC | 0(1) | -0.64 | -1.76 | 0-38 | 0.0 | -4.98 ```
