batting_team,Bowl_Type,outs,avg,SR
CSK,Pace,40,29.75,169.27
CSK,Spin,55,26.65,156.46
DC,Pace,51,27.12,177.54
DC,Spin,51,29.14,164.2
GT,Pace,55,28.8,168.51
GT,Spin,52,30.12,172.09
KKR,Pace,61,20.05,145.42
KKR,Spin,45,26.62,157.22
LSG,Spin,43,28.77,162.76
LSG,Pace,42,35.36,170.3
MI,Pace,48,24.0,156.52
MI,Spin,54,26.35,158.46
PBKS,Pace,49,25.12,150.31
PBKS,Spin,39,28.18,161.62
RCB,Pace,70,27.97,173.12
RCB,Spin,31,44.26,179.11
RR,Pace,38,32.82,173.92
RR,Spin,57,21.4,150.99
SRH,Pace,49,32.96,178.26
SRH,Spin,43,36.98,170.97
