striker,batting_team,num_innings,sixes,runs,strike_rate
KK Nair,CSK,13,28,514,176.03
CH Gayle,RCB,13,27,749,191.07
Shubman Gill,LSG,14,26,769,188.94
N Sindhu,DC,15,24,690,196.02
Kartik Sharma,SRH,15,24,402,188.73
GJ Maxwell,DC,15,23,719,199.72
S Dube,RR,14,23,599,163.66
Ishan Kishan,KKR,14,22,568,155.62
VR Iyer,SRH,13,21,433,198.62
V Nigam,GT,15,21,291,195.3
Naman Dhir,GT,16,21,721,172.49
P Simran Singh,SRH,15,21,767,170.44
V Suryavanshi,PBKS,14,21,717,161.49
Urvil Patel,MI,14,21,665,145.83
PWH de Silva,RCB,14,20,347,189.62
RG Sharma,KKR,13,20,321,179.33
R Parag,GT,15,20,403,163.82
SV Samson,GT,16,19,478,191.97
Aniket Verma,RR,13,19,507,189.18
Tilak Varma,CSK,14,19,548,167.07
Abhishek Pathak,RCB,12,18,388,169.43
RM Patidar,RCB,10,17,380,197.92
GD Phillips,RR,11,17,279,192.41
Abishek Porel,LSG,13,17,377,172.15
FH Allen,LSG,10,17,389,158.13
JP Inglis,GT,15,16,565,165.69
H Klaasen,CSK,10,16,338,153.64
Tushar Raheja,MI,12,15,407,188.43
Tanush Kotian,CSK,13,14,169,248.53
YBK Jaiswal,RR,14,14,319,189.88
Sahil Parakh,SRH,11,14,383,162.29
JM Sharma,RCB,14,14,260,159.51
DR Mousley,LSG,13,14,387,146.04
Salil Arora,RCB,13,13,317,195.68
KL Rahul,SRH,13,13,577,164.86
WG Jacks,LSG,11,13,264,138.22
Atharva Taide,RCB,7,12,249,161.69
SA Yadav,DC,12,11,280,180.65
RD Gaikwad,CSK,12,11,340,165.85
Tarang Gohel,DC,15,11,400,164.61
MR Marsh,MI,9,11,264,163.98
Abhishek Sharma,MI,13,10,356,197.78
Smaran Ravichandran,MI,9,10,233,146.54
J Fraser-McGurk,KKR,9,9,219,221.21
HH Pandya,SRH,10,9,171,206.02
N Pooran,MI,9,9,178,183.51
Vansh Bedi,PBKS,12,9,229,183.2
Chirag Jani,RCB,9,8,122,190.62
Shashank Singh,PBKS,11,8,196,158.06
C Green,KKR,13,8,316,134.47
PD Salt,RR,10,8,203,129.3
D Wiese,KKR,9,7,129,195.45
Sameer Rizvi,LSG,13,7,150,192.31
TL Seifert,PBKS,6,7,194,168.7
PHKD Mendis,PBKS,7,7,192,156.1
