striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
Shubman Gill,LSG,14,8,769,188.94,2
P Simran Singh,SRH,15,8,767,170.44,0
Naman Dhir,GT,16,8,721,172.49,0
CH Gayle,RCB,13,7,749,191.07,3
GJ Maxwell,DC,15,7,719,199.72,1
N Sindhu,DC,15,7,690,196.02,1
Urvil Patel,MI,14,7,665,145.83,0
V Suryavanshi,PBKS,14,6,717,161.49,1
S Dube,RR,14,6,599,163.66,0
KL Rahul,SRH,13,6,577,164.86,0
JP Inglis,GT,15,5,565,165.69,0
Tilak Varma,CSK,14,5,548,167.07,1
Ishan Kishan,KKR,14,4,568,155.62,1
SV Samson,GT,16,4,478,191.97,0
FH Allen,LSG,10,4,389,158.13,0
Abhishek Pathak,RCB,12,4,388,169.43,0
Sahil Parakh,SRH,11,4,383,162.29,0
C Green,KKR,13,4,316,134.47,0
KK Nair,CSK,13,3,514,176.03,0
Aniket Verma,RR,13,3,507,189.18,0
VR Iyer,SRH,13,3,433,198.62,0
RM Patidar,RCB,10,3,380,197.92,1
B Sai Sudharsan,CSK,14,3,367,146.22,0
Abhishek Sharma,MI,13,3,356,197.78,0
PWH de Silva,RCB,14,3,347,189.62,0
H Klaasen,CSK,10,3,338,153.64,0
SA Yadav,DC,12,3,280,180.65,0
R Parag,GT,15,2,403,163.82,0
Kartik Sharma,SRH,15,2,402,188.73,0
Tarang Gohel,DC,15,2,400,164.61,0
DR Mousley,LSG,13,2,387,146.04,0
Abishek Porel,LSG,13,2,377,172.15,0
RG Sharma,KKR,13,2,321,179.33,0
YBK Jaiswal,RR,14,2,319,189.88,0
GD Phillips,RR,11,2,279,192.41,0
RD Rickelton,RR,11,2,270,148.35,0
MR Marsh,MI,9,2,264,163.98,0
Atharva Taide,RCB,7,2,249,161.69,0
J Fraser-McGurk,KKR,9,2,219,221.21,0
PD Salt,RR,10,2,203,129.3,0
Tushar Raheja,MI,12,1,407,188.43,0
RD Gaikwad,CSK,12,1,340,165.85,0
Salil Arora,RCB,13,1,317,195.68,0
WG Jacks,LSG,11,1,264,138.22,0
Priyansh Arya,RCB,8,1,239,189.68,0
Smaran Ravichandran,MI,9,1,233,146.54,0
Vansh Bedi,PBKS,12,1,229,183.2,0
TL Seifert,PBKS,6,1,194,168.7,0
N Rana,PBKS,8,1,190,134.75,0
SS Iyer,MI,9,1,168,147.37,0
Rohan Kunnummal,KKR,6,1,167,159.05,0
Chirag Jani,RCB,9,1,122,190.62,0
D Brevis,GT,5,1,112,169.7,0
RR Rossouw,PBKS,5,1,112,113.13,0
TP Ura,PBKS,5,1,100,185.19,0
F du Plessis,CSK,3,1,96,133.33,0
