bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
JJ Bumrah,DC,12,381,249,26,23,17,63,8,0,9.18,9.58,6.22,25.3,420.12,6-29 (23),5-2-1
NT Ellis,SRH,12,458,276,23,41,18,81,7,0,9.96,12.0,4.68,29.35,360.97,4-27 (24),5-1-0
Arshdeep Singh,LSG,13,516,294,23,59,18,91,9,0,10.53,12.78,3.82,30.95,350.04,4-38 (24),5-2-0
GF Linde,GT,9,314,210,22,31,11,74,9,0,8.97,9.55,5.0,35.24,371.4,4-19 (24),5-3-0
B Kumar,KKR,11,306,191,22,34,9,67,9,0,9.61,8.68,4.44,35.08,373.26,5-21 (23),2-1-1
AK Markram,DC,8,215,145,20,23,6,44,7,1,8.9,7.25,5.0,30.34,364.66,6-40 (22),4-1-1
Sufiyan Muqeem,GT,10,358,227,20,22,17,67,8,1,9.46,11.35,5.82,29.52,337.44,3-34 (22),2-0-0
Karan Lal,RR,10,261,194,18,9,16,63,3,0,8.07,10.78,7.76,32.47,331.81,3-0 (8),2-0-0
Harsh Dubey,DC,8,219,156,18,9,12,58,9,0,8.42,8.67,7.43,37.18,345.75,4-25 (24),3-1-0
Geet Puri,CSK,5,202,112,17,20,12,46,4,0,10.82,6.59,3.5,41.07,328.76,5-35 (24),4-2-1
JJ Smit,PBKS,8,255,192,16,24,9,76,1,0,7.97,12.0,5.82,39.58,296.56,4-13 (24),4-1-0
H Ssenyondo,LSG,8,249,181,16,10,12,61,4,0,8.25,11.31,8.23,33.7,309.2,4-21 (24),3-2-0
A Zampa,SRH,13,410,294,16,39,11,96,6,0,8.37,18.38,5.88,32.65,272.89,3-17 (24),1-0-0
Mohammad Ghazanfar,RR,7,209,138,16,16,7,43,4,0,9.09,8.62,6.0,31.16,310.2,4-8 (12),2-1-0
HJ Manenti,RCB,6,238,130,16,29,9,45,3,1,10.98,8.12,3.42,34.62,296.81,4-41 (24),4-2-0
AR Ramjani,PBKS,11,342,255,14,21,19,109,8,0,8.05,18.21,6.38,42.75,257.68,3-14 (24),3-0-0
Abrar Ahmed,RCB,6,239,142,14,22,12,49,2,0,10.1,10.14,4.18,34.51,264.32,4-18 (24),2-1-0
Fazalhaq Farooqi,CSK,13,399,306,13,29,12,97,6,0,7.82,23.54,7.46,31.7,239.6,3-33 (24),1-0-0
SS Ghosh,RCB,6,206,138,13,19,8,49,5,1,8.96,10.62,5.11,35.51,258.85,4-20 (18),2-1-0
Harshit Rana,GT,8,295,186,13,34,7,58,8,0,9.52,14.31,4.54,31.18,237.35,5-18 (24),2-1-1
Ehsan Khan,MI,10,378,228,13,27,21,66,2,0,9.95,17.54,4.75,28.95,224.93,3-33 (24),2-0-0
MP Yadav,PBKS,12,424,246,13,39,18,67,5,1,10.34,18.92,4.32,27.24,217.79,3-45 (24),1-0-0
Kuldeep Yadav,LSG,7,227,162,12,17,9,48,4,0,8.41,13.5,6.23,29.63,239.11,4-36 (24),1-1-0
SH Johnson,RCB,7,262,150,12,28,12,50,5,0,10.48,12.5,3.75,33.33,225.29,4-45 (24),2-1-0
J Overton,GT,6,217,138,11,13,11,34,3,0,9.43,12.55,5.75,24.64,222.73,3-36 (24),2-0-0
PWH de Silva,RCB,12,467,276,11,43,16,59,8,0,10.15,25.09,4.68,21.38,184.76,3-23 (24),1-0-0
Pulkit Narang,KKR,10,277,216,10,17,8,59,3,0,7.69,21.6,8.64,27.31,212.49,2-20 (24),0-0-0
KA Maharaj,RCB,4,132,96,10,12,4,34,6,0,8.25,9.6,6.0,35.42,235.46,5-19 (24),2-1-1
Rasikh Salam,SRH,5,169,114,10,17,7,41,0,1,8.89,11.4,4.75,35.96,217.68,4-10 (18),1-1-0
Chirag Jani,RCB,11,392,240,10,48,10,76,8,1,9.8,24.0,4.14,31.67,178.74,2-24 (24),0-0-0
Tanush Kotian,CSK,13,470,238,10,45,21,48,10,2,11.85,23.8,3.61,20.17,162.85,5-38 (24),1-1-1
CV Varun,PBKS,6,152,114,9,15,2,34,1,0,8.0,12.67,6.71,29.82,211.16,3-28 (24),1-0-0
Shivam Shukla,MI,4,151,96,9,15,6,31,3,0,9.44,10.67,4.57,32.29,205.43,3-27 (24),2-0-0
Sonu Yadav,CSK,7,262,163,9,27,10,43,4,0,9.64,18.11,4.41,26.38,176.61,3-38 (24),1-0-0
MR Marsh,MI,9,327,198,9,29,12,51,10,0,9.91,22.0,4.83,25.76,171.67,3-51 (24),1-0-0
RE van der Merwe,CSK,5,214,120,9,25,9,42,1,0,10.7,13.33,3.53,35.0,187.26,3-46 (24),1-0-0
Suryansh Shedge,KKR,4,55,54,8,4,1,26,2,0,6.11,6.75,10.8,48.15,271.83,5-19 (24),2-1-1
Utkarsh Singh,PBKS,7,134,120,8,8,5,43,0,1,6.7,15.0,9.23,35.83,211.41,2-2 (6),0-0-0
S Lamichhane,KKR,4,148,96,8,13,6,33,1,0,9.25,12.0,5.05,34.38,192.11,3-22 (24),2-0-0
R Sai Kishore,SRH,6,217,139,8,24,9,51,2,0,9.37,17.38,4.21,36.69,172.01,3-24 (24),1-0-0
Ashwin Shelke,DC,4,164,90,8,22,5,31,2,0,10.93,11.25,3.33,34.44,182.91,3-48 (24),1-0-0
Shashank Singh,PBKS,13,374,204,8,54,10,63,7,0,11.0,25.5,3.19,30.88,144.68,2-26 (12),0-0-0
Tanay Thyagarajan,CSK,6,274,144,8,41,7,43,5,0,11.42,18.0,3.0,29.86,155.7,2-24 (24),0-0-0
Shaheen Shah Afridi,DC,6,214,102,8,24,11,26,4,1,12.59,12.75,2.91,25.49,165.5,3-20 (12),1-0-0
MA Starc,KKR,7,175,125,7,17,6,55,3,0,8.4,17.86,5.43,44.0,173.7,5-24 (24),1-1-1
AJ Hosein,MI,8,261,186,7,22,8,60,2,2,8.42,26.57,6.2,32.26,159.05,3-32 (24),1-0-0
