partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
P Simran Singh  - Sahil Parakh,SRH,642,362,9,84,20,177.35,71.33,3.48
Tushar Raheja  - Urvil Patel,MI,602,341,12,69,20,176.54,50.17,3.83
JP Inglis  - SV Samson,GT,594,315,15,75,21,188.57,39.6,3.28
GJ Maxwell  - N Sindhu,DC,571,270,7,76,14,211.48,81.57,3.0
FH Allen  - Shubman Gill,LSG,551,303,10,51,22,181.85,55.1,4.15
Aniket Verma  - S Dube,RR,460,268,7,42,15,171.64,65.71,4.7
B Sai Sudharsan  - Tilak Varma,CSK,435,263,11,47,10,165.4,39.55,4.61
H Klaasen  - KK Nair,CSK,398,232,8,22,19,171.55,49.75,5.66
Abhishek Sharma  - Urvil Patel,MI,380,222,11,44,10,171.17,34.55,4.11
JP Inglis  - Naman Dhir,GT,377,224,8,41,10,168.3,47.12,4.39
KL Rahul  - P Simran Singh,SRH,369,228,9,33,9,161.84,41.0,5.43
Atharva Taide  - CH Gayle,RCB,349,190,3,38,10,183.68,116.33,3.96
C Green  - Ishan Kishan,KKR,337,226,6,24,10,149.12,56.17,6.65
MR Marsh  - Urvil Patel,MI,321,217,5,21,11,147.93,64.2,6.78
GJ Maxwell  - Tarang Gohel,DC,319,178,7,40,9,179.21,45.57,3.63
Naman Dhir  - R Parag,GT,312,203,8,21,8,153.69,39.0,7.0
Kartik Sharma  - P Simran Singh,SRH,311,166,6,29,13,187.35,51.83,3.95
TL Seifert  - V Suryavanshi,PBKS,310,184,6,40,7,168.48,51.67,3.91
JP Inglis  - R Parag,GT,296,172,6,32,10,172.09,49.33,4.1
DR Mousley  - Shubman Gill,LSG,278,170,10,22,12,163.53,27.8,5.0
Abhishek Pathak  - CH Gayle,RCB,262,151,5,26,10,173.51,52.4,4.19
PHKD Mendis  - V Suryavanshi,PBKS,258,148,4,19,9,174.32,64.5,5.29
N Sindhu  - Tarang Gohel,DC,242,139,7,21,7,174.1,34.57,4.96
RD Rickelton  - YBK Jaiswal,RR,242,139,5,28,7,174.1,48.4,3.97
N Rana  - V Suryavanshi,PBKS,236,178,7,22,6,132.58,33.71,6.36
PWH de Silva  - Salil Arora,RCB,235,109,4,21,13,215.6,58.75,3.21
RD Gaikwad  - Tilak Varma,CSK,229,134,6,27,7,170.9,38.17,3.94
Aniket Verma  - GD Phillips,RR,224,108,6,18,14,207.41,37.33,3.38
PD Salt  - S Dube,RR,223,154,5,23,6,144.81,44.6,5.31
KL Rahul  - Kartik Sharma,SRH,218,124,6,12,13,175.81,36.33,4.96
Shubman Gill  - WG Jacks,LSG,216,131,3,15,7,164.89,72.0,5.95
KL Rahul  - VR Iyer,SRH,213,118,4,23,4,180.51,53.25,4.37
RD Rickelton  - S Dube,RR,211,149,8,21,5,141.61,26.38,5.73
Ishan Kishan  - J Fraser-McGurk,KKR,208,99,6,32,8,210.1,34.67,2.48
JM Sharma  - RM Patidar,RCB,204,85,4,20,13,240.0,51.0,2.58
B Sai Sudharsan  - KK Nair,CSK,199,124,1,13,7,160.48,199.0,6.2
N Sindhu  - SA Yadav,DC,195,98,3,13,9,198.98,65.0,4.45
C Green  - RG Sharma,KKR,187,118,4,12,9,158.47,46.75,5.62
F du Plessis  - Tilak Varma,CSK,183,121,3,12,6,151.24,61.0,6.72
SP Narine  - V Suryavanshi,PBKS,173,113,4,18,7,153.1,43.25,4.52
Aniket Verma  - YBK Jaiswal,RR,172,82,2,15,6,209.76,86.0,3.9
Abishek Porel  - DR Mousley,LSG,172,101,2,14,7,170.3,86.0,4.81
SS Iyer  - Smaran Ravichandran,MI,170,105,3,14,5,161.9,56.67,5.53
RM Patidar  - Salil Arora,RCB,169,78,3,18,8,216.67,56.33,3.0
CH Gayle  - PWH de Silva,RCB,166,79,5,24,7,210.13,33.2,2.55
P Simran Singh  - VR Iyer,SRH,166,77,2,15,9,215.58,83.0,3.21
Abishek Porel  - Shubman Gill,LSG,164,97,5,19,4,169.07,32.8,4.22
SA Yadav  - Tarang Gohel,DC,158,89,4,22,4,177.53,39.5,3.42
GJ Maxwell  - SA Yadav,DC,153,84,6,25,3,182.14,25.5,3.0
Abishek Porel  - WG Jacks,LSG,149,97,6,8,7,153.61,24.83,6.47
AK Markram  - GJ Maxwell,DC,147,92,4,19,3,159.78,36.75,4.18
Abhishek Pathak  - RM Patidar,RCB,144,87,2,13,2,165.52,72.0,5.8
MW Short  - P Simran Singh,SRH,144,99,5,15,5,145.45,28.8,4.95
CH Gayle  - Priyansh Arya,RCB,140,74,4,18,3,189.19,35.0,3.52
TP Ura  - V Suryavanshi,PBKS,136,79,2,10,4,172.15,68.0,5.64
Abishek Porel  - Sameer Rizvi,LSG,135,59,4,8,10,228.81,33.75,3.28
Chirag Jani  - JM Sharma,RCB,135,76,4,10,7,177.63,33.75,4.47
H Klaasen  - Tilak Varma,CSK,134,88,4,9,4,152.27,33.5,6.77
KK Nair  - Tanush Kotian,CSK,131,49,2,7,12,267.35,65.5,2.58
DR Mousley  - FH Allen,LSG,125,86,3,12,3,145.35,41.67,5.73
Jay Gohil  - Shubman Gill,LSG,125,58,1,11,6,215.52,125.0,3.41
Ishan Kishan  - Rohan Kunnummal,KKR,125,77,3,16,4,162.34,41.67,3.85
Shashank Singh  - V Suryavanshi,PBKS,124,71,3,10,5,174.65,41.33,4.73
JG Bethell  - Naman Dhir,GT,123,74,1,9,5,166.22,123.0,5.29
Ishan Kishan  - WL Madsen,KKR,121,68,1,10,6,177.94,121.0,4.25
Naman Dhir  - V Nigam,GT,121,63,2,9,8,192.06,60.5,3.71
B Sai Sudharsan  - RD Gaikwad,CSK,119,77,6,17,3,154.55,19.83,3.85
Naman Dhir  - SV Samson,GT,118,64,5,19,2,184.38,23.6,3.05
CH Gayle  - RM Patidar,RCB,117,77,2,12,3,151.95,58.5,5.13
RR Rossouw  - V Suryavanshi,PBKS,117,89,4,8,4,131.46,29.25,7.42
Ishan Kishan  - RG Sharma,KKR,114,61,4,11,5,186.89,28.5,3.81
N Pooran  - Smaran Ravichandran,MI,112,77,3,7,3,145.45,37.33,7.7
Ishan Kishan  - MS Pepper,KKR,109,84,3,15,1,129.76,36.33,5.25
Shashank Singh  - Vansh Bedi,PBKS,108,66,3,10,4,163.64,36.0,4.71
KA Maharaj  - PWH de Silva,RCB,107,67,0,8,7,159.7,inf,4.47
FH Allen  - WG Jacks,LSG,105,75,2,6,3,140.0,52.5,8.33
AGS Gous  - GJ Maxwell,DC,105,61,2,18,1,172.13,52.5,3.21
Abhishek Sharma  - MR Marsh,MI,104,52,2,12,4,200.0,52.0,3.25
HH Pandya  - Sahil Parakh,SRH,104,55,1,11,4,189.09,104.0,3.67
N Sindhu  - Rituraj Sharma,DC,103,52,3,6,7,198.08,34.33,4.0
KK Nair  - Tilak Varma,CSK,102,67,4,7,2,152.24,25.5,7.44
PHKD Mendis  - Vansh Bedi,PBKS,102,46,1,13,4,221.74,102.0,2.71
D Brevis  - Naman Dhir,GT,98,66,3,6,3,148.48,32.67,7.33
Ashutosh Sharma  - V Nigam,GT,92,51,1,8,5,180.39,92.0,3.92
HH Pandya  - VR Iyer,SRH,91,57,4,7,2,159.65,22.75,6.33
D Brevis  - V Nigam,GT,89,45,2,7,4,197.78,44.5,4.09
N Rana  - RR Rossouw,PBKS,89,65,1,9,3,136.92,89.0,5.42
KK Nair  - RD Gaikwad,CSK,88,47,3,10,3,187.23,29.33,3.62
RG Sharma  - Rohan Kunnummal,KKR,85,49,2,7,5,173.47,42.5,4.08
Smaran Ravichandran  - Urvil Patel,MI,85,54,2,4,3,157.41,42.5,7.71
PWH de Silva  - Priyansh Arya,RCB,81,44,2,8,3,184.09,40.5,4.0
R Parag  - TH David,GT,78,48,4,9,1,162.5,19.5,4.8
BJ McMullen  - N Sindhu,DC,78,61,3,3,3,127.87,26.0,10.17
S Dube  - V Kohli,RR,77,66,3,5,2,116.67,25.67,9.43
H Klaasen  - RD Gaikwad,CSK,77,63,3,7,2,122.22,25.67,7.0
GD Phillips  - S Dube,RR,76,37,1,8,4,205.41,76.0,3.08
PD Salt  - RD Rickelton,RR,76,45,3,12,1,168.89,25.33,3.46
DR Mousley  - SR Watson,LSG,75,56,1,4,2,133.93,75.0,9.33
DR Mousley  - Tejaswi Dahiya,LSG,72,50,1,5,4,144.0,72.0,5.56
JC Buttler  - VR Iyer,SRH,72,40,2,3,5,180.0,36.0,5.0
Akhil Singh Rawat  - Ishan Kishan,KKR,72,41,1,5,4,175.61,72.0,4.56
AB de Villiers  - H Klaasen,CSK,71,47,3,4,3,151.06,23.67,6.71
AD Russell  - N Sindhu,DC,71,29,1,2,8,244.83,71.0,2.9
S Dube  - YBK Jaiswal,RR,70,39,3,8,1,179.49,23.33,4.33
GD Phillips  - Karan Lal,RR,70,41,2,4,4,170.73,35.0,5.12
CH Gayle  - Salil Arora,RCB,68,39,4,5,4,174.36,17.0,4.33
RG Sharma  - WL Madsen,KKR,68,40,2,3,3,170.0,34.0,6.67
T Banton  - VR Iyer,SRH,65,30,3,8,2,216.67,21.67,3.0
PD Salt  - YBK Jaiswal,RR,65,42,5,4,4,154.76,13.0,5.25
Sanvir Singh  - Vansh Bedi,PBKS,65,37,1,5,3,175.68,65.0,4.62
Kartik Sharma  - VR Iyer,SRH,65,37,3,4,3,175.68,21.67,5.29
Naman Dhir  - Rishabh Chouhan,GT,65,37,0,5,3,175.68,inf,4.62
Nithish Kumar Reddy  - V Nigam,GT,65,37,2,2,6,175.68,32.5,4.62
Sameer Rizvi  - Shubman Gill,LSG,64,31,3,7,2,206.45,21.33,3.44
BJ McMullen  - Parth Chandan,DC,64,33,1,3,6,193.94,64.0,3.67
Jay Gohil  - WG Jacks,LSG,64,27,2,7,2,237.04,32.0,3.0
Abhishek Pathak  - Harnoor Singh,RCB,63,28,2,9,3,225.0,31.5,2.33
Naman Dhir  - TH David,GT,63,20,3,5,6,315.0,21.0,1.82
J Fraser-McGurk  - MS Pepper,KKR,63,41,3,7,4,153.66,21.0,3.73
Abhishek Pathak  - Priyansh Arya,RCB,62,40,1,9,2,155.0,62.0,3.64
Aniket Verma  - PD Salt,RR,62,26,2,6,3,238.46,31.0,2.89
Aniket Verma  - BA Stokes,RR,62,37,1,10,1,167.57,62.0,3.36
Atharva Taide  - Priyansh Arya,RCB,62,32,1,8,2,193.75,62.0,3.2
Naman Dhir  - Nithish Kumar Reddy,GT,62,51,3,3,1,121.57,20.67,12.75
RD Rickelton  - V Kohli,RR,60,35,3,8,2,171.43,20.0,3.5
KL Rahul  - Saim Ayub,SRH,60,31,2,7,1,193.55,30.0,3.88
J Fraser-McGurk  - Rohan Kunnummal,KKR,60,31,2,9,1,193.55,30.0,3.1
JM Sharma  - PWH de Silva,RCB,58,41,4,5,3,141.46,14.5,5.12
Rituraj Sharma  - Tarang Gohel,DC,58,32,2,8,1,181.25,29.0,3.56
GF Linde  - Nithish Kumar Reddy,GT,58,39,1,6,1,148.72,58.0,5.57
N Pooran  - SS Iyer,MI,56,26,1,4,3,215.38,56.0,3.71
KA Pollard  - RD Gaikwad,CSK,55,33,1,2,3,166.67,55.0,6.6
Priyansh Arya  - Salil Arora,RCB,54,35,1,9,0,154.29,54.0,3.89
KL Rahul  - MW Short,SRH,53,36,2,4,2,147.22,26.5,6.0
RG Sharma  - Ramandeep Singh,KKR,53,27,3,5,3,196.3,17.67,3.38
HH Pandya  - T Banton,SRH,53,27,2,3,4,196.3,26.5,3.86
M Shahrukh Khan  - Urvil Patel,MI,52,30,1,4,3,173.33,52.0,4.29
T Stubbs  - V Suryavanshi,PBKS,51,35,1,2,0,145.71,51.0,17.5
Abishek Porel  - Jay Gohil,LSG,51,29,3,4,3,175.86,17.0,4.14
Abhishek Pathak  - Akshat Raghuwanshi,RCB,50,26,2,6,3,192.31,25.0,2.89
Ishan Kishan  - LS Livingstone,KKR,50,36,3,3,2,138.89,16.67,7.2
AA Kulkarni  - SV Samson,GT,50,28,1,5,2,178.57,50.0,4.0
KA Pollard  - KK Nair,CSK,49,25,2,2,4,196.0,24.5,4.17
LR Chethan  - Shubman Gill,LSG,49,33,2,4,1,148.48,24.5,6.6
JC Buttler  - P Simran Singh,SRH,49,39,2,2,0,125.64,24.5,19.5
A Manohar  - Urvil Patel,MI,48,36,1,3,1,133.33,48.0,9.0
JC Buttler  - Kartik Sharma,SRH,48,21,0,4,3,228.57,inf,3.0
Akshat Raghuwanshi  - CH Gayle,RCB,48,22,1,9,1,218.18,48.0,2.2
JM Sharma  - Salil Arora,RCB,48,26,1,0,4,184.62,48.0,6.5
Ishan Kishan  - Salman Nizar,KKR,47,32,1,5,0,146.88,47.0,6.4
SV Samson  - TH David,GT,46,32,1,5,2,143.75,46.0,4.57
Abhishek Sharma  - Tushar Raheja,MI,45,21,2,6,2,214.29,22.5,2.62
Sameer Rizvi  - WG Jacks,LSG,45,29,3,6,1,155.17,15.0,4.14
DR Mousley  - WG Jacks,LSG,44,35,2,5,0,125.71,22.0,7.0
SP Narine  - TL Seifert,PBKS,43,23,1,4,2,186.96,43.0,3.83
BM Duckett  - Rohan Kunnummal,KKR,43,33,2,7,0,130.3,21.5,4.71
N Rana  - TL Seifert,PBKS,43,21,1,5,1,204.76,43.0,3.5
JC Buttler  - Saim Ayub,SRH,42,30,1,3,0,140.0,42.0,10.0
Atharva Taide  - JM Sharma,RCB,42,27,1,2,1,155.56,42.0,9.0
FH Allen  - SR Watson,LSG,42,30,2,2,1,140.0,21.0,10.0
D Wiese  - Salman Nizar,KKR,42,22,0,4,3,190.91,inf,3.14
Tripuresh Singh  - VR Iyer,SRH,42,23,1,2,4,182.61,42.0,3.83
Abhishek Sharma  - SS Iyer,MI,41,26,2,4,1,157.69,20.5,5.2
Chirag Jani  - RM Patidar,RCB,40,20,2,3,3,200.0,20.0,3.33
CH Gayle  - JM Sharma,RCB,40,26,1,1,2,153.85,40.0,8.67
T Stubbs  - Vansh Bedi,PBKS,40,23,2,3,1,173.91,20.0,5.75
SE Rutherford  - Sunny Sandhu,DC,39,32,1,1,1,121.88,39.0,16.0
Abhishek Pathak  - PWH de Silva,RCB,38,28,2,4,0,135.71,19.0,7.0
AB de Villiers  - KA Pollard,CSK,38,23,1,4,0,165.22,38.0,5.75
TM Head  - Tilak Varma,CSK,37,31,1,4,0,119.35,37.0,7.75
Shashank Singh  - T Stubbs,PBKS,35,31,1,3,2,112.9,35.0,6.2
AD Russell  - Tarang Gohel,DC,34,22,1,2,2,154.55,34.0,5.5
Jay Bista  - Ramandeep Singh,KKR,32,27,1,1,0,118.52,32.0,27.0
PHKD Mendis  - Shashank Singh,PBKS,32,24,2,3,1,133.33,16.0,6.0
LS Livingstone  - Rohan Kunnummal,KKR,31,22,1,4,0,140.91,31.0,5.5
Atharva Ankolekar  - GD Phillips,RR,31,34,3,4,0,91.18,10.33,8.5
AHT Donald  - V Suryavanshi,PBKS,31,25,3,3,1,124.0,10.33,6.25
Anmolpreet Singh  - GD Phillips,RR,31,28,2,2,1,110.71,15.5,9.33
SS Iyer  - Tushar Raheja,MI,30,20,3,6,0,150.0,10.0,3.33
SS Iyer  - Urvil Patel,MI,30,26,3,1,1,115.38,10.0,13.0
Smaran Ravichandran  - Tushar Raheja,MI,30,21,1,5,1,142.86,30.0,3.5
Ehsan Khan  - Smaran Ravichandran,MI,29,30,1,2,0,96.67,29.0,15.0
Abhishek Pathak  - Atharva Taide,RCB,28,20,2,1,2,140.0,14.0,6.67
PD Salt  - V Kohli,RR,28,30,4,2,1,93.33,7.0,10.0
DS Rathi  - Suryansh Shedge,KKR,25,26,1,2,1,96.15,25.0,8.67
Chirag Jani  - KA Maharaj,RCB,25,20,1,2,1,125.0,25.0,6.67
Ashutosh Sharma  - R Parag,GT,21,20,1,0,0,105.0,21.0,inf
C Green  - WL Madsen,KKR,21,21,2,2,0,100.0,10.5,10.5
C Green  - LS Livingstone,KKR,19,24,2,0,0,79.17,9.5,inf
AB de Villiers  - KK Nair,CSK,18,23,1,0,1,78.26,18.0,23.0
Harsh Dubey  - MJ Owen,DC,17,20,1,3,0,85.0,17.0,6.67
HJ Manenti  - J Miyaji,RCB,15,20,1,1,1,75.0,15.0,10.0
B Kumar  - Suryansh Shedge,KKR,14,23,1,2,0,60.87,14.0,11.5
