striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
SV Samson,GT,16,666,434,15,69,20,132,153.46,28.93,44.4,4.88,30.41,443.44,107 (59),10-5-1,222
Abhishek Sharma,MI,17,664,402,14,60,23,96,165.17,28.71,47.43,4.84,23.88,451.44,102* (56),9-5-1,236
JP Inglis,GT,16,649,381,15,58,24,74,170.34,25.4,43.27,4.65,19.42,447.97,87* (54),11-6-0,228
B Sai Sudharsan,RCB,16,583,375,16,64,16,113,155.47,23.44,36.44,4.69,30.13,397.54,86 (55),10-5-0,192
V Suryavanshi,PBKS,14,564,366,14,52,23,116,154.1,26.14,40.29,4.88,31.69,387.85,86 (57),8-6-0,182
N Sindhu,DC,14,560,340,14,49,23,102,164.71,24.29,40.0,4.72,30.0,390.84,97* (47),8-5-0,179
Naman Dhir,GT,16,557,307,14,50,20,52,181.43,21.93,39.79,4.39,16.94,403.91,82* (46),9-4-0,191
Shubman Gill,LSG,14,542,331,12,62,15,88,163.75,27.58,45.17,4.3,26.59,385.34,73* (50),9-6-0,171
FH Allen,LSG,14,536,338,13,43,20,93,158.58,26.0,41.23,5.37,27.51,373.84,120* (52),8-5-1,192
SA Yadav,DC,15,533,303,13,56,20,73,175.91,23.31,41.0,3.99,24.09,388.19,69 (32),8-3-0,159
PD Salt,RCB,16,528,312,15,54,18,87,169.23,20.8,35.2,4.33,27.88,376.33,93 (49),7-5-0,160
N Pooran,MI,17,527,337,13,42,22,87,156.38,25.92,40.54,5.27,25.82,370.15,87* (51),8-6-0,190
GJ Maxwell,RR,14,523,310,13,56,19,86,168.71,23.85,40.23,4.13,27.74,376.74,87* (55),8-5-0,155
Priyansh Arya,SRH,13,513,306,13,50,19,90,167.65,23.54,39.46,4.43,29.41,367.74,121 (61),7-4-1,157
V Kohli,DC,14,489,310,14,59,11,90,157.74,22.14,34.93,4.43,29.03,348.56,106 (60),6-5-1,157
PP Shaw,MI,17,482,309,17,46,20,116,155.99,18.18,28.35,4.68,37.54,337.74,78 (49),7-2-0,135
Aniket Verma,RR,14,459,242,10,37,29,65,189.67,24.2,45.9,3.67,26.86,357.69,93 (46),5-3-0,113
Tilak Varma,CSK,14,435,275,12,32,21,79,158.18,22.92,36.25,5.19,28.73,318.95,109* (55),4-3-1,152
P Simran Singh,SRH,13,431,262,13,43,19,76,164.5,20.15,33.15,4.23,29.01,322.49,82 (50),8-3-0,128
TM Head,CSK,14,430,273,14,47,14,88,157.51,19.5,30.71,4.48,32.23,314.08,75 (51),5-4-0,132
JM Bairstow,KKR,14,416,285,13,48,12,92,145.96,21.92,32.0,4.75,32.28,301.1,91 (58),5-4-0,133
Ashutosh Sharma,RCB,16,411,243,15,22,24,71,169.14,16.2,27.4,5.28,29.22,307.61,80 (39),7-3-0,134
BJ McMullen,DC,14,410,240,12,33,22,71,170.83,20.0,34.17,4.36,29.58,313.38,62 (37),7-3-0,120
RD Rickelton,RR,14,399,246,13,38,17,73,162.2,18.92,30.69,4.47,29.67,301.44,86* (52),4-3-0,123
JM Sharma,RCB,15,392,226,11,31,19,63,173.45,20.55,35.64,4.52,27.88,304.58,56 (29),6-1-0,122
R Parag,GT,15,385,207,10,30,21,39,185.99,20.7,38.5,4.06,18.84,314.86,62 (37),5-3-0,117
KA Pollard,CSK,10,384,237,6,29,20,68,162.03,39.5,64.0,4.84,28.69,303.13,77* (38),7-4-0,126
YBK Jaiswal,RR,14,381,199,7,33,15,24,191.46,28.43,54.43,4.15,12.06,321.01,65* (34),4-3-0,130
SS Iyer,LSG,13,381,252,11,32,16,77,151.19,22.91,34.64,5.25,30.56,284.74,66* (40),6-1-0,138
AM Rahane,KKR,14,380,247,14,30,15,71,153.85,17.64,27.14,5.49,28.74,282.61,70 (48),6-3-0,140
BM Duckett,CSK,14,373,230,14,32,18,69,162.17,16.43,26.64,4.6,30.0,285.67,74 (45),5-3-0,114
LS Livingstone,SRH,13,371,278,12,29,16,101,133.45,23.17,30.92,6.18,36.33,265.35,90 (57),6-2-0,139
RD Gaikwad,RCB,16,361,244,16,40,10,74,147.95,15.25,22.56,4.88,30.33,269.15,62 (35),6-1-0,124
KL Rahul,SRH,13,360,247,13,23,17,71,145.75,19.0,27.69,6.18,28.74,267.47,71 (42),5-3-0,140
RM Patidar,RR,10,350,252,9,28,11,80,138.89,28.0,38.89,6.46,31.75,259.63,64 (43),5-3-0,141
Ishan Kishan,KKR,12,348,244,11,32,16,98,142.62,22.18,31.64,5.08,40.16,258.15,70* (41),5-3-0,101
JC Buttler,KKR,14,346,211,10,24,15,56,163.98,21.1,34.6,5.41,26.54,272.36,78* (38),4-1-0,125
Abishek Porel,DC,13,325,178,10,20,19,38,182.58,17.8,32.5,4.56,21.35,275.34,65 (35),5-3-0,104
Q de Kock,PBKS,12,322,240,11,32,9,78,134.17,21.82,29.27,5.85,32.5,240.54,70* (45),4-2-0,124
Shashank Singh,PBKS,14,308,209,7,16,18,52,147.37,29.86,44.0,6.15,24.88,248.82,46 (31),4-0-0,128
RK Singh,RCB,13,296,188,9,24,10,41,157.45,20.89,32.89,5.53,21.81,244.13,49 (32),6-0-0,116
H Klaasen,PBKS,14,293,199,13,28,10,59,147.24,15.31,22.54,5.24,29.65,231.53,79* (44),5-1-0,106
S Dube,RR,12,287,180,12,20,14,52,159.44,15.0,23.92,5.29,28.89,234.84,53 (28),5-1-0,103
VR Iyer,SRH,11,275,150,7,17,15,23,183.33,21.43,39.29,4.69,15.33,253.09,59* (38),4-2-0,98
WL Madsen,MI,6,274,173,3,23,9,42,158.38,57.67,91.33,5.41,24.28,249.95,72* (37),4-3-0,101
N Rana,KKR,12,266,150,11,19,16,43,177.33,13.64,24.18,4.29,28.67,235.69,41* (15),4-0-0,75
SP Narine,LSG,12,262,163,12,25,12,57,160.74,13.58,21.83,4.41,34.97,220.77,84 (52),2-1-0,73
MP Stoinis,PBKS,9,254,170,6,22,10,52,149.41,28.33,42.33,5.31,30.59,217.43,73* (48),3-2-0,88
AR Patel,CSK,14,231,153,11,14,14,55,150.98,13.91,21.0,5.46,35.95,196.03,41 (30),4-0-0,73
KD Karthik,MI,9,216,130,6,12,13,35,166.15,21.67,36.0,5.2,26.92,204.87,39 (30),4-0-0,73
Smaran Ravichandran,PBKS,9,209,153,8,15,7,51,136.6,19.12,26.12,6.95,33.33,176.81,87* (59),3-1-0,83
AD Russell,DC,13,205,126,8,11,13,40,162.7,15.75,25.62,5.25,31.75,191.45,40* (27),3-0-0,65
LG Pretorius,GT,8,205,150,8,20,7,53,136.67,18.75,25.62,5.56,35.33,176.5,50 (35),4-2-0,71
Urvil Patel,DC,9,203,129,7,20,8,45,157.36,18.43,29.0,4.61,34.88,188.31,79 (43),2-1-0,59
RR Rossouw,MI,8,198,126,6,13,10,34,157.14,21.0,33.0,5.48,26.98,189.26,55 (34),3-1-0,72
Dhruv Jurel,LSG,8,195,118,5,17,10,38,165.25,23.6,39.0,4.37,32.2,193.3,64 (39),2-1-0,56
AK Markram,SRH,8,192,123,5,12,11,37,156.1,24.6,38.4,5.35,30.08,186.15,41* (31),3-0-0,65
HH Pandya,MI,10,191,118,8,18,8,42,161.86,14.75,23.88,4.54,35.59,181.96,42 (25),4-0-0,54
Anmolpreet Singh,CSK,5,189,126,5,15,8,39,150.0,25.2,37.8,5.48,30.95,180.4,68 (50),2-1-0,68
PHKD Mendis,KKR,5,163,94,2,10,11,32,173.4,47.0,81.5,4.48,34.04,190.44,88* (46),1-1-0,43
C Green,RCB,8,150,75,2,9,10,10,200.0,37.5,75.0,3.95,13.33,205.66,66* (34),1-1-0,46
Washington Sundar,PBKS,9,146,94,4,10,7,27,155.32,23.5,36.5,5.53,28.72,160.22,55* (35),2-1-0,54
RK Bhui,CSK,12,144,115,9,8,6,40,125.22,12.78,16.0,8.21,34.78,131.22,46* (25),1-0-0,66
Arshad Khan,KKR,8,142,86,4,9,10,33,165.12,21.5,35.5,4.53,38.37,159.58,53 (28),2-1-0,34
Sameer Rizvi,LSG,7,137,79,3,10,7,21,173.42,26.33,45.67,4.65,26.58,169.18,42* (24),1-0-0,46
T Stubbs,SRH,10,134,94,6,7,6,28,142.55,15.67,22.33,7.23,29.79,139.9,39 (23),2-0-0,58
Suryansh Shedge,CSK,12,131,74,8,7,11,30,177.03,9.25,16.38,4.11,40.54,153.73,45* (16),1-0-0,28
Rahul Singh,MI,6,131,81,5,11,7,28,161.73,16.2,26.2,4.5,34.57,151.08,50* (28),1-1-0,36
RR Pant,KKR,7,131,97,7,10,5,40,135.05,13.86,18.71,6.47,41.24,127.94,58 (42),1-1-0,43
