Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2025-06-14,1,RR,SRH,RR,GJ Maxwell (RR) -> 66 off 36 ; 1-49 (4.0),GJ Maxwell (RR) -> 66 off 36,Sandeep Sharma (RR) -> 3-21 (3.0),RR 207-5 (18.5) beat SRH 205-6 (20.0) by 5 wickets!,7.2/10
2025-06-14,2,MI,CSK,CSK,TM Head (CSK) -> 63 off 37,TM Head (CSK) -> 63 off 37,JJ Bumrah (MI) -> 3-19 (3.3),CSK 193-7 (18.3) beat MI 192-5 (20.0) by 3 wickets!,7.4/10
2025-06-15,3,DC,RCB,RCB,A Nortje (RCB) -> 4-36 (4.0),B Sai Sudharsan (RCB) -> 79 off 46,A Nortje (RCB) -> 4-36 (4.0),RCB 194-4 (20.0) beat DC 183-8 (20.0) by 11 runs!,6.9/10
2025-06-15,4,LSG,KKR,KKR,Ishan Kishan (KKR) -> 70 off 41,Ishan Kishan (KKR) -> 70 off 41,Arshdeep Singh (LSG) -> 2-34 (4.0),KKR 216-5 (20.0) beat LSG 202-6 (20.0) by 14 runs!,6.6/10
2025-06-16,5,GT,PBKS,PBKS,H Klaasen (PBKS) -> 79* off 44,H Klaasen (PBKS) -> 79* off 44,K Kartikeya (GT) -> 2-22 (3.0),PBKS 180-5 (19.4) beat GT 178-5 (20.0) by 5 wickets!,7.4/10
2025-06-16,6,SRH,MI,SRH,HH Pandya (MI) -> 40 off 22 ; 2-31 (3.0),LS Livingstone (SRH) -> 41 off 34,Kuldeep Yadav (SRH) -> 3-32 (4.0),SRH 171-8 (20.0) beat MI 165-10 (19.4) by 6 runs!,7.0/10
2025-06-17,7,RR,LSG,RR,SP Narine (LSG) -> 84 off 52 ; 1-33 (4.0),SP Narine (LSG) -> 84 off 52,GJ Maxwell (RR) -> 3-37 (4.0),RR 202-6 (20.0) beat LSG 194-4 (20.0) by 8 runs!,6.6/10
2025-06-17,8,CSK,KKR,CSK,Arshad Khan (KKR) -> 53 off 28 ; 2-16 (4.0),Arshad Khan (KKR) -> 53 off 28,MA Starc (KKR) -> 3-28 (4.0),CSK 138-8 (20.0) beat KKR 137-10 (16.3) by 1 run!,8.3/10
2025-06-18,9,RCB,PBKS,RCB,Ashutosh Sharma (RCB) -> 64 off 27 ; 1-13 (2.0),PD Salt (RCB) -> 82* off 47,M Pathirana (RCB) -> 3-46 (4.0),RCB 198-4 (18.3) beat PBKS 195-6 (20.0) by 6 wickets!,7.4/10
2025-06-18,10,DC,GT,GT,SV Samson (GT) -> 107 off 59,SV Samson (GT) -> 107 off 59,Rasikh Salam (GT) -> 4-39 (4.0),GT 216-4 (20.0) beat DC 191-8 (20.0) by 25 runs!,5.1/10
