striker,batting_team,num_innings,fours,runs,strike_rate
B Sai Sudharsan,RCB,15,64,569,158.06
SV Samson,GT,15,64,632,155.67
Shubman Gill,LSG,14,62,542,163.75
V Kohli,DC,13,59,485,159.02
GJ Maxwell,RR,14,56,523,168.71
JP Inglis,GT,15,54,594,165.46
Abhishek Sharma,MI,14,53,557,164.79
V Suryavanshi,PBKS,14,52,564,154.1
SA Yadav,DC,14,51,491,180.51
PD Salt,RCB,15,50,487,172.08
Priyansh Arya,SRH,13,50,513,167.65
N Sindhu,DC,14,49,560,164.71
JM Bairstow,KKR,14,48,416,145.96
Naman Dhir,GT,15,47,524,181.31
TM Head,CSK,14,47,430,157.51
P Simran Singh,SRH,13,43,431,164.5
FH Allen,LSG,14,43,536,158.58
PP Shaw,MI,14,41,425,155.68
RD Rickelton,RR,14,38,399,162.2
Aniket Verma,RR,14,37,459,189.67
N Pooran,MI,14,36,410,155.3
RD Gaikwad,RCB,15,36,321,152.13
YBK Jaiswal,RR,14,33,381,191.46
BJ McMullen,DC,13,33,391,171.49
BM Duckett,CSK,14,32,373,162.17
Tilak Varma,CSK,14,32,435,158.18
SS Iyer,LSG,13,32,381,151.19
Ishan Kishan,KKR,12,32,348,142.62
Q de Kock,PBKS,12,32,322,134.17
R Parag,GT,14,30,372,188.83
JM Sharma,RCB,14,30,364,169.3
AM Rahane,KKR,14,30,380,153.85
KA Pollard,CSK,10,29,384,162.03
LS Livingstone,SRH,13,29,371,133.45
H Klaasen,PBKS,14,28,293,147.24
RM Patidar,RR,10,28,350,138.89
SP Narine,LSG,12,25,262,160.74
JC Buttler,KKR,14,24,346,163.98
RK Singh,RCB,13,24,296,157.45
KL Rahul,SRH,13,23,360,145.75
Ashutosh Sharma,RCB,15,22,408,169.29
MP Stoinis,PBKS,9,22,254,149.41
S Dube,RR,12,20,287,159.44
LG Pretorius,GT,8,20,205,136.67
Abishek Porel,DC,12,19,316,184.8
N Rana,KKR,12,19,266,177.33
VR Iyer,SRH,11,17,275,183.33
Dhruv Jurel,LSG,8,17,195,165.25
Urvil Patel,DC,8,16,166,161.17
Shashank Singh,PBKS,14,16,308,147.37
