partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
FH Allen  - Shubman Gill,LSG,657,402,14,69,21,163.43,46.93,4.47
Abhishek Sharma  - PP Shaw,MI,567,331,13,60,20,171.3,43.62,4.14
GJ Maxwell  - RD Rickelton,RR,519,297,13,56,19,174.75,39.92,3.96
BM Duckett  - TM Head,CSK,508,304,14,54,19,167.11,36.29,4.16
JP Inglis  - SV Samson,GT,450,259,10,47,17,173.75,45.0,4.05
N Sindhu  - V Kohli,DC,445,263,11,53,12,169.2,40.45,4.05
P Simran Singh  - Priyansh Arya,SRH,419,239,12,50,17,175.31,34.92,3.57
JP Inglis  - Naman Dhir,GT,406,235,7,34,12,172.77,58.0,5.11
Naman Dhir  - SV Samson,GT,398,235,10,35,13,169.36,39.8,4.9
LS Livingstone  - Priyansh Arya,SRH,392,246,5,27,16,159.35,78.4,5.72
Q de Kock  - V Suryavanshi,PBKS,383,260,8,38,13,147.31,47.88,5.1
N Sindhu  - SA Yadav,DC,367,203,8,35,16,180.79,45.88,3.98
B Sai Sudharsan  - PD Salt,RCB,365,213,14,47,10,171.36,26.07,3.74
B Sai Sudharsan  - RD Gaikwad,RCB,362,221,8,41,12,163.8,45.25,4.17
Ishan Kishan  - JM Bairstow,KKR,334,215,7,37,11,155.35,47.71,4.48
LG Pretorius  - SV Samson,GT,329,215,7,29,13,153.02,47.0,5.12
Abhishek Sharma  - N Pooran,MI,319,192,5,19,13,166.15,63.8,6.0
BJ McMullen  - SA Yadav,DC,299,173,7,21,13,172.83,42.71,5.09
RM Patidar  - S Dube,RR,289,178,6,15,14,162.36,48.17,6.14
Ashutosh Sharma  - B Sai Sudharsan,RCB,287,164,10,22,12,175.0,28.7,4.82
PD Salt  - RD Gaikwad,RCB,284,188,7,28,5,151.06,40.57,5.7
KL Rahul  - P Simran Singh,SRH,258,160,5,21,14,161.25,51.6,4.57
SA Yadav  - V Kohli,DC,250,155,6,30,5,161.29,41.67,4.43
N Sindhu  - Urvil Patel,DC,245,140,4,21,11,175.0,61.25,4.38
FH Allen  - SP Narine,LSG,241,151,6,21,8,159.6,40.17,5.21
AM Rahane  - JC Buttler,KKR,238,155,8,16,8,153.55,29.75,6.46
JM Sharma  - PD Salt,RCB,235,129,2,15,12,182.17,117.5,4.78
Ashutosh Sharma  - RK Singh,RCB,229,134,5,14,10,170.9,45.8,5.58
JP Inglis  - R Parag,GT,226,132,7,18,9,171.21,32.29,4.89
AM Rahane  - Ishan Kishan,KKR,225,120,7,15,14,187.5,32.14,4.14
TM Head  - Tilak Varma,CSK,220,135,7,22,8,162.96,31.43,4.5
Aniket Verma  - YBK Jaiswal,RR,208,100,3,15,13,208.0,69.33,3.57
KL Rahul  - VR Iyer,SRH,207,138,6,10,8,150.0,34.5,7.67
Aniket Verma  - RM Patidar,RR,199,117,3,15,11,170.09,66.33,4.5
T Stubbs  - VR Iyer,SRH,199,110,3,11,11,180.91,66.33,5.0
JM Sharma  - RK Singh,RCB,197,126,5,9,9,156.35,39.4,7.0
SS Iyer  - Shubman Gill,LSG,197,126,4,20,6,156.35,49.25,4.85
JC Buttler  - N Rana,KKR,195,110,6,15,9,177.27,32.5,4.58
LS Livingstone  - P Simran Singh,SRH,193,154,8,16,5,125.32,24.12,7.33
BM Duckett  - Tilak Varma,CSK,183,120,7,11,9,152.5,26.14,6.0
KD Karthik  - N Pooran,MI,182,112,3,9,11,162.5,60.67,5.6
GJ Maxwell  - RM Patidar,RR,178,108,4,18,6,164.81,44.5,4.5
AD Russell  - Abishek Porel,DC,173,94,5,10,12,184.04,34.6,4.27
AR Patel  - KA Pollard,CSK,170,118,5,13,5,144.07,34.0,6.56
KA Pollard  - Tilak Varma,CSK,168,113,4,14,6,148.67,42.0,5.65
Q de Kock  - Shashank Singh,PBKS,168,112,6,16,8,150.0,28.0,4.67
N Pooran  - RR Rossouw,MI,167,114,5,11,8,146.49,33.4,6.0
MP Stoinis  - V Suryavanshi,PBKS,167,103,3,9,8,162.14,55.67,6.06
H Klaasen  - V Suryavanshi,PBKS,167,110,6,13,9,151.82,27.83,5.0
Abhishek Sharma  - RR Rossouw,MI,163,98,3,11,6,166.33,54.33,5.76
Abishek Porel  - BJ McMullen,DC,161,75,3,11,11,214.67,53.67,3.41
BJ McMullen  - V Kohli,DC,153,96,5,14,6,159.38,30.6,4.8
N Pooran  - PP Shaw,MI,152,98,5,12,8,155.1,30.4,4.9
AJ Turner  - WL Madsen,MI,151,100,2,14,2,151.0,75.5,6.25
RD Rickelton  - YBK Jaiswal,RR,151,93,2,10,7,162.37,75.5,5.47
Ashutosh Sharma  - PD Salt,RCB,150,77,6,10,10,194.81,25.0,3.85
KL Rahul  - LS Livingstone,SRH,149,102,7,10,7,146.08,21.29,6.0
RD Rickelton  - RM Patidar,RR,145,94,6,14,6,154.26,24.17,4.7
JM Bairstow  - RR Pant,KKR,143,91,5,17,4,157.14,28.6,4.33
AM Rahane  - JM Bairstow,KKR,140,103,5,15,1,135.92,28.0,6.44
S Dube  - YBK Jaiswal,RR,138,89,6,9,4,155.06,23.0,6.85
GD Phillips  - R Parag,GT,137,75,2,14,5,182.67,68.5,3.95
H Klaasen  - Smaran Ravichandran,PBKS,133,92,3,7,5,144.57,44.33,7.67
AD Russell  - RA Jadeja,DC,130,63,3,9,7,206.35,43.33,3.94
DP Conway  - SV Samson,GT,130,78,3,10,4,166.67,43.33,5.57
Aniket Verma  - GJ Maxwell,RR,127,79,4,15,3,160.76,31.75,4.39
C Green  - JM Sharma,RCB,123,58,4,12,6,212.07,30.75,3.22
N Pooran  - WL Madsen,MI,122,77,3,5,6,158.44,40.67,7.0
Smaran Ravichandran  - V Suryavanshi,PBKS,120,92,4,13,2,130.43,30.0,6.13
AR Patel  - Tilak Varma,CSK,119,61,3,6,8,195.08,39.67,4.36
FH Allen  - SS Iyer,LSG,118,81,4,4,6,145.68,29.5,8.1
Abishek Porel  - N Sindhu,DC,118,50,2,8,8,236.0,59.0,3.12
Dhruv Jurel  - SS Iyer,LSG,116,78,4,8,5,148.72,29.0,6.0
B Sai Sudharsan  - RK Singh,RCB,112,77,3,7,4,145.45,37.33,7.0
H Klaasen  - Shashank Singh,PBKS,107,74,4,8,4,144.59,26.75,6.17
JC Buttler  - JM Bairstow,KKR,105,82,3,7,4,128.05,35.0,7.45
KA Pollard  - RK Bhui,CSK,104,66,5,4,8,157.58,20.8,5.5
Anmolpreet Singh  - F du Plessis,CSK,101,72,2,4,4,140.28,50.5,9.0
SP Narine  - Shubman Gill,LSG,99,62,6,14,1,159.68,16.5,4.13
Naman Dhir  - R Parag,GT,98,59,3,9,3,166.1,32.67,4.92
HH Pandya  - N Pooran,MI,97,56,3,10,4,173.21,32.33,4.0
Abishek Porel  - V Kohli,DC,97,69,5,8,2,140.58,19.4,6.9
B Sai Sudharsan  - J Fraser-McGurk,RCB,97,67,3,6,3,144.78,32.33,7.44
N Wadhera  - YBK Jaiswal,RR,96,57,3,8,5,168.42,32.0,4.38
RK Bhui  - Suryansh Shedge,CSK,95,50,4,8,6,190.0,23.75,3.57
Ishan Kishan  - JC Buttler,KKR,95,60,3,5,5,158.33,31.67,6.0
Abhishek Sharma  - Rahul Singh,MI,94,67,2,7,4,140.3,47.0,6.09
Aniket Verma  - RD Rickelton,RR,93,54,3,11,3,172.22,31.0,3.86
A Raghuvanshi  - JM Bairstow,KKR,92,68,5,9,6,135.29,18.4,4.53
Ashutosh Sharma  - RD Gaikwad,RCB,91,66,3,11,2,137.88,30.33,5.08
