Player,Team,TI,B.Impact,Bo.Impact
GJ Maxwell,RR,999.8199999999999,602.92,396.89
JP Inglis,GT,783.9300000000001,783.9300000000001,0.0
Abhishek Sharma,MI,768.84,782.49,-13.65
LS Livingstone,SRH,746.52,389.15,357.35
SV Samson,GT,736.1,736.1,0.0
V Suryavanshi,PBKS,710.17,710.17,0.0
AD Russell,DC,705.6,242.84,462.76
Ashutosh Sharma,RCB,692.58,489.42,203.15
Naman Dhir,GT,692.29,692.29,0.0
B Sai Sudharsan,RCB,662.76,662.76,0.0
PD Salt,RCB,646.0600000000001,646.0600000000001,0.0
Shubman Gill,LSG,645.68,645.68,0.0
SA Yadav,DC,641.49,641.49,0.0
SP Narine,LSG,633.96,300.48,333.48
N Sindhu,DC,632.9,611.93,20.96
JJ Bumrah,MI,623.54,1.46,622.1
Priyansh Arya,SRH,618.71,618.71,0.0
AR Patel,CSK,615.92,250.79,365.12
M Pathirana,RCB,614.25,-0.53,614.78
B Kumar,KKR,608.86,-4.67,613.52
FH Allen,LSG,604.38,604.38,0.0
N Pooran,MI,591.8100000000001,591.8100000000001,0.0
V Kohli,DC,577.75,577.75,0.0
HH Pandya,MI,577.14,255.58,321.55
R Shepherd,GT,571.09,44.65,526.42
AK Markram,SRH,562.28,219.36,342.91
Shashank Singh,PBKS,557.78,348.75,209.04
Aniket Verma,RR,553.29,553.29,0.0
M Prasidh Krishna,DC,549.78,-2.31,552.1
P Simran Singh,SRH,530.76,530.76,0.0
PP Shaw,MI,527.29,527.29,0.0
Tilak Varma,CSK,516.9399999999999,516.9399999999999,0.0
WG Jacks,LSG,514.3,126.83,387.46
Akash Vasisht,MI,511.92,61.77,450.14
BJ McMullen,DC,506.4400000000001,471.83,34.61
DAJ Bracewell,MI,494.42,116.62,377.81
YS Chahal,RCB,493.8,8.71,485.11
TM Head,CSK,492.71,495.45,-2.73
CV Varun,PBKS,485.67,18.62,467.07
Suryansh Shedge,CSK,484.73,165.53,319.22
PHKD Mendis,KKR,472.81,234.5,238.3
JM Bairstow,KKR,463.65,463.65,0.0
YBK Jaiswal,RR,458.93,458.93,0.0
JM Sharma,RCB,457.53,457.53,0.0
R Parag,GT,451.24,494.82,-43.55
BM Duckett,CSK,448.05,448.05,0.0
DS Rathi,KKR,438.27,32.45,405.82
C Green,RCB,428.42,187.29,241.13
AM Rahane,KKR,426.7,426.7,0.0
KA Pollard,CSK,425.36,444.7,-19.34
N Rana,KKR,418.35,353.38,64.96000000000001
RD Rickelton,RR,417.3,417.3,0.0
Washington Sundar,PBKS,413.13,155.05,258.06
Arshad Khan,KKR,411.34,206.23,205.12
JC Buttler,KKR,409.35,409.35,0.0
SS Iyer,LSG,407.06,407.06,0.0
Shakib Al Hasan,PBKS,399.14,16.11,383.03
Abishek Porel,DC,394.79,394.79,0.0
KL Rahul,SRH,385.88,385.88,0.0
Rasikh Salam,GT,385.49,15.6,369.9
Ishan Kishan,KKR,376.9,376.9,0.0
RD Gaikwad,RCB,369.95,369.95,0.0
TA Boult,MI,369.51,0.4000000000000004,369.1
