Player,Team,TI,B.Impact,Bo.Impact
S Dube,RR,1792.4,968.2,824.2
WG Jacks,LSG,1263.86,687.15,576.72
PWH de Silva,RCB,1235.82,721.21,514.6
C Green,KKR,1224.37,670.08,554.29
SP Narine,KKR,1051.14,697.8,353.32
CH Gayle,CSK,1029.73,664.79,364.95
Shubman Gill,LSG,1008.04,1008.04,0.0
Shashank Singh,PBKS,997.86,377.96,619.87
PD Salt,RCB,957.28,957.28,0.0
RD Gaikwad,GT,918.87,918.87,0.0
Tanush Kotian,CSK,880.0899999999999,301.31,578.79
MP Stoinis,KKR,869.14,829.4499999999999,39.71999999999999
JC Archer,LSG,868.41,9.24,859.1800000000001
KL Rahul,SRH,843.27,843.27,0.0
Karan Lal,RR,820.37,33.24,787.12
Tilak Varma,CSK,800.45,806.21,-5.76
MJ Owen,DC,787.15,305.36,481.83
V Kohli,DC,769.77,769.77,0.0
Abhishek Sharma,MI,740.21,692.96,47.22
Arshdeep Singh,LSG,729.58,-0.4000000000000004,729.97
Tarang Gohel,DC,719.27,719.27,0.0
YBK Jaiswal,RR,715.68,715.68,0.0
M Pathirana,RCB,693.87,-4.109999999999999,697.98
BJ McMullen,RR,689.09,596.74,92.33999999999999
Abdul Samad,LSG,681.0,492.48,188.51
AR Ramjani,PBKS,678.8199999999999,40.31,638.49
Priyansh Arya,SRH,676.4300000000001,676.4300000000001,0.0
SA Yadav,DC,657.75,657.75,0.0
Sameer Rizvi,LSG,646.0699999999999,646.0699999999999,0.0
GF Linde,GT,643.56,189.49,454.07
B Kumar,KKR,637.24,-7.93,645.2
FH Allen,PBKS,629.49,629.49,0.0
VR Iyer,SRH,621.45,621.45,0.0
HH Pandya,MI,607.9399999999999,168.86,439.11
Shadab Khan,SRH,602.85,220.54,382.28
GJ Maxwell,RR,600.87,637.75,-36.87
B Sai Sudharsan,CSK,594.88,594.88,0.0
JM Sharma,RCB,594.5,594.5,0.0
JJ Bumrah,DC,586.43,46.44,539.98
P Simran Singh,SRH,585.77,585.77,0.0
Shaheen Shah Afridi,MI,581.24,19.96,561.29
Naman Dhir,GT,572.25,572.25,0.0
RG Sharma,KKR,566.65,566.65,0.0
A Nagwaswalla,RR,565.05,13.48,551.5699999999999
D Wiese,GT,560.3,226.44,333.84
LI Meriwala,DC,553.1,1.43,551.67
NT Ellis,SRH,542.13,8.42,533.72
Smaran Ravichandran,PBKS,527.11,527.11,0.0
MA Starc,KKR,515.81,-8.33,524.11
JP Inglis,GT,515.48,515.48,0.0
N Rana,PBKS,507.93,507.93,0.0
Fazalhaq Farooqi,CSK,506.01,0.6799999999999999,505.3200000000001
Aniket Verma,RR,504.09,504.09,0.0
JR Hazlewood,RR,501.11,-1.87,502.98
YS Chahal,RCB,494.43,20.56,473.9
R Parag,GT,489.41,438.24,51.18
KA Maharaj,SRH,484.44,22.32,462.13
YK Pathan,KKR,478.73,214.13,264.59
Hassan Nawaz,RCB,476.65,476.65,0.0
Nithish Kumar Reddy,SRH,463.39,301.56,161.84
N Pooran,MI,463.01,463.01,0.0
N Sindhu,DC,455.47,455.47,0.0
D Brevis,RR,448.65,277.04,171.6
TA Boult,MI,434.31,72.21000000000001,362.1
AR Patel,CSK,431.17,18.44,412.72
KA Pollard,CSK,418.98,388.04,30.93
JC Buttler,LSG,416.55,416.55,0.0
SV Samson,GT,413.57,413.57,0.0
HJ Manenti,PBKS,413.5,4.64,408.87
AK Markram,DC,412.93,130.26,282.68
CV Varun,PBKS,404.01,-3.46,407.47
Urvil Patel,MI,402.58,402.58,0.0
Ravi Teja,RCB,398.9,-1.9,400.77
Naseem Shah,LSG,398.41,22.59,375.84
DR Sams,GT,378.54,35.75,342.8
Noor Ahmad,MI,375.96,7.25,368.72
SS Iyer,LSG,369.18,369.18,0.0
RD Rickelton,LSG,368.24,368.24,0.0
Abrar Ahmed,GT,357.56,-5.28,362.84
TH David,PBKS,356.65,356.65,0.0
SL Malinga,PBKS,351.28,-2.73,354.01
MW Short,MI,350.52,350.52,0.0
Karan Shinde,RCB,343.67,343.67,0.0
S Lamichhane,DC,337.75,13.12,324.63
Mohammad Ghazanfar,SRH,337.0,17.65,319.35
RM Patidar,KKR,330.11,330.11,0.0
Abishek Porel,DC,328.1,328.1,0.0
Kuldeep Yadav,SRH,323.54,9.790000000000001,313.76
GD Phillips,GT,321.18,118.55,202.62
Ashutosh Sharma,RCB,311.69,64.21000000000001,247.51
Imran Tahir,CSK,311.05,-4.92,315.97
Chirag Jani,PBKS,304.35,186.01,118.36
JDS Neesham,DC,301.57,143.48,158.1
V Suryavanshi,PBKS,300.27,300.27,0.0
RK Singh,MI,294.66,294.66,0.0
Yuvraj Singh,CSK,285.5,19.16,266.34
Mohammad Nabi,LSG,279.6,56.34,223.25
MR Marsh,SRH,278.59,197.94,80.65
Shahbaz Ahmed,GT,277.08,10.2,266.87
MG Erasmus,RCB,275.22,90.45,184.79
R Shepherd,GT,267.67,46.38,221.28
Sikandar Raza,MI,261.99,45.14,216.87
Arshad Khan,RR,261.94,177.18,84.76
T Stubbs,CSK,253.41,253.41,0.0
Suryansh Shedge,CSK,248.72,77.18,171.53
V Nigam,MI,244.91,50.82,194.09
JN Loftie-Eaton,RR,243.41,94.8,148.61
LS Livingstone,KKR,242.38,40.62,201.77
SH Johnson,GT,241.71,-0.71,242.42
