striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
S Dube,RR,19,813,488,17,68,35,129,166.6,28.71,47.82,4.74,26.43,533.35,91 (47),14-5-0,271
Shubman Gill,LSG,19,771,405,17,78,32,91,190.37,23.82,45.35,3.68,22.47,528.2,103 (49),9-6-1,212
RD Gaikwad,GT,18,758,448,15,86,16,102,169.2,29.87,50.53,4.39,22.77,505.76,96* (57),10-7-0,254
PD Salt,RCB,18,696,421,17,68,26,131,165.32,24.76,40.94,4.48,31.12,465.53,89* (52),11-7-0,205
KL Rahul,SRH,18,688,438,14,64,22,118,157.08,31.29,49.14,5.09,26.94,458.84,114* (63),11-6-1,250
Tilak Varma,CSK,18,680,423,17,72,22,149,160.76,24.88,40.0,4.5,35.22,451.8,81 (49),9-5-0,201
MP Stoinis,KKR,16,623,383,14,61,24,120,162.66,27.36,44.5,4.51,31.33,426.05,103* (55),7-5-2,188
V Kohli,DC,17,613,354,16,71,20,107,173.16,22.12,38.31,3.89,30.23,426.61,98* (47),10-4-0,160
YBK Jaiswal,RR,18,590,323,12,59,23,70,182.66,26.92,49.17,3.94,21.67,425.73,96 (42),9-4-0,183
B Sai Sudharsan,CSK,18,564,418,17,46,14,124,134.93,24.59,33.18,6.97,29.67,369.63,64 (44),11-5-0,246
Tarang Gohel,DC,18,560,297,18,65,20,81,188.55,16.5,31.11,3.49,27.27,406.74,93 (53),9-4-0,138
SA Yadav,DC,18,559,325,14,56,24,91,172.0,23.21,39.93,4.06,28.0,398.62,114* (60),6-4-1,161
CH Gayle,CSK,18,559,336,18,63,26,130,166.37,18.67,31.06,3.78,38.69,390.78,122 (65),9-3-1,126
Abhishek Sharma,MI,18,541,309,18,61,18,85,175.08,17.17,30.06,3.91,27.51,387.16,87 (39),8-3-0,152
WG Jacks,LSG,19,541,360,18,44,23,111,150.28,20.0,30.06,5.37,30.83,368.95,91* (64),7-5-0,187
C Green,KKR,18,538,306,16,54,21,81,175.82,19.12,33.62,4.08,26.47,386.84,114* (57),8-4-1,157
SP Narine,KKR,18,530,337,18,59,19,129,157.27,18.72,29.44,4.32,38.28,365.85,82 (52),8-3-0,140
GJ Maxwell,RR,18,525,299,17,62,16,81,175.59,17.59,30.88,3.83,27.09,379.39,81* (47),8-4-0,149
BJ McMullen,RR,16,514,323,14,51,17,109,159.13,23.07,36.71,4.75,33.75,359.63,96* (53),8-4-0,161
