striker,batting_team,num_innings,fours,runs,strike_rate
RD Gaikwad,GT,18,86,758,169.2
Shubman Gill,LSG,20,79,777,190.44
PD Salt,RCB,20,75,760,168.89
Tilak Varma,CSK,18,72,680,160.76
V Kohli,DC,17,71,613,173.16
S Dube,RR,19,68,813,166.6
Tarang Gohel,DC,18,65,560,188.55
KL Rahul,SRH,19,64,733,157.63
CH Gayle,CSK,18,63,559,166.37
PWH de Silva,RCB,14,62,562,191.81
GJ Maxwell,RR,18,62,525,175.59
Abhishek Sharma,MI,18,61,541,175.08
MP Stoinis,KKR,16,61,623,162.66
FH Allen,PBKS,18,60,479,167.48
YBK Jaiswal,RR,18,59,590,182.66
SP Narine,KKR,18,59,530,157.27
SA Yadav,DC,18,56,559,172.0
Priyansh Arya,SRH,17,56,554,164.39
C Green,KKR,18,54,538,175.82
SV Samson,GT,15,52,376,154.1
BJ McMullen,RR,16,51,514,159.13
Naman Dhir,GT,18,50,503,160.19
P Simran Singh,SRH,19,50,507,159.94
WG Jacks,LSG,20,48,603,153.44
B Sai Sudharsan,CSK,18,46,564,134.93
JM Sharma,RCB,19,44,512,166.23
RG Sharma,KKR,18,43,466,176.52
SS Iyer,LSG,16,43,346,157.27
Smaran Ravichandran,PBKS,17,43,449,145.78
Sameer Rizvi,LSG,19,42,516,192.54
N Rana,PBKS,14,42,420,166.67
VR Iyer,SRH,19,41,511,174.4
Aniket Verma,RR,18,41,424,171.66
Urvil Patel,MI,9,40,369,163.27
JP Inglis,GT,16,40,437,160.66
N Sindhu,DC,16,39,422,162.93
V Suryavanshi,PBKS,15,38,260,147.73
Abdul Samad,LSG,16,38,427,143.29
Tanush Kotian,CSK,12,35,232,205.31
MW Short,MI,10,34,290,162.01
RD Rickelton,LSG,12,32,311,142.66
Abishek Porel,DC,10,31,290,171.6
Hassan Nawaz,RCB,15,30,399,160.24
KA Pollard,CSK,12,29,329,174.07
RK Singh,MI,12,25,262,162.73
Atharva Taide,MI,6,25,201,160.8
Shashank Singh,PBKS,18,24,338,160.95
H Klaasen,CSK,8,24,233,137.87
R Parag,GT,16,23,385,165.95
Nithish Kumar Reddy,SRH,16,23,286,148.19
MJ Owen,DC,13,22,241,178.52
N Pooran,MI,18,22,396,160.98
JC Buttler,LSG,16,22,330,150.0
Karan Shinde,RCB,11,21,261,193.33
D Brevis,RR,12,21,260,149.43
TH David,PBKS,14,20,321,163.78
Shadab Khan,SRH,9,19,168,184.62
TP Ura,PBKS,7,19,177,182.47
RM Patidar,KKR,18,19,312,126.32
T Stubbs,CSK,11,18,221,160.14
Babar Azam,KKR,11,18,177,110.62
Jay Gohil,LSG,7,17,193,194.95
Shashwat Rawat,PBKS,4,17,131,150.57
MR Marsh,SRH,7,16,202,147.45
Rahul Singh,RCB,10,16,165,139.83
Dhruv Jurel,RCB,9,16,136,121.43
Anmolpreet Singh,CSK,10,15,154,202.63
GF Linde,GT,9,15,160,146.79
TM Head,GT,6,15,104,140.54
JDS Neesham,DC,8,15,158,133.9
PP Shaw,RCB,5,15,103,122.62
AHT Donald,RCB,7,14,136,174.36
T Banton,MI,7,14,143,160.67
AM Rahane,MI,5,14,167,138.02
D Wiese,GT,11,13,170,180.85
Ishan Kishan,MI,6,13,111,127.59
AB de Villiers,RR,6,12,142,167.06
Chirag Jani,PBKS,9,12,174,164.15
WL Madsen,MI,6,12,171,158.33
MG Erasmus,RCB,9,12,101,116.09
HH Pandya,MI,13,10,157,174.44
JJ Smit,PBKS,5,10,87,174.0
N Wadhera,KKR,14,10,137,147.31
Arshad Khan,RR,10,9,99,176.79
MS Pepper,RR,6,9,97,149.23
AK Markram,DC,7,8,117,148.1
RR Rossouw,SRH,6,8,86,136.51
PHKD Mendis,SRH,8,8,115,129.21
YK Pathan,KKR,17,8,195,127.45
AD Russell,DC,3,7,91,211.63
Waseem Muhammad,DC,5,7,92,146.03
R Shepherd,GT,8,6,46,153.33
AA Kulkarni,GT,3,6,38,140.74
Mohammad Nabi,LSG,5,6,63,140.0
Ashutosh Sharma,RCB,6,6,67,136.73
Suryansh Shedge,CSK,6,5,60,200.0
Faisal Khan,LSG,2,5,43,165.38
DAJ Bracewell,RCB,6,5,42,155.56
Ramandeep Singh,LSG,6,5,70,148.94
JN Loftie-Eaton,RR,4,5,74,142.31
HC Brook,MI,6,5,87,117.57
Hemang Patel,GT,9,5,86,116.22
LS Livingstone,KKR,2,5,49,96.08
DP Conway,PBKS,3,5,57,86.36
RA Jadeja,RCB,8,4,74,148.0
Akash Vasisht,DC,4,4,73,146.0
TA Boult,MI,8,4,70,145.83
Gaurav Puri,CSK,5,4,77,137.5
Azmatullah Omarzai,LSG,2,4,47,134.29
D Ferreira,DC,6,4,55,130.95
SR Hain,MI,3,4,58,128.89
DS Airee,RCB,4,4,35,125.0
DR Sams,GT,7,4,44,112.82
Washington Sundar,PBKS,10,4,53,79.1
GD Phillips,GT,6,3,80,216.22
V Nigam,MI,2,3,36,211.76
MS Dhoni,CSK,2,3,54,174.19
Karan Lal,RR,3,3,27,150.0
RA Bawa,SRH,4,3,42,140.0
RR Pant,GT,2,3,35,140.0
