partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
CH Gayle  - Tilak Varma,CSK,692,398,17,89,23,173.87,40.71,3.55
MP Stoinis  - SP Narine,KKR,568,361,15,61,19,157.34,37.87,4.51
RD Gaikwad  - SV Samson,GT,537,315,11,68,11,170.48,48.82,3.99
Tarang Gohel  - V Kohli,DC,469,259,14,59,16,181.08,33.5,3.45
KL Rahul  - Priyansh Arya,SRH,454,282,12,50,9,160.99,37.83,4.78
GJ Maxwell  - S Dube,RR,447,255,8,36,19,175.29,55.88,4.64
P Simran Singh  - Priyansh Arya,SRH,416,254,14,48,12,163.78,29.71,4.23
B Sai Sudharsan  - Tilak Varma,CSK,402,261,11,37,13,154.02,36.55,5.22
BJ McMullen  - S Dube,RR,392,224,7,34,13,175.0,56.0,4.77
Abhishek Sharma  - Urvil Patel,MI,386,223,6,45,13,173.09,64.33,3.84
Aniket Verma  - S Dube,RR,373,224,8,35,13,166.52,46.62,4.67
RD Rickelton  - Shubman Gill,LSG,367,207,10,46,10,177.29,36.7,3.7
Naman Dhir  - R Parag,GT,356,202,7,27,15,176.24,50.86,4.81
S Dube  - YBK Jaiswal,RR,330,185,8,25,14,178.38,41.25,4.74
PD Salt  - PWH de Silva,RCB,327,184,6,38,11,177.72,54.5,3.76
FH Allen  - V Suryavanshi,PBKS,324,194,14,43,7,167.01,23.14,3.88
Nithish Kumar Reddy  - VR Iyer,SRH,323,200,9,29,10,161.5,35.89,5.13
B Sai Sudharsan  - KA Pollard,CSK,319,210,8,25,6,151.9,39.88,6.77
SS Iyer  - Shubman Gill,LSG,311,184,10,30,15,169.02,31.1,4.09
Shubman Gill  - WG Jacks,LSG,292,180,12,23,14,162.22,24.33,4.86
C Green  - MP Stoinis,KKR,279,164,7,31,8,170.12,39.86,4.21
JP Inglis  - RD Gaikwad,GT,275,178,6,21,8,154.49,45.83,6.14
SA Yadav  - V Kohli,DC,269,158,7,30,9,170.25,38.43,4.05
C Green  - RG Sharma,KKR,258,130,5,27,8,198.46,51.6,3.71
KL Rahul  - VR Iyer,SRH,253,155,8,18,8,163.23,31.62,5.96
Naman Dhir  - RD Gaikwad,GT,249,151,9,27,3,164.9,27.67,5.03
N Sindhu  - SA Yadav,DC,238,131,5,20,12,181.68,47.6,4.09
BJ McMullen  - YBK Jaiswal,RR,233,120,5,25,8,194.17,46.6,3.64
B Sai Sudharsan  - H Klaasen,CSK,233,162,5,20,5,143.83,46.6,6.48
JP Inglis  - Naman Dhir,GT,232,140,7,22,9,165.71,33.14,4.52
GJ Maxwell  - YBK Jaiswal,RR,229,118,7,27,7,194.07,32.71,3.47
JC Buttler  - WG Jacks,LSG,227,156,5,16,8,145.51,45.4,6.5
N Rana  - Smaran Ravichandran,PBKS,225,158,8,20,3,142.41,28.12,6.87
Shashank Singh  - TH David,PBKS,218,120,4,14,11,181.67,54.5,4.8
HH Pandya  - RK Singh,MI,216,109,4,20,10,198.17,54.0,3.63
FH Allen  - N Rana,PBKS,216,133,8,21,10,162.41,27.0,4.29
Abdul Samad  - Shubman Gill,LSG,211,124,3,20,5,170.16,70.33,4.96
BJ McMullen  - GJ Maxwell,RR,209,129,8,30,4,162.02,26.12,3.79
Abishek Porel  - SA Yadav,DC,208,106,5,22,9,196.23,41.6,3.42
C Green  - RM Patidar,KKR,207,139,8,15,7,148.92,25.88,6.32
JM Sharma  - PWH de Silva,RCB,206,112,3,17,9,183.93,68.67,4.31
KL Rahul  - MR Marsh,SRH,201,122,2,20,6,164.75,100.5,4.69
N Sindhu  - Tarang Gohel,DC,200,105,7,19,8,190.48,28.57,3.89
Abdul Samad  - JC Buttler,LSG,199,123,6,19,6,161.79,33.17,4.92
PD Salt  - Rahul Singh,RCB,194,126,5,21,8,153.97,38.8,4.34
RD Gaikwad  - TM Head,GT,191,114,4,25,4,167.54,47.75,3.93
N Sindhu  - V Kohli,DC,188,111,5,24,2,169.37,37.6,4.27
Aniket Verma  - GJ Maxwell,RR,185,107,5,21,8,172.9,37.0,3.69
Atharva Taide  - MW Short,MI,184,105,4,22,5,175.24,46.0,3.89
AM Rahane  - Urvil Patel,MI,179,117,2,15,5,152.99,89.5,5.85
Abhishek Sharma  - Atharva Taide,MI,178,102,6,26,3,174.51,29.67,3.52
Hassan Nawaz  - PWH de Silva,RCB,175,96,3,15,8,182.29,58.33,4.17
KL Rahul  - Nithish Kumar Reddy,SRH,165,115,2,11,3,143.48,82.5,8.21
Abishek Porel  - Tarang Gohel,DC,161,88,3,15,6,182.95,53.67,4.19
RM Patidar  - YK Pathan,KKR,156,91,5,8,11,171.43,31.2,4.79
Abdul Samad  - SS Iyer,LSG,153,96,2,17,4,159.38,76.5,4.57
Hassan Nawaz  - PD Salt,RCB,152,91,5,12,5,167.03,30.4,5.35
AHT Donald  - PD Salt,RCB,151,83,6,16,7,181.93,25.17,3.61
FH Allen  - Shashwat Rawat,PBKS,151,88,4,23,2,171.59,37.75,3.52
AM Rahane  - Abhishek Sharma,MI,148,110,3,12,3,134.55,49.33,7.33
RD Rickelton  - WG Jacks,LSG,147,95,3,12,6,154.74,49.0,5.28
Babar Azam  - MP Stoinis,KKR,144,89,4,12,6,161.8,36.0,4.94
SA Yadav  - Tarang Gohel,DC,143,77,5,14,6,185.71,28.6,3.85
T Stubbs  - Tilak Varma,CSK,143,81,2,9,8,176.54,71.5,4.76
B Sai Sudharsan  - CH Gayle,CSK,140,101,7,9,6,138.61,20.0,6.73
JP Inglis  - R Parag,GT,140,87,5,9,5,160.92,28.0,6.21
RG Sharma  - RM Patidar,KKR,136,81,5,8,8,167.9,27.2,5.06
N Pooran  - T Banton,MI,135,72,4,8,8,187.5,33.75,4.5
JM Sharma  - PD Salt,RCB,134,94,4,7,5,142.55,33.5,7.83
D Brevis  - YBK Jaiswal,RR,132,86,6,14,4,153.49,22.0,4.78
P Simran Singh  - VR Iyer,SRH,128,58,3,15,5,220.69,42.67,2.9
Chirag Jani  - Shashank Singh,PBKS,127,76,4,10,4,167.11,31.75,5.43
Jay Gohil  - Sameer Rizvi,LSG,124,60,1,10,8,206.67,124.0,3.33
Abishek Porel  - N Sindhu,DC,122,81,2,13,1,150.62,61.0,5.79
BJ McMullen  - D Brevis,RR,121,96,4,9,3,126.04,30.25,8.0
Smaran Ravichandran  - TP Ura,PBKS,121,72,4,13,2,168.06,30.25,4.8
MP Stoinis  - RG Sharma,KKR,120,67,4,9,7,179.1,30.0,4.19
Nithish Kumar Reddy  - Shadab Khan,SRH,116,62,3,10,6,187.1,38.67,3.88
Abdul Samad  - Sameer Rizvi,LSG,116,63,3,9,6,184.13,38.67,4.2
Aniket Verma  - D Brevis,RR,116,55,1,9,8,210.91,116.0,3.24
Chirag Jani  - Smaran Ravichandran,PBKS,114,63,4,9,4,180.95,28.5,4.85
Dhruv Jurel  - PD Salt,RCB,114,85,5,12,4,134.12,22.8,5.31
N Pooran  - WL Madsen,MI,113,69,4,7,6,163.77,28.25,5.31
MR Marsh  - P Simran Singh,SRH,111,69,4,15,1,160.87,27.75,4.31
N Wadhera  - RG Sharma,KKR,110,68,2,8,5,161.76,55.0,5.23
Priyansh Arya  - VR Iyer,SRH,110,61,3,5,5,180.33,36.67,6.1
Babar Azam  - SP Narine,KKR,109,82,4,18,2,132.93,27.25,4.1
Jay Gohil  - WG Jacks,LSG,108,53,2,9,6,203.77,54.0,3.53
SS Iyer  - Sameer Rizvi,LSG,107,55,3,13,3,194.55,35.67,3.44
Tanush Kotian  - Tilak Varma,CSK,106,50,1,13,4,212.0,106.0,2.94
Abhishek Sharma  - MW Short,MI,105,69,4,7,5,152.17,26.25,5.75
JJ Smit  - N Rana,PBKS,105,54,1,11,4,194.44,105.0,3.6
HC Brook  - N Pooran,MI,104,64,2,3,7,162.5,52.0,6.4
MJ Owen  - Tarang Gohel,DC,103,46,2,9,5,223.91,51.5,3.29
KL Rahul  - P Simran Singh,SRH,103,76,6,7,5,135.53,17.17,6.33
Abdul Samad  - WG Jacks,LSG,103,68,6,9,5,151.47,17.17,4.86
KL Rahul  - PHKD Mendis,SRH,102,61,3,8,5,167.21,34.0,4.69
RM Patidar  - SP Narine,KKR,102,77,3,6,3,132.47,34.0,8.56
KA Pollard  - T Stubbs,CSK,100,48,3,10,5,208.33,33.33,3.2
DP Conway  - FH Allen,PBKS,98,63,2,14,3,155.56,49.0,3.71
Anmolpreet Singh  - H Klaasen,CSK,98,56,0,11,3,175.0,inf,4.0
