striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
PD Salt,RCB,20,8,760,168.89,0
RD Gaikwad,GT,18,7,758,169.2,0
Shubman Gill,LSG,20,6,777,190.44,1
KL Rahul,SRH,19,6,733,157.63,1
WG Jacks,LSG,20,6,603,153.44,0
S Dube,RR,19,5,813,166.6,0
Tilak Varma,CSK,18,5,680,160.76,0
MP Stoinis,KKR,16,5,623,162.66,2
B Sai Sudharsan,CSK,18,5,564,134.93,0
Priyansh Arya,SRH,17,5,554,164.39,0
P Simran Singh,SRH,19,5,507,159.94,0
V Kohli,DC,17,4,613,173.16,0
YBK Jaiswal,RR,18,4,590,182.66,0
PWH de Silva,RCB,14,4,562,191.81,0
Tarang Gohel,DC,18,4,560,188.55,0
SA Yadav,DC,18,4,559,172.0,1
C Green,KKR,18,4,538,175.82,1
GJ Maxwell,RR,18,4,525,175.59,0
Sameer Rizvi,LSG,19,4,516,192.54,0
BJ McMullen,RR,16,4,514,159.13,0
JM Sharma,RCB,19,4,512,166.23,0
CH Gayle,CSK,18,3,559,166.37,1
Abhishek Sharma,MI,18,3,541,175.08,0
SP Narine,KKR,18,3,530,157.27,0
Naman Dhir,GT,18,3,503,160.19,0
FH Allen,PBKS,18,3,479,167.48,0
RG Sharma,KKR,18,3,466,176.52,0
Shashank Singh,PBKS,18,3,338,160.95,0
RD Rickelton,LSG,12,3,311,142.66,0
H Klaasen,CSK,8,3,233,137.87,0
VR Iyer,SRH,19,2,511,174.4,1
Smaran Ravichandran,PBKS,17,2,449,145.78,0
JP Inglis,GT,16,2,437,160.66,0
Abdul Samad,LSG,16,2,427,143.29,0
N Sindhu,DC,16,2,422,162.93,0
N Rana,PBKS,14,2,420,166.67,1
Hassan Nawaz,RCB,15,2,399,160.24,0
SV Samson,GT,15,2,376,154.1,0
Urvil Patel,MI,9,2,369,163.27,1
SS Iyer,LSG,16,2,346,157.27,0
KA Pollard,CSK,12,2,329,174.07,0
Abishek Porel,DC,10,2,290,171.6,0
MW Short,MI,10,2,290,162.01,0
Jay Gohil,LSG,7,2,193,194.95,0
TP Ura,PBKS,7,2,177,182.47,0
AB de Villiers,RR,6,2,142,167.06,0
Aniket Verma,RR,18,1,424,171.66,0
N Pooran,MI,18,1,396,160.98,0
R Parag,GT,16,1,385,165.95,0
JC Buttler,LSG,16,1,330,150.0,0
TH David,PBKS,14,1,321,163.78,0
RM Patidar,KKR,18,1,312,126.32,0
Nithish Kumar Reddy,SRH,16,1,286,148.19,0
RK Singh,MI,12,1,262,162.73,0
MJ Owen,DC,13,1,241,178.52,0
Tanush Kotian,CSK,12,1,232,205.31,0
T Stubbs,CSK,11,1,221,160.14,0
MR Marsh,SRH,7,1,202,147.45,0
Atharva Taide,MI,6,1,201,160.8,0
Chirag Jani,PBKS,9,1,174,164.15,0
WL Madsen,MI,6,1,171,158.33,0
GF Linde,GT,9,1,160,146.79,0
T Banton,MI,7,1,143,160.67,0
AHT Donald,RCB,7,1,136,174.36,0
PP Shaw,RCB,5,1,103,122.62,0
RR Rossouw,SRH,6,1,86,136.51,0
