striker,batting_team,num_innings,sixes,runs,strike_rate
S Dube,RR,20,36,847,164.79
Shubman Gill,LSG,21,33,803,191.19
PD Salt,RCB,20,29,760,168.89
Sameer Rizvi,LSG,20,28,522,191.91
WG Jacks,LSG,21,28,614,152.74
PWH de Silva,RCB,14,26,562,191.81
CH Gayle,CSK,18,26,559,166.37
KL Rahul,SRH,19,25,733,157.63
SA Yadav,DC,18,24,559,172.0
MP Stoinis,KKR,16,24,623,162.66
YBK Jaiswal,RR,19,23,608,182.04
R Parag,GT,16,23,385,165.95
JM Sharma,RCB,19,22,512,166.23
N Pooran,MI,18,22,396,160.98
Tilak Varma,CSK,18,22,680,160.76
C Green,KKR,18,21,538,175.82
VR Iyer,SRH,19,21,511,174.4
Hassan Nawaz,RCB,15,21,399,160.24
Tarang Gohel,DC,18,20,560,188.55
V Kohli,DC,17,20,613,173.16
Aniket Verma,RR,19,20,442,170.66
P Simran Singh,SRH,19,20,507,159.94
SP Narine,KKR,18,19,530,157.27
RG Sharma,KKR,18,18,466,176.52
Abhishek Sharma,MI,18,18,541,175.08
GJ Maxwell,RR,19,18,554,173.67
BJ McMullen,RR,17,18,529,157.91
N Rana,PBKS,14,17,420,166.67
TH David,PBKS,14,17,321,163.78
JC Buttler,LSG,17,17,390,150.58
Karan Shinde,RCB,11,16,261,193.33
RD Gaikwad,GT,18,16,758,169.2
Priyansh Arya,SRH,17,16,554,164.39
Naman Dhir,GT,18,16,503,160.19
JP Inglis,GT,16,15,437,160.66
YK Pathan,KKR,17,15,195,127.45
Shashank Singh,PBKS,18,14,338,160.95
B Sai Sudharsan,CSK,18,14,564,134.93
FH Allen,PBKS,18,13,479,167.48
N Sindhu,DC,16,13,422,162.93
Abdul Samad,LSG,17,13,445,144.01
Urvil Patel,MI,9,12,369,163.27
D Brevis,RR,12,12,260,149.43
MJ Owen,DC,13,11,241,178.52
HH Pandya,MI,13,11,157,174.44
T Stubbs,CSK,11,11,221,160.14
RM Patidar,KKR,18,11,312,126.32
Jay Gohil,LSG,8,10,193,193.0
D Wiese,GT,11,10,170,180.85
KA Pollard,CSK,12,10,329,174.07
Abishek Porel,DC,10,10,290,171.6
RD Rickelton,LSG,13,10,361,143.25
Chirag Jani,PBKS,9,9,174,164.15
SS Iyer,LSG,16,9,346,157.27
Nithish Kumar Reddy,SRH,16,9,286,148.19
Tanush Kotian,CSK,12,8,232,205.31
Anmolpreet Singh,CSK,10,8,154,202.63
AB de Villiers,RR,7,8,150,168.54
RK Singh,MI,12,8,262,162.73
MW Short,MI,10,8,290,162.01
SV Samson,GT,15,8,376,154.1
AK Markram,DC,7,8,117,148.1
N Wadhera,KKR,14,8,137,147.31
Smaran Ravichandran,PBKS,17,8,449,145.78
GD Phillips,GT,6,7,80,216.22
AD Russell,DC,3,7,91,211.63
TP Ura,PBKS,7,7,177,182.47
WL Madsen,MI,6,7,171,158.33
MR Marsh,SRH,7,7,202,147.45
GF Linde,GT,9,7,160,146.79
Rahul Singh,RCB,10,7,165,139.83
Shadab Khan,SRH,9,6,168,184.62
AHT Donald,RCB,7,6,136,174.36
Atharva Taide,MI,6,6,201,160.8
T Banton,MI,7,6,143,160.67
RA Jadeja,RCB,8,6,74,148.0
TA Boult,MI,8,6,70,145.83
