bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Arshdeep Singh,LSG,17,580,385,30,67,19,143,10,0,9.04,12.83,4.48,37.14,443.47,5-26 (24),4-1-1
JC Archer,LSG,14,535,314,28,49,22,97,5,0,10.22,11.21,4.42,30.89,421.77,4-24 (24),6-4-0
A Nagwaswalla,RR,13,451,310,26,57,14,134,5,0,8.73,11.92,4.37,43.23,404.94,4-22 (24),4-2-0
S Dube,RR,17,498,314,25,43,21,100,11,0,9.52,12.56,4.91,31.85,385.22,3-22 (18),4-0-0
Shashank Singh,PBKS,18,520,318,25,54,22,124,11,1,9.81,12.72,4.18,38.99,381.8,4-28 (24),3-2-0
B Kumar,KKR,15,576,331,24,68,22,115,8,1,10.44,13.79,3.68,34.74,357.08,4-29 (24),3-2-0
PWH de Silva,RCB,13,449,294,23,34,19,84,10,0,9.16,12.78,5.55,28.57,364.43,4-23 (18),4-1-0
M Pathirana,RCB,11,377,227,22,43,11,74,6,0,9.96,10.32,4.2,32.6,357.8,4-36 (22),3-1-0
Tanush Kotian,CSK,16,571,378,21,47,21,107,11,2,9.06,18.0,5.56,28.31,323.85,3-23 (24),2-0-0
Karan Lal,RR,13,478,298,21,35,21,81,9,0,9.62,14.19,5.32,27.18,331.79,4-45 (24),3-1-0
JJ Bumrah,DC,13,430,288,20,23,19,71,12,0,8.96,14.4,6.86,24.65,329.72,5-33 (24),3-2-1
MA Starc,KKR,11,403,232,20,43,18,77,3,0,10.42,11.6,3.8,33.19,321.86,4-47 (24),4-1-0
LI Meriwala,DC,11,372,264,19,36,9,84,6,0,8.45,13.89,5.87,31.82,320.27,4-40 (24),2-1-0
Shaheen Shah Afridi,MI,10,343,221,19,38,12,82,6,0,9.31,11.63,4.42,37.1,320.09,5-36 (24),2-1-1
WG Jacks,LSG,18,494,311,19,43,17,86,10,0,9.53,16.37,5.18,27.65,301.78,5-26 (23),2-1-1
MJ Owen,DC,14,472,254,19,39,21,57,10,0,11.15,13.37,4.23,22.44,298.23,3-23 (12),2-0-0
