match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total,pitch
S08M001,1,54,33,163.64,28-2(2.2),109-3(11.1),1,22 off 16,32 off 17,,Kartik Sharma,SRH,3-225 (120),spin
S08M007,1,57,34,167.65,14-2(2.2),106-3(11.4),1,29 off 15,28 off 19,,Kartik Sharma,SRH,3-217 (120),pace
S08M012,2,48,29,165.52,92-2(8.4),,1,,33 off 23,15 off 6,Kartik Sharma,SRH,2-174 (99),pace
S08M016,2,128,50,256.0,20-2(2.1),,1,21 off 12,57 off 25,50 off 13,Kartik Sharma,SRH,5-208 (113),pace
S08M025,1,3,4,75.0,115-3(11.4),126-4(13.1),0,,3 off 4,,Kartik Sharma,SRH,10-161 (108),pace
S08M029,1,72,29,248.28,95-3(9.3),186-10(19.1),0,,31 off 17,41 off 12,Kartik Sharma,SRH,10-186 (115),spin
S08M035,2,0,1,0.0,159-4(18.3),159-4(18.3),1,,,0 off 1,Kartik Sharma,SRH,4-174 (115),pace
S08M040,2,73,34,214.71,82-3(10.2),,0,,24 off 15,49 off 19,Kartik Sharma,SRH,9-187 (120),neutralish
S08M043,1,43,28,153.57,41-2(3.5),150-3(14.1),1,9 off 6,34 off 22,,Kartik Sharma,SRH,3-229 (120),pace
S08M008,2,41,29,141.38,1-0(0.0),78-1(7.0),1,39 off 24,2 off 5,,GJ Maxwell,DC,2-211 (117),spin
S08M015,1,80,43,186.05,0-0(0.1),179-2(15.0),0,29 off 16,51 off 27,,GJ Maxwell,DC,4-235 (120),spin
S08M020,1,19,9,211.11,2-0(0.1),38-2(3.2),1,19 off 9,,,GJ Maxwell,DC,5-222 (120),spin
S08M025,2,96,54,177.78,0-0(0.1),,1,30 off 19,52 off 27,14 off 8,GJ Maxwell,DC,6-164 (103),pace
S08M028,2,87,44,197.73,4-0(0.1),150-2(14.1),1,32 off 17,55 off 27,,GJ Maxwell,DC,4-242 (116),pace
S08M034,1,0,1,0.0,0-1(0.1),0-1(0.1),1,0 off 1,,,GJ Maxwell,DC,3-250 (120),spin
S08M038,2,49,22,222.73,4-0(0.1),117-2(10.1),1,28 off 13,21 off 9,,GJ Maxwell,DC,3-130 (69),pace
S08M042,2,75,41,182.93,1-0(0.1),167-4(16.2),0,33 off 14,24 off 20,18 off 7,GJ Maxwell,DC,10-189 (117),spin
S08M008,2,33,24,137.5,79-1(7.2),131-2(13.2),1,,33 off 24,,SA Yadav,DC,2-211 (117),spin
S08M015,1,50,29,172.41,83-1(6.3),189-3(16.0),0,,48 off 26,2 off 3,SA Yadav,DC,4-235 (120),spin
S08M020,1,98,51,192.16,12-1(1.3),176-4(16.5),1,32 off 16,55 off 30,11 off 5,SA Yadav,DC,5-222 (120),spin
S08M025,2,12,11,109.09,13-1(1.2),26-2(3.2),1,12 off 11,,,SA Yadav,DC,6-164 (103),pace
S08M028,2,63,37,170.27,40-1(4.4),189-3(17.0),1,11 off 6,43 off 25,9 off 6,SA Yadav,DC,4-242 (116),pace
S08M034,1,101,52,194.23,6-1(0.2),184-3(16.2),1,33 off 18,49 off 28,19 off 6,SA Yadav,DC,3-250 (120),spin
S08M038,2,49,30,163.33,44-1(3.4),117-3(10.2),1,14 off 13,35 off 17,,SA Yadav,DC,3-130 (69),pace
S08M042,2,38,19,200.0,40-2(3.5),88-3(8.1),0,25 off 9,13 off 10,,SA Yadav,DC,10-189 (117),spin
S08M005,2,0,1,0.0,0-1(0.1),0-1(0.1),1,0 off 1,,,Tilak Varma,CSK,7-149 (103),spin
S08M009,2,26,19,136.84,1-0(0.1),41-3(6.5),0,25 off 16,1 off 3,,Tilak Varma,CSK,7-202 (120),neutralish
S08M012,1,26,19,136.84,2-0(0.2),82-5(9.4),0,15 off 11,11 off 8,,Tilak Varma,CSK,10-171 (118),pace
S08M020,2,97,51,190.2,1-0(0.1),216-5(20.0),0,27 off 15,51 off 27,19 off 9,Tilak Varma,CSK,5-216 (120),spin
S08M024,1,0,1,0.0,1-1(0.3),1-1(0.3),0,0 off 1,,,Tilak Varma,CSK,4-186 (120),pace
S08M030,1,91,46,197.83,4-0(0.1),163-3(16.3),1,36 off 19,42 off 23,13 off 4,Tilak Varma,CSK,5-218 (120),pace
S08M034,2,113,57,198.25,4-0(0.1),198-2(17.0),0,51 off 22,54 off 29,8 off 6,Tilak Varma,CSK,6-236 (120),spin
S08M040,1,57,26,219.23,44-1(3.5),121-3(12.0),1,27 off 8,30 off 18,,Tilak Varma,CSK,10-194 (120),neutralish
S08M045,2,22,23,95.65,1-0(0.1),48-5(10.1),0,11 off 11,11 off 12,,Tilak Varma,CSK,10-94 (108),spin
S08M003,2,68,32,212.5,1-0(0.1),116-5(11.3),1,37 off 18,31 off 14,,Shubman Gill,LSG,8-211 (114),pace
S08M008,1,96,51,188.24,0-0(0.1),155-3(16.0),0,49 off 21,45 off 27,2 off 3,Shubman Gill,LSG,4-210 (120),spin
S08M014,1,8,3,266.67,4-0(0.1),8-1(0.3),0,8 off 3,,,Shubman Gill,LSG,8-145 (120),spin
S08M017,2,80,41,195.12,1-0(0.1),166-4(17.1),1,29 off 11,45 off 26,6 off 4,Shubman Gill,LSG,6-211 (119),pace
S08M024,2,0,2,0.0,0-0(0.1),0-1(0.2),1,0 off 2,,,Shubman Gill,LSG,5-190 (118),pace
S08M027,1,12,9,133.33,1-0(0.1),25-1(2.3),1,12 off 9,,,Shubman Gill,LSG,4-195 (120),pace
S08M031,1,108,58,186.21,4-0(0.1),,1,48 off 19,37 off 28,23 off 11,Shubman Gill,LSG,3-224 (120),spin
S08M039,2,9,6,150.0,0-0(0.1),17-2(1.4),0,9 off 6,,,Shubman Gill,LSG,10-182 (110),neutralish
S08M043,2,23,9,255.56,4-0(0.1),35-1(3.2),0,23 off 9,,,Shubman Gill,LSG,7-222 (120),pace
S08M001,1,104,54,192.59,18-1(1.5),,1,9 off 8,58 off 31,37 off 15,KL Rahul,SRH,3-225 (120),spin
S08M007,1,1,4,25.0,13-1(1.4),14-2(2.1),1,1 off 4,,,KL Rahul,SRH,3-217 (120),pace
S08M012,2,61,36,169.44,38-1(3.2),,1,15 off 8,42 off 25,4 off 3,KL Rahul,SRH,2-174 (99),pace
S08M016,2,5,2,250.0,4-1(0.3),11-2(1.3),1,5 off 2,,,KL Rahul,SRH,5-208 (113),pace
S08M025,1,28,17,164.71,51-1(5.3),109-2(11.0),0,9 off 3,19 off 14,,KL Rahul,SRH,10-161 (108),pace
S08M029,1,45,29,155.17,29-1(4.0),129-4(13.5),0,21 off 6,24 off 23,,KL Rahul,SRH,10-186 (115),spin
S08M035,2,16,8,200.0,154-2(17.0),,1,,,16 off 8,KL Rahul,SRH,4-174 (115),pace
S08M040,2,37,22,168.18,65-2(8.3),134-4(15.2),0,,37 off 21,0 off 1,KL Rahul,SRH,9-187 (120),neutralish
S08M043,1,100,55,181.82,18-1(1.3),,1,32 off 16,45 off 29,23 off 10,KL Rahul,SRH,3-229 (120),pace
S08M005,1,45,23,195.65,4-0(0.1),87-5(7.1),0,43 off 20,2 off 3,,Aniket Verma,RR,9-143 (120),spin
S08M006,2,34,17,200.0,6-0(0.1),79-1(6.4),1,28 off 14,6 off 3,,Aniket Verma,RR,3-218 (109),pace
S08M011,2,66,46,143.48,0-0(0.1),142-2(16.3),0,22 off 17,42 off 25,2 off 4,Aniket Verma,RR,5-189 (120),neutralish
S08M016,1,23,10,230.0,4-0(0.1),46-1(4.4),0,23 off 10,,,Aniket Verma,RR,5-205 (120),pace
S08M021,2,21,17,123.53,4-0(0.1),70-2(7.1),1,19 off 13,2 off 4,,Aniket Verma,RR,8-196 (113),pace
S08M026,2,55,22,250.0,1-0(0.1),82-2(5.5),0,55 off 22,,,Aniket Verma,RR,10-154 (102),spin
S08M032,2,92,43,213.95,6-0(0.1),170-6(14.4),1,53 off 19,39 off 24,,Aniket Verma,RR,9-215 (109),pace
S08M036,2,45,29,155.17,6-0(0.1),72-2(10.3),0,30 off 16,15 off 13,,Aniket Verma,RR,7-148 (120),spin
S08M004,1,96,58,165.52,0-0(0.1),,1,39 off 19,31 off 27,26 off 12,Urvil Patel,MI,7-168 (120),spin
S08M010,2,0,2,0.0,0-0(0.1),0-1(0.2),0,0 off 2,,,Urvil Patel,MI,7-189 (120),pace
S08M022,1,0,1,0.0,0-1(0.1),0-1(0.1),0,0 off 1,,,Urvil Patel,MI,10-172 (117),pace
S08M030,2,97,52,186.54,0-0(0.1),170-4(16.0),0,51 off 24,38 off 24,8 off 4,Urvil Patel,MI,8-216 (120),pace
S08M033,2,94,57,164.91,3-0(0.2),,1,11 off 17,50 off 28,33 off 12,Urvil Patel,MI,3-206 (114),pace
S08M037,2,83,44,188.64,7-0(0.2),173-3(15.2),1,41 off 20,36 off 22,6 off 2,Urvil Patel,MI,4-193 (101),spin
S08M003,2,4,2,200.0,99-2(9.2),99-3(9.3),1,,4 off 2,,Abishek Porel,LSG,8-211 (114),pace
S08M008,1,44,32,137.5,66-2(6.5),160-4(17.2),0,,36 off 24,8 off 8,Abishek Porel,LSG,4-210 (120),spin
S08M014,1,23,18,127.78,24-2(2.3),78-4(9.1),0,12 off 8,11 off 10,,Abishek Porel,LSG,8-145 (120),spin
S08M017,2,0,1,0.0,158-3(16.4),158-3(16.4),1,,,0 off 1,Abishek Porel,LSG,6-211 (119),pace
S08M024,2,47,27,174.07,52-2(7.2),,1,,32 off 19,15 off 8,Abishek Porel,LSG,5-190 (118),pace
S08M027,1,66,40,165.0,60-2(6.3),,1,,35 off 28,31 off 12,Abishek Porel,LSG,4-195 (120),pace
S08M031,1,61,39,156.41,50-2(5.2),179-3(18.1),1,3 off 4,45 off 26,13 off 9,Abishek Porel,LSG,3-224 (120),spin
S08M039,2,43,26,165.38,20-2(1.5),69-4(7.4),0,34 off 19,9 off 7,,Abishek Porel,LSG,10-182 (110),neutralish
S08M043,2,51,37,137.84,63-2(5.4),,0,3 off 1,40 off 28,8 off 8,Abishek Porel,LSG,7-222 (120),pace
S08M009,1,74,47,157.45,17-1(1.4),172-6(17.2),1,24 off 18,39 off 23,11 off 6,Ishan Kishan,KKR,6-209 (120),neutralish
S08M013,1,0,1,0.0,5-2(1.0),5-2(1.0),1,0 off 1,,,Ishan Kishan,KKR,10-130 (93),pace
S08M019,1,8,8,100.0,0-0(0.1),32-2(3.1),0,8 off 8,,,Ishan Kishan,KKR,10-176 (106),pace
S08M023,2,0,1,0.0,8-1(1.0),19-2(1.3),1,0 off 1,,,Ishan Kishan,KKR,6-160 (111),spin
S08M026,1,65,47,138.3,0-0(0.1),150-6(16.1),1,29 off 17,34 off 26,2 off 4,Ishan Kishan,KKR,10-170 (107),spin
S08M031,2,116,61,190.16,1-0(0.1),215-3(19.4),0,25 off 15,49 off 30,42 off 16,Ishan Kishan,KKR,3-223 (120),spin
S08M037,1,1,3,33.33,9-0(1.1),10-1(1.4),0,1 off 3,,,Ishan Kishan,KKR,7-187 (120),spin
S08M042,1,58,39,148.72,2-0(0.1),115-2(14.0),1,18 off 17,40 off 22,,Ishan Kishan,KKR,3-203 (120),spin
S08M005,1,3,3,100.0,20-1(1.3),40-2(3.3),0,3 off 3,,,S Dube,RR,9-143 (120),spin
S08M006,2,65,35,185.71,83-1(6.5),,1,,44 off 27,21 off 8,S Dube,RR,3-218 (109),pace
S08M011,2,83,55,150.91,13-1(1.3),186-5(19.2),0,18 off 16,45 off 29,20 off 10,S Dube,RR,5-189 (120),neutralish
S08M016,1,60,42,142.86,49-1(4.5),,0,12 off 6,35 off 26,13 off 10,S Dube,RR,5-205 (120),pace
S08M021,2,48,24,200.0,24-1(2.3),87-4(9.3),1,32 off 16,16 off 8,,S Dube,RR,8-196 (113),pace
S08M026,2,2,4,50.0,83-2(6.0),85-3(6.4),0,1 off 1,1 off 3,,S Dube,RR,10-154 (102),spin
S08M032,2,29,16,181.25,34-1(2.2),101-2(7.3),1,27 off 11,2 off 5,,S Dube,RR,9-215 (109),pace
S08M036,2,25,24,104.17,40-1(5.4),83-3(12.2),0,5 off 2,20 off 22,,S Dube,RR,7-148 (120),spin
S08M007,2,89,45,197.78,1-0(0.2),145-4(14.2),0,45 off 19,44 off 26,,TL Seifert,PBKS,9-213 (120),pace
S08M015,2,56,38,147.37,10-0(0.4),172-2(15.1),1,14 off 8,42 off 29,0 off 1,TL Seifert,PBKS,7-238 (115),spin
S08M018,2,27,23,117.39,1-0(0.3),69-2(7.2),0,26 off 20,1 off 3,,TL Seifert,PBKS,10-151 (101),spin
S08M021,1,4,2,200.0,13-0(1.0),14-1(1.3),0,4 off 2,,,TL Seifert,PBKS,8-195 (120),pace
S08M027,2,55,41,134.15,1-0(0.2),141-4(15.3),0,8 off 15,47 off 24,0 off 2,TL Seifert,PBKS,9-188 (120),pace
S08M033,1,25,11,227.27,14-0(1.1),77-3(5.5),0,25 off 11,,,TL Seifert,PBKS,6-204 (120),pace
S08M045,1,53,27,196.3,2-0(0.2),74-1(6.4),1,49 off 23,4 off 4,,TL Seifert,PBKS,9-194 (120),spin
S08M001,2,26,23,113.04,50-1(4.4),127-3(12.0),0,1 off 5,25 off 18,,Priyansh Arya,RCB,10-131 (90),spin
S08M014,2,2,3,66.67,94-1(12.0),96-2(12.2),1,,2 off 3,,Priyansh Arya,RCB,5-150 (112),spin
S08M019,2,83,47,176.6,16-1(2.0),,1,17 off 11,37 off 27,29 off 9,Priyansh Arya,RCB,2-179 (108),pace
S08M022,2,25,16,156.25,3-1(1.0),70-2(7.1),1,23 off 13,2 off 3,,Priyansh Arya,RCB,5-178 (108),pace
S08M028,1,82,44,186.36,16-1(1.5),181-4(16.1),0,33 off 17,48 off 25,1 off 2,Priyansh Arya,RCB,6-238 (120),pace
S08M032,1,26,10,260.0,1-1(0.2),38-2(3.3),0,26 off 10,,,Priyansh Arya,RCB,8-211 (120),pace
S08M038,1,40,20,200.0,1-1(0.2),57-3(5.3),0,40 off 20,,,Priyansh Arya,RCB,10-126 (92),pace
S08M008,2,37,18,205.56,133-2(13.3),,1,,8 off 6,29 off 12,N Sindhu,DC,2-211 (117),spin
S08M015,1,26,12,216.67,181-2(15.2),,0,,,26 off 12,N Sindhu,DC,4-235 (120),spin
S08M020,1,12,8,150.0,157-3(15.2),,1,,,12 off 8,N Sindhu,DC,5-222 (120),spin
S08M025,2,33,19,173.68,27-2(3.3),116-3(11.3),1,7 off 4,26 off 15,,N Sindhu,DC,6-164 (103),pace
S08M028,2,48,14,342.86,151-2(14.2),,1,,2 off 2,46 off 12,N Sindhu,DC,4-242 (116),pace
S08M034,1,48,15,320.0,190-3(16.3),,1,,,48 off 15,N Sindhu,DC,3-250 (120),spin
S08M038,2,9,4,225.0,118-3(10.3),,1,,9 off 4,,N Sindhu,DC,3-130 (69),pace
