Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2026-06-20,1,RCB,SRH,SRH,KL Rahul (SRH) -> 104* off 54,KL Rahul (SRH) -> 104* off 54,Rasikh Salam (SRH) -> 4-2 (2.0),SRH 225-3 (20.0) beat RCB 131-10 (15.0) by 94 runs!,4.5/10
2026-06-20,2,KKR,DC,,,,,,
2026-06-20,3,LSG,GT,LSG,B Muzarabani (GT) -> 4-40 (4.0),Shubman Gill (LSG) -> 68 off 32,B Muzarabani (GT) -> 4-40 (4.0),LSG 211-8 (19.0) beat GT 209-6 (20.0) by 2 wickets!,8.4/10
2026-06-20,4,PBKS,MI,MI,Shivam Shukla (MI) -> 16* off 6 ; 6-24 (3.3),Urvil Patel (MI) -> 96* off 58,Shivam Shukla (MI) -> 6-24 (3.3),MI 168-7 (20.0) beat PBKS 160-10 (18.3) by 8 runs!,7.3/10
2026-06-20,5,RR,CSK,CSK,Tanay Thyagarajan (CSK) -> 3* off 4 ; 3-17 (4.0),Tanush Kotian (CSK) -> 48 off 29,Tanay Thyagarajan (CSK) -> 3-17 (4.0),CSK 149-7 (17.1) beat RR 143-9 (20.0) by 3 wickets!,6.6/10
2026-06-21,6,RCB,RR,RR,C Sakariya (RR) -> 4-38 (4.0),PD Salt (RR) -> 67 off 34,C Sakariya (RR) -> 4-38 (4.0),RR 218-3 (18.1) beat RCB 217-10 (19.0) by 7 wickets!,6.8/10
2026-06-21,7,SRH,PBKS,SRH,TL Seifert (PBKS) -> 89 off 45,TL Seifert (PBKS) -> 89 off 45,Rasikh Salam (SRH) -> 3-48 (4.0),SRH 217-3 (20.0) beat PBKS 213-9 (20.0) by 4 runs!,9.7/10
2026-06-21,8,DC,LSG,DC,Tarang Gohel (DC) -> 98* off 46,Tarang Gohel (DC) -> 98* off 46,JJ Bumrah (DC) -> 2-30 (4.0),DC 211-2 (19.3) beat LSG 210-4 (20.0) by 8 wickets!,7.3/10
2026-06-21,9,CSK,KKR,KKR,C Green (KKR) -> 25 off 20 ; 3-36 (4.0),Ishan Kishan (KKR) -> 74 off 47,C Green (KKR) -> 3-36 (4.0),KKR 209-6 (20.0) beat CSK 202-7 (20.0) by 7 runs!,7.0/10
2026-06-21,10,MI,GT,GT,Ashutosh Sharma (GT) -> 46 off 22 ; 2-24 (4.0),Abhishek Sharma (MI) -> 65 off 52,Sunil Kumar (MI) -> 3-19 (3.0),GT 193-10 (20.0) beat MI 189-7 (20.0) by 4 runs!,9.7/10
2026-06-27,11,GT,RR,GT,S Dube (RR) -> 83 off 55 ; 1-53 (3.0),S Dube (RR) -> 83 off 55,Mohammad Ghazanfar (RR) -> 2-25 (4.0),GT 200-8 (20.0) beat RR 189-5 (20.0) by 11 runs!,6.3/10
2026-06-27,12,CSK,SRH,SRH,Rasikh Salam (SRH) -> 3-30 (3.4),KL Rahul (SRH) -> 61* off 36,Rasikh Salam (SRH) -> 3-30 (3.4),SRH 174-2 (16.3) beat CSK 171-10 (19.4) by 8 wickets!,5.3/10
2026-06-27,13,KKR,MI,KKR,C Green (KKR) -> 57 off 35 ; 2-28 (4.0),C Green (KKR) -> 57 off 35,Suryansh Shedge (KKR) -> 3-28 (3.0),KKR 130-10 (15.3) beat MI 129-10 (15.5) by 1 run!,9.2/10
2026-06-27,14,LSG,RCB,RCB,PWH de Silva (RCB) -> 16* off 4 ; 3-34 (4.0),Atharva Taide (RCB) -> 47 off 43,KA Maharaj (RCB) -> 3-28 (4.0),RCB 150-5 (18.4) beat LSG 145-8 (20.0) by 5 wickets!,5.7/10
2026-06-27,15,DC,PBKS,PBKS,R Smaran (PBKS) -> 86 off 43,R Smaran (PBKS) -> 86 off 43,Harsh Dubey (DC) -> 3-39 (4.0),PBKS 238-7 (19.1) beat DC 235-4 (20.0) by 3 wickets!,8.3/10
