bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Rasikh Salam,SRH,13,454,287,30,40,19,90,7,1,9.49,9.57,4.86,31.36,461.4,4-2 (12),5-2-0
NT Ellis,SRH,13,527,290,25,53,23,87,5,2,10.9,11.6,3.82,30.0,377.13,4-43 (24),3-1-0
Sufiyan Muqeem,GT,10,366,220,22,28,15,56,7,0,9.98,10.0,5.12,25.45,361.39,5-37 (24),4-1-1
C Green,KKR,13,525,305,19,44,24,87,6,1,10.33,16.05,4.49,28.52,294.9,3-36 (24),1-0-0
HJ Manenti,RCB,10,390,205,19,42,17,53,4,0,11.41,10.79,3.47,25.85,306.46,4-29 (18),3-1-0
Shivam Shukla,MI,7,246,159,18,20,13,68,6,2,9.28,8.83,4.82,42.77,330.66,6-24 (21),1-1-1
JR Hazlewood,MI,11,351,258,17,17,14,61,10,0,8.16,15.18,8.32,23.64,302.23,3-26 (18),2-0-0
Shahbaz Ahmed,KKR,11,412,234,17,30,26,66,2,1,10.56,13.76,4.18,28.21,275.63,4-32 (24),3-1-0
Ashutosh Sharma,GT,14,515,336,16,41,19,95,8,0,9.2,21.0,5.6,28.27,259.89,3-29 (24),2-0-0
Shashank Singh,PBKS,12,359,219,16,42,12,73,3,0,9.84,13.69,4.06,33.33,270.48,3-27 (24),2-0-0
RE van der Merwe,CSK,10,337,201,16,34,17,67,2,0,10.06,12.56,3.94,33.33,272.45,4-37 (24),3-1-0
Mohammad Ghazanfar,RR,8,242,174,15,23,10,76,2,0,8.34,11.6,5.27,43.68,284.4,4-16 (18),2-1-0
B Kumar,KKR,9,315,190,15,33,14,73,4,2,9.95,12.67,4.04,38.42,265.02,4-26 (24),3-1-0
Harsh Dubey,DC,9,372,210,15,31,17,56,9,0,10.63,14.0,4.38,26.67,254.27,3-33 (24),3-0-0
JJ Smit,PBKS,12,371,264,14,26,18,94,8,1,8.43,18.86,6.0,35.61,249.24,3-32 (24),1-0-0
Pulkit Narang,KKR,7,223,149,14,15,13,49,2,0,8.98,10.64,5.32,32.89,269.21,4-11 (18),2-2-0
JJ Bumrah,DC,11,360,225,14,32,12,49,5,2,9.6,16.07,5.11,21.78,241.15,4-22 (18),1-1-0
Mohammad Amir,LSG,7,278,168,14,42,4,52,3,0,9.93,12.0,3.65,30.95,251.06,5-29 (24),2-1-1
H Ssenyondo,LSG,9,350,210,14,25,17,58,6,0,10.0,15.0,5.0,27.62,245.16,4-32 (24),2-1-0
SS Ghosh,RCB,9,347,180,14,32,15,40,6,2,11.57,12.86,3.83,22.22,239.51,4-45 (24),1-1-0
A Zampa,SRH,8,257,192,13,27,7,69,2,1,8.03,14.77,5.65,35.94,248.37,3-23 (24),2-0-0
Tanush Kotian,CSK,14,478,300,13,35,20,83,8,2,9.56,23.08,5.45,27.67,219.73,2-26 (18),0-0-0
KA Maharaj,RCB,6,182,138,12,14,7,58,4,0,7.91,11.5,6.57,42.03,257.19,4-30 (24),3-1-0
Ravi Teja,SRH,11,369,252,12,26,12,63,6,0,8.79,21.0,6.63,25.0,220.84,3-31 (24),1-0-0
PWH de Silva,RCB,12,430,276,12,36,16,79,10,0,9.35,23.0,5.31,28.62,209.16,3-34 (24),2-0-0
GF Linde,GT,9,272,166,12,31,11,63,2,0,9.83,13.83,3.95,37.95,225.6,3-27 (18),1-0-0
Geet Puri,CSK,6,216,138,11,17,9,43,2,0,9.39,12.55,5.31,31.16,224.49,4-43 (24),1-1-0
Karan Lal,RR,8,284,179,11,18,13,51,4,1,9.52,16.27,5.77,28.49,213.68,2-28 (24),0-0-0
M Pathirana,RCB,9,345,196,11,34,18,66,1,1,10.56,17.82,3.77,33.67,196.58,3-35 (24),1-0-0
Sikandar Raza,MI,8,331,186,11,30,21,69,4,0,10.68,16.91,3.65,37.1,198.94,2-33 (24),0-0-0
AK Markram,DC,7,295,135,10,32,13,20,3,0,13.11,13.5,3.0,14.81,179.05,3-52 (18),1-0-0
Prashant Solanki,CSK,3,83,66,9,4,4,23,0,0,7.55,7.33,8.25,34.85,253.12,5-21 (24),2-1-1
Atharva Ankolekar,RR,5,170,119,9,14,6,33,2,0,8.57,13.22,5.95,27.73,201.88,4-32 (23),2-1-0
JA Duffy,LSG,9,362,204,9,36,17,65,10,1,10.65,22.67,3.85,31.86,164.81,2-22 (24),0-0-0
Arshdeep Singh,LSG,6,237,132,9,29,7,41,4,0,10.77,14.67,3.67,31.06,182.1,4-43 (24),2-1-0
Junaid Siddique,RR,7,299,162,9,31,16,63,9,3,11.07,18.0,3.45,38.89,174.15,2-25 (24),0-0-0
B Muzarabani,GT,5,224,113,9,27,12,42,2,1,11.89,12.56,2.9,37.17,184.77,4-40 (24),2-1-0
C Sakariya,RR,6,218,144,8,22,5,32,4,0,9.08,18.0,5.33,22.22,170.77,4-38 (24),1-1-0
Tripuresh Singh,SRH,2,76,48,8,7,3,17,3,0,9.5,6.0,4.8,35.42,235.86,7-30 (24),1-1-1
Chirag Jani,RCB,7,300,168,8,35,9,52,11,0,10.71,21.0,3.82,30.95,157.57,3-55 (24),1-0-0
Sonu Yadav,CSK,9,323,172,8,31,14,38,4,0,11.27,21.5,3.82,22.09,149.73,2-37 (24),0-0-0
Ashwin Das,LSG,3,85,63,7,6,4,23,3,0,8.1,9.0,6.3,36.51,205.31,4-8 (15),1-1-0
Sunil Kumar,MI,4,100,69,7,9,5,28,2,1,8.7,9.86,4.93,40.58,193.95,3-19 (18),1-0-0
Satyajeet Bachhav,MI,4,136,90,7,12,6,32,0,0,9.07,12.86,5.0,35.56,177.74,2-25 (18),0-0-0
CV Varun,PBKS,8,286,186,7,26,9,49,4,0,9.23,26.57,5.31,26.34,148.51,3-12 (18),1-0-0
JC Archer,PBKS,4,132,78,7,8,9,24,1,0,10.15,11.14,4.59,30.77,177.15,4-27 (24),1-1-0
Shaheen Shah Afridi,DC,4,178,90,7,18,8,17,3,0,11.87,12.86,3.46,18.89,154.94,4-37 (24),1-1-0
KA Pollard,RR,12,343,169,7,32,16,30,3,0,12.18,24.14,3.52,17.75,128.67,2-29 (12),0-0-0
AR Ramjani,PBKS,8,237,179,6,23,10,82,3,0,7.94,29.83,5.42,45.81,148.19,3-25 (24),1-0-0
J Overton,GT,9,397,216,6,45,13,49,3,1,11.03,36.0,3.72,22.69,112.42,3-38 (24),1-0-0
S Dube,RR,11,292,156,6,27,12,30,7,0,11.23,26.0,4.0,19.23,121.92,1-7 (6),0-0-0
Mohammed Shami,MI,3,147,66,6,14,11,22,2,0,13.36,11.0,2.64,33.33,152.14,3-35 (18),1-0-0
Utkarsh Singh,PBKS,7,165,132,5,10,5,28,2,0,7.5,26.4,8.8,21.21,146.5,2-17 (18),0-0-0
Suryansh Shedge,KKR,5,160,114,5,15,6,42,4,0,8.42,22.8,5.43,36.84,138.81,3-28 (18),1-0-0
Kuldeep Yadav,LSG,6,206,142,5,21,7,52,3,0,8.7,28.4,5.07,36.62,130.17,2-10 (24),0-0-0
KH Pandya,SRH,3,109,72,5,10,5,25,0,0,9.08,14.4,4.8,34.72,148.07,4-36 (24),1-1-0
V Nigam,GT,12,247,156,5,17,8,20,4,0,9.5,31.2,6.24,12.82,119.69,2-13 (18),0-0-0
Prince Yadav,GT,3,108,66,5,12,2,14,2,0,9.82,13.2,4.71,21.21,142.84,3-17 (18),1-0-0
Fazalhaq Farooqi,CSK,6,227,138,5,24,7,44,4,1,9.87,27.6,4.45,31.88,122.63,2-34 (24),0-0-0
L Ngidi,RR,5,185,108,5,24,6,40,6,0,10.28,21.6,3.6,37.04,126.6,3-38 (24),1-0-0
DS Airee,DC,4,167,96,5,14,7,20,1,0,10.44,19.2,4.57,20.83,126.47,3-50 (24),1-0-0
WG Jacks,SRH,11,355,204,5,37,11,42,9,0,10.44,40.8,4.25,20.59,103.19,2-12 (12),0-0-0
M Siddharth,CSK,6,253,144,5,27,10,44,5,1,10.54,28.8,3.89,30.56,115.38,1-25 (24),0-0-0
Tanay Thyagarajan,CSK,6,253,144,5,18,15,42,7,0,10.54,28.8,4.36,29.17,116.65,3-17 (24),1-0-0
Easwaran K,DC,4,170,96,5,25,5,32,1,0,10.62,19.2,3.2,33.33,125.21,4-33 (24),1-1-0
GD Phillips,RR,7,276,150,5,37,9,48,3,0,11.04,30.0,3.26,32.0,109.97,2-15 (12),0-0-0
GJ Maxwell,DC,10,376,186,5,33,20,32,7,0,12.13,37.2,3.51,17.2,93.8,2-32 (24),0-0-0
T Natarajan,RR,4,178,87,5,15,10,16,3,1,12.28,17.4,3.48,18.39,119.06,3-22 (18),1-0-0
Naseem Shah,MI,4,183,89,5,18,9,20,2,0,12.34,17.8,3.3,22.47,119.68,3-55 (24),1-0-0
M Markande,SRH,2,58,42,4,7,1,14,1,0,8.29,10.5,5.25,33.33,153.68,3-33 (24),1-0-0
V Puthur,KKR,4,125,90,4,6,5,22,2,0,8.33,22.5,8.18,24.44,135.79,3-22 (18),1-0-0
Abhishek Sharma,MI,6,179,126,4,26,3,52,3,0,8.52,31.5,4.34,41.27,116.07,1-22 (18),0-0-0
DR Briggs,KKR,3,105,72,4,8,4,17,2,0,8.75,18.0,6.0,23.61,129.37,2-29 (24),0-0-0
Sayed Irfan Aftab,PBKS,5,161,108,4,10,4,18,3,0,8.94,27.0,7.71,16.67,123.76,1-20 (18),0-0-0
A Nagwaswalla,RR,1,36,24,4,4,2,11,1,0,9.0,6.0,4.0,45.83,0.0,4-36 (24),1-1-0
SO Ngoche,KKR,3,110,69,4,9,3,15,0,0,9.57,17.25,5.75,21.74,127.48,2-28 (24),0-0-0
Parvej Musaraf,KKR,5,154,96,4,16,4,28,6,0,9.62,24.0,4.8,29.17,116.73,3-37 (24),1-0-0
D Forrester,LSG,8,262,162,4,25,6,35,5,0,9.7,40.5,5.23,21.6,102.51,2-42 (24),0-0-0
Shubhang Hegde,LSG,8,297,180,4,25,13,45,3,0,9.9,45.0,4.74,25.0,97.16,2-29 (24),0-0-0
HH Pandya,LSG,11,359,210,4,21,18,36,7,0,10.26,52.5,5.38,17.14,92.2,2-29 (24),0-0-0
SP Narine,PBKS,6,120,66,4,11,5,17,2,0,10.91,16.5,4.12,25.76,120.27,2-6 (6),0-0-0
Parth Chandan,DC,6,241,132,4,24,12,44,4,1,10.95,33.0,3.67,33.33,100.63,2-36 (24),0-0-0
Arshad Khan,MI,4,124,66,4,11,7,20,1,0,11.27,16.5,3.67,30.3,119.46,3-44 (24),1-0-0
MJ Owen,DC,4,96,48,4,10,5,13,1,0,12.0,12.0,3.2,27.08,127.25,2-9 (12),0-0-0
Yash Singh,RCB,2,98,48,4,10,4,9,1,0,12.25,12.0,3.43,18.75,123.73,3-41 (24),1-0-0
Gurnoor Brar,DC,6,270,132,4,36,8,32,7,0,12.27,33.0,3.0,24.24,89.85,2-37 (18),0-0-0
Abrar Ahmed,KKR,5,213,102,4,24,12,33,2,0,12.53,25.5,2.83,32.35,99.15,2-23 (18),0-0-0
Abhishek Tanwar,MI,6,210,96,4,27,7,20,3,2,13.12,24.0,2.82,20.83,94.8,2-37 (18),0-0-0
Mangesh Yadav,GT,1,19,21,3,1,1,12,1,0,5.43,7.0,10.5,57.14,0.0,3-19 (21),1-0-0
DS Rathi,LSG,6,181,129,3,18,3,45,2,0,8.42,43.0,6.14,34.88,106.63,2-37 (18),0-0-0
Ehsan Khan,MI,5,201,116,3,16,10,28,2,1,10.4,38.67,4.46,24.14,87.83,2-34 (24),0-0-0
AD Russell,DC,10,220,120,3,24,9,24,1,0,11.0,40.0,3.64,20.0,78.79,2-6 (12),0-0-0
D Wiese,KKR,2,70,36,3,9,2,12,1,0,11.67,12.0,3.27,33.33,120.83,3-36 (18),1-0-0
Harshit Rana,GT,2,94,48,3,10,4,12,2,0,11.75,16.0,3.43,25.0,104.91,2-49 (24),0-0-0
SH Johnson,KKR,3,141,72,3,15,7,20,0,0,11.75,24.0,3.27,27.78,92.61,2-33 (24),0-0-0
M Poiyamozhi,CSK,3,132,66,3,8,9,14,3,0,12.0,22.0,3.88,21.21,94.19,1-30 (18),0-0-0
Washington Sundar,GT,1,50,24,3,6,2,4,0,0,12.5,8.0,3.0,16.67,0.0,3-50 (24),1-0-0
R Powell,CSK,3,27,24,2,2,0,7,2,0,6.75,12.0,12.0,29.17,0.0,1-7 (6),0-0-0
YS Chahal,KKR,3,68,60,2,3,2,19,4,0,6.8,30.0,12.0,31.67,133.62,1-15 (18),0-0-0
Ravi Bishnoi,SRH,2,48,42,2,4,1,18,0,0,6.86,21.0,8.4,42.86,129.6,2-29 (24),0-0-0
