striker,batting_team,num_innings,fours,runs,strike_rate
Ishan Kishan,KKR,16,75,633,175.35
SV Samson,GT,14,75,524,161.73
Shubman Gill,LSG,15,74,625,189.97
GJ Maxwell,DC,15,72,594,189.17
Urvil Patel,MI,12,68,750,178.15
KL Rahul,SRH,16,67,703,180.26
Tarang Gohel,DC,12,63,448,206.45
Priyansh Arya,RCB,13,63,601,173.7
Tilak Varma,CSK,14,61,625,170.3
P Simran Singh,SRH,16,57,524,151.45
SA Yadav,DC,13,56,639,181.02
TL Seifert,PBKS,12,55,462,163.25
Kartik Sharma,SRH,16,54,746,196.32
Aniket Verma,RR,12,54,527,188.89
Abishek Porel,LSG,15,51,609,155.36
S Dube,RR,13,51,513,154.05
Abhishek Sharma,MI,14,49,548,164.07
JP Inglis,GT,14,47,463,192.12
V Suryavanshi,PBKS,12,47,364,187.63
Naman Dhir,GT,13,47,435,182.01
WL Madsen,KKR,13,45,432,154.84
Atharva Taide,RCB,9,45,429,145.92
Tushar Raheja,MI,11,44,296,204.14
N Sindhu,DC,15,39,518,197.71
Ajay Rohera,LSG,10,37,353,166.51
CH Gayle,RCB,14,36,342,175.38
Tanush Kotian,CSK,11,35,282,197.2
V Nigam,GT,12,32,330,181.32
VR Iyer,SRH,15,31,359,201.69
D Brevis,GT,10,31,340,178.95
KA Pollard,RR,11,30,357,166.82
TM Head,KKR,6,30,347,163.68
C Green,KKR,15,30,447,160.79
Jay Gohil,KKR,9,29,282,212.03
Vansh Bedi,PBKS,12,29,284,189.33
Sameer Rizvi,LSG,15,28,300,193.55
SU Parakh,SRH,10,28,252,140.0
YBK Jaiswal,RR,14,27,258,226.32
MR Marsh,MI,12,27,314,166.14
GD Phillips,RR,13,26,275,187.07
Abhishek Pathak,RCB,6,25,243,220.91
PHKD Mendis,PBKS,12,25,283,160.8
T Stubbs,CSK,11,25,323,141.67
HH Pandya,LSG,14,24,376,198.94
SS Iyer,KKR,9,24,225,161.87
RM Patidar,RCB,14,24,294,144.12
Rohan Kunnummal,MI,7,23,227,173.28
Shashank Singh,PBKS,13,23,311,159.49
RD Gaikwad,CSK,13,22,175,180.41
V Kohli,CSK,9,22,167,145.22
PWH de Silva,RCB,9,19,198,220.0
JC Buttler,DC,10,19,236,205.22
JM Vince,CSK,5,18,181,147.15
DP Conway,LSG,9,17,208,140.54
Ritik Vats,DC,8,15,195,185.71
R Parag,GT,6,15,169,176.04
PD Salt,RR,7,15,142,144.9
JM Sharma,RCB,12,14,229,199.13
Ashutosh Sharma,GT,8,14,95,161.02
KK Nair,CSK,10,13,159,176.67
AM Rahane,CSK,5,13,145,131.82
AD Russell,DC,7,12,194,192.08
C Connolly,GT,3,12,82,128.12
Abhishek Tanwar,MI,7,11,104,173.33
J Fraser-McGurk,KKR,5,11,78,173.33
R Smaran,PBKS,7,11,186,155.0
Shahbaz Ahmed,KKR,9,11,87,140.32
Anmolpreet Singh,KKR,6,10,115,176.92
WG Jacks,SRH,9,10,119,127.96
BM Duckett,SRH,3,9,168,163.11
MP Stoinis,SRH,4,9,69,132.69
FH Allen,LSG,5,9,79,105.33
Shubhang Hegde,LSG,4,8,83,218.42
Rishabh Chouhan,GT,3,8,56,175.0
Sonu Yadav,CSK,6,8,144,153.19
Kumar Kushagra,RR,7,8,154,143.93
RD Rickelton,RR,6,8,109,126.74
N Rana,PBKS,3,7,92,153.33
MS Pepper,PBKS,2,7,114,142.5
R Powell,CSK,5,7,80,129.03
Siddhesh Veer,MI,7,6,121,192.06
T Dahiya,LSG,2,6,59,184.38
Sunny Sandhu,DC,2,6,70,152.17
HC Brook,GT,2,6,55,148.65
H Klaasen,CSK,5,6,97,144.78
Virat Singh,KKR,5,6,76,140.74
JJ Smit,PBKS,10,6,68,117.24
Nithish Kumar Reddy,GT,2,5,60,171.43
Utkarsh Singh,PBKS,6,5,73,165.91
J Overton,GT,4,5,60,162.16
Karan Shinde,SRH,4,5,38,158.33
A Mhatre,RCB,3,5,55,137.5
J Suresh Kumar,PBKS,4,5,46,135.29
Naveen-ul-Haq,CSK,2,5,40,133.33
Parth Chandan,DC,2,5,62,131.91
SP Narine,PBKS,6,5,74,129.82
Vishnu Vinod,RR,7,5,94,118.99
Sairaj Patil,KKR,2,4,40,142.86
JE Root,SRH,2,4,55,141.03
GF Linde,GT,3,4,30,136.36
Dhruv Jurel,LSG,3,4,27,135.0
RG Sharma,RCB,4,4,38,126.67
MJ Owen,DC,6,4,50,98.04
Shivam Shukla,MI,2,3,24,240.0
Adarsh Singh,DC,4,3,99,165.0
AR Patel,GT,1,3,33,137.5
Sikandar Raza,MI,5,3,37,137.04
Arshad Khan,MI,5,3,30,130.43
RE van der Merwe,CSK,7,3,54,128.57
Satyajeet Bachhav,MI,3,3,16,123.08
Rasikh Salam,SRH,4,3,18,120.0
AR Ramjani,PBKS,6,3,27,103.85
H Ssenyondo,LSG,2,2,14,233.33
Parvej Musaraf,KKR,3,2,27,192.86
N Pooran,MI,3,2,21,161.54
Kranthi Kumar,RCB,1,2,8,160.0
S Arora,KKR,5,2,55,148.65
LR Chethan,LSG,3,2,43,148.28
Suryansh Shedge,KKR,4,2,37,148.0
Mohammad Nabi,LSG,1,2,30,142.86
MS Dhoni,RCB,1,2,24,133.33
J Kariko,LSG,1,2,8,133.33
R Shepherd,SRH,2,2,11,122.22
RR Rossouw,MI,4,2,38,95.0
Sanskar Rawat,PBKS,1,2,17,94.44
PN Mankad,RCB,1,2,16,88.89
Sakibul Gani,RR,5,1,70,233.33
D Forrester,LSG,5,1,59,218.52
LI Meriwala,PBKS,1,1,4,200.0
D Wiese,KKR,3,1,19,172.73
Sufiyan Muqeem,GT,1,1,13,144.44
RK Singh,GT,3,1,33,137.5
SR Hain,RCB,1,1,5,125.0
Naman Tiwari,CSK,2,1,6,120.0
Anmol Malhotra,GT,2,1,33,117.86
Kunal Chandela,MI,3,1,44,115.79
HJ Manenti,RCB,4,1,15,115.38
KS Carlson,PBKS,1,1,9,112.5
YS Chahal,KKR,2,1,14,107.69
SR Dickson,PBKS,2,1,18,105.88
AK Markram,DC,2,1,22,100.0
TH David,GT,2,1,16,100.0
RA Jadeja,LSG,3,1,25,92.59
Kuldeep Yadav,LSG,2,1,13,86.67
JM Cox,SRH,1,1,6,85.71
DS Rathi,LSG,3,1,10,83.33
Naseem Shah,MI,1,1,4,80.0
Noor Ahmad,MI,2,1,4,66.67
KA Maharaj,RCB,4,1,9,47.37
CV Varun,PBKS,4,1,8,47.06
Prashant Solanki,CSK,2,1,4,33.33
