striker,batting_team,num_innings,sixes,runs,strike_rate
Kartik Sharma,SRH,15,36,694,194.4
SA Yadav,DC,13,32,639,181.02
N Sindhu,DC,15,29,518,197.71
Urvil Patel,MI,12,27,750,178.15
HH Pandya,LSG,14,26,376,198.94
Aniket Verma,RR,12,25,527,188.89
KL Rahul,SRH,15,25,640,176.31
Tilak Varma,CSK,14,23,625,170.3
Shubman Gill,LSG,15,22,625,189.97
C Green,KKR,14,22,427,159.93
Priyansh Arya,RCB,13,21,601,173.7
Abhishek Sharma,MI,14,20,548,164.07
VR Iyer,SRH,14,19,334,208.75
JM Sharma,RCB,12,18,229,199.13
JP Inglis,GT,14,18,463,192.12
GJ Maxwell,DC,15,18,594,189.17
D Brevis,GT,10,18,340,178.95
S Dube,RR,13,18,513,154.05
AD Russell,DC,7,17,194,192.08
Abishek Porel,LSG,15,17,609,155.36
YBK Jaiswal,RR,14,16,258,226.32
KA Pollard,RR,11,16,357,166.82
Sameer Rizvi,LSG,15,15,300,193.55
Naman Dhir,GT,13,15,435,182.01
MR Marsh,MI,12,15,314,166.14
Shashank Singh,PBKS,13,15,311,159.49
Jay Gohil,KKR,8,14,260,220.34
JC Buttler,DC,10,14,236,205.22
CH Gayle,RCB,14,14,342,175.38
Ishan Kishan,KKR,15,14,620,174.16
Abhishek Pathak,RCB,6,13,243,220.91
V Suryavanshi,PBKS,12,13,364,187.63
GD Phillips,RR,13,13,275,187.07
Ritik Vats,DC,8,13,195,185.71
V Nigam,GT,12,13,330,181.32
TM Head,KKR,5,13,318,164.77
TL Seifert,PBKS,12,13,462,163.25
P Simran Singh,SRH,15,13,507,152.71
Ajay Rohera,LSG,10,12,353,166.51
SV Samson,GT,14,12,524,161.73
T Stubbs,CSK,11,12,323,141.67
PWH de Silva,RCB,9,11,198,220.0
PHKD Mendis,PBKS,12,11,283,160.8
Sonu Yadav,CSK,6,11,144,153.19
Tarang Gohel,DC,12,10,448,206.45
Tanush Kotian,CSK,11,10,282,197.2
Vansh Bedi,PBKS,12,10,284,189.33
Kumar Kushagra,RR,7,10,154,143.93
DP Conway,LSG,9,10,208,140.54
Tushar Raheja,MI,11,9,296,204.14
BM Duckett,SRH,3,9,168,163.11
R Smaran,PBKS,7,9,186,155.0
Atharva Taide,RCB,9,9,429,145.92
RM Patidar,RCB,14,9,294,144.12
Siddhesh Veer,MI,7,8,121,192.06
R Parag,GT,6,8,169,176.04
Rohan Kunnummal,MI,7,8,227,173.28
Adarsh Singh,DC,4,8,99,165.0
