striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
Urvil Patel,MI,12,750,421,9,68,27,91,178.15,46.78,83.33,4.43,21.62,516.28,97 (52),9-8-0,247
Kartik Sharma,SRH,16,746,380,10,54,41,73,196.32,38.0,74.6,4.0,19.21,525.13,128* (50),12-8-1,218
KL Rahul,SRH,16,703,390,11,67,26,73,180.26,35.45,63.91,4.19,18.72,489.81,104* (54),10-6-2,234
SA Yadav,DC,13,639,353,12,56,32,95,181.02,29.42,53.25,4.01,26.91,451.04,114* (61),9-6-2,176
Ishan Kishan,KKR,16,633,361,15,75,15,87,175.35,24.07,42.2,4.01,24.1,440.47,116 (61),7-7-2,192
Shubman Gill,LSG,15,625,329,14,74,22,83,189.97,23.5,44.64,3.43,25.23,448.17,108* (58),7-5-1,160
Tilak Varma,CSK,14,625,367,13,61,23,90,170.3,28.23,48.08,4.37,24.52,435.24,113 (57),6-5-1,203
Abishek Porel,LSG,15,609,392,11,51,17,89,155.36,35.64,55.36,5.76,22.7,416.31,84* (45),11-6-0,246
Priyansh Arya,RCB,13,601,346,12,63,21,83,173.7,28.83,50.08,4.12,23.99,425.76,96 (56),8-5-0,187
GJ Maxwell,DC,15,594,314,14,72,18,78,189.17,22.43,42.43,3.49,24.84,429.22,96* (54),8-5-0,157
Abhishek Sharma,MI,14,548,334,13,49,20,83,164.07,25.69,42.15,4.84,24.85,386.55,81 (49),8-6-0,192
Aniket Verma,RR,12,527,279,12,54,25,77,188.89,23.25,43.92,3.53,27.6,393.17,110 (49),7-4-1,131
SV Samson,GT,14,524,324,14,75,12,131,161.73,23.14,37.43,3.72,40.43,368.37,89 (51),7-3-0,120
P Simran Singh,SRH,16,524,346,15,57,13,102,151.45,23.07,34.93,4.94,29.48,362.44,100 (58),7-4-1,179
N Sindhu,DC,15,518,262,8,39,29,43,197.71,32.75,64.75,3.85,16.41,401.62,75 (41),9-3-0,157
S Dube,RR,13,513,333,11,51,18,100,154.05,30.27,46.64,4.83,30.03,362.74,83 (55),7-4-0,173
JP Inglis,GT,14,463,241,13,47,18,48,192.12,18.54,35.62,3.71,19.92,359.11,109* (52),6-4-1,131
TL Seifert,PBKS,12,462,283,12,55,13,88,163.25,23.58,38.5,4.16,31.1,338.02,89 (45),6-5-0,135
Tarang Gohel,DC,12,448,217,10,63,10,51,206.45,21.7,44.8,2.97,23.5,361.56,117 (52),4-3-2,102
C Green,KKR,15,447,278,10,30,22,75,160.79,27.8,44.7,5.35,26.98,329.45,66* (47),7-3-0,161
Naman Dhir,GT,13,435,239,11,47,15,44,182.01,21.73,39.55,3.85,18.41,340.56,97* (43),5-3-0,138
WL Madsen,KKR,13,432,279,13,45,10,75,154.84,21.46,33.23,5.07,26.88,314.13,63 (46),7-4-0,155
Atharva Taide,RCB,9,429,294,9,45,9,92,145.92,32.67,47.67,5.44,31.29,309.96,81 (49),7-3-0,156
HH Pandya,LSG,14,376,189,5,24,26,45,198.94,37.8,75.2,3.78,23.81,324.31,62* (32),5-2-0,98
