Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2026-01-10,1,LSG,RR,LSG,JC Archer (LSG) -> 4-23 (4.0),Aniket Verma (RR) -> 69 off 43,JC Archer (LSG) -> 4-23 (4.0),LSG 189-6 (20.0) beat RR 186-10 (20.0) by 3 runs!,9.5/10
2026-01-10,2,DC,PBKS,PBKS,FH Allen (PBKS) -> 113 off 50,FH Allen (PBKS) -> 113 off 50,Samant Jakhar (DC) -> 2-26 (3.0),PBKS 224-4 (20.0) beat DC 205-6 (20.0) by 19 runs!,6.0/10
2026-01-10,3,KKR,SRH,KKR,B Kumar (KKR) -> 6-29 (3.5),BM Duckett (SRH) -> 55 off 41,B Kumar (KKR) -> 6-29 (3.5),KKR 175-7 (20.0) beat SRH 158-10 (19.5) by 17 runs!,5.0/10
2026-01-10,4,CSK,GT,CSK,Usman Khan (2) (CSK) -> 72 off 45 ; 4-23 (3.0),CH Gayle (CSK) -> 88 off 48,Usman Khan (2) (CSK) -> 4-23 (3.0),CSK 195-4 (20.0) beat GT 178-9 (20.0) by 17 runs!,5.8/10
2026-01-10,5,RCB,MI,RCB,PD Salt (RCB) -> 118 off 59,PD Salt (RCB) -> 118 off 59,TA Boult (MI) -> 2-41 (4.0),RCB 225-5 (20.0) beat MI 223-3 (20.0) by 5 wickets!,9.0/10
2026-01-11,6,LSG,SRH,SRH,JC Buttler (LSG) -> 83 off 52,JC Buttler (LSG) -> 83 off 52,NT Ellis (SRH) -> 2-36 (4.0),SRH 210-3 (19.0) beat LSG 204-4 (20.0) by 7 wickets!,7.2/10
2026-01-11,7,RR,CSK,RR,Tilak Varma (CSK) -> 88 off 46,Tilak Varma (CSK) -> 88 off 46,Karan Lal (RR) -> 3-35 (4.0),RR 211-7 (20.0) beat CSK 190-8 (20.0) by 21 runs!,4.5/10
2026-01-11,8,MI,DC,MI,Abhishek Sharma (MI) -> 103* off 54 ; 0-9 (1.0),Abhishek Sharma (MI) -> 103* off 54,PHKD Mendis (DC) -> 2-9 (2.0),MI 176-3 (17.2) beat DC 173-8 (20.0) by 7 wickets!,5.8/10
2026-01-11,9,PBKS,KKR,PBKS,R Ashwin (KKR) -> 7 off 8 ; 4-30 (4.0),TP Ura (PBKS) -> 62 off 32,R Ashwin (KKR) -> 4-30 (4.0),PBKS 178-8 (19.1) beat KKR 177-8 (20.0) by 2 wickets!,8.5/10
2026-01-11,10,RCB,GT,RCB,PWH de Silva (RCB) -> 95 off 39 ; 2-38 (4.0),PWH de Silva (RCB) -> 95 off 39,V Nigam (GT) -> 2-28 (4.0),RCB 189-7 (18.5) beat GT 188-8 (20.0) by 3 wickets!,7.8/10
2026-01-15,11,DC,SRH,SRH,MJ Owen (DC) -> 79 off 54 ; 2-11 (2.0),GJ Maxwell (DC) -> 84* off 48,MJ Owen (DC) -> 2-11 (2.0),SRH 201-8 (20.0) beat DC 199-4 (20.0) by 2 runs!,9.3/10
2026-01-15,12,RR,GT,GT,Aniket Verma (RR) -> 55 off 26,SV Samson (GT) -> 58 off 36,JG Bethell (RR) -> 2-34 (3.0),GT 205-7 (19.5) beat RR 200-5 (20.0) by 3 wickets!,8.4/10
2026-01-15,13,KKR,PBKS,TIE,MP Yadav (PBKS) -> 0 off 2 ; 4-19 (2.5),J Fraser-McGurk (KKR) -> 39 off 29,MP Yadav (PBKS) -> 4-19 (2.5),KKR 133-10 (17.5) tied with PBKS 133-10 (17.3)!,8.8/10
2026-01-15,14,LSG,RCB,LSG,Ashwin Das (LSG) -> 4-20 (2.1),JC Buttler (LSG) -> 55 off 33,Ashwin Das (LSG) -> 4-20 (2.1),LSG 210-5 (20.0) beat RCB 131-10 (15.1) by 79 runs!,4.2/10
2026-01-15,15,CSK,MI,MI,Atharva Taide (MI) -> 91 off 45,Atharva Taide (MI) -> 91 off 45,Shaheen Shah Afridi (MI) -> 3-39 (4.0),MI 218-2 (18.5) beat CSK 217-5 (20.0) by 8 wickets!,6.2/10
2026-01-17,16,DC,RCB,RCB,PD Salt (RCB) -> 89 off 52,PD Salt (RCB) -> 89 off 52,RR Patel (RCB) -> 3-44 (4.0),RCB 208-5 (20.0) beat DC 205-8 (20.0) by 5 wickets!,9.0/10
2026-01-17,17,LSG,GT,LSG,Shubman Gill (LSG) -> 95* off 53,Shubman Gill (LSG) -> 95* off 53,V Nigam (GT) -> 2-32 (4.0),LSG 194-5 (20.0) beat GT 172-7 (20.0) by 22 runs!,3.2/10
2026-01-17,18,MI,KKR,MI,LS Livingstone (KKR) -> 9* off 4 ; 4-39 (4.0),N Pooran (MI) -> 73* off 41,LS Livingstone (KKR) -> 4-39 (4.0),MI 193-6 (20.0) beat KKR 179-9 (20.0) by 14 runs!,6.7/10
2026-01-17,19,SRH,CSK,SRH,Imran Tahir (CSK) -> 4-16 (4.0),VR Iyer (SRH) -> 66 off 34,Imran Tahir (CSK) -> 4-16 (4.0),SRH 190-10 (20.0) beat CSK 189-6 (20.0) by 1 run!,9.2/10
2026-01-17,20,PBKS,RR,PBKS,Shashank Singh (PBKS) -> 24* off 12 ; 3-28 (4.0),Aniket Verma (RR) -> 39 off 18,Shashank Singh (PBKS) -> 3-28 (4.0),PBKS 170-6 (20.0) beat RR 145-9 (20.0) by 25 runs!,3.0/10
2026-01-18,21,MI,LSG,LSG,JC Buttler (LSG) -> 81* off 51,JC Buttler (LSG) -> 81* off 51,Arshdeep Singh (LSG) -> 3-46 (4.0),LSG 228-1 (20.0) beat MI 225-6 (20.0) by 3 runs!,9.4/10
2026-01-18,22,PBKS,CSK,CSK,Imran Tahir (CSK) -> 3-16 (2.4),KA Pollard (CSK) -> 38 off 22,Imran Tahir (CSK) -> 3-16 (2.4),CSK 92-5 (11.5) beat PBKS 90-10 (16.4) by 5 wickets!,4.2/10
2026-01-18,23,SRH,DC,DC,KL Rahul (SRH) -> 103* off 62,KL Rahul (SRH) -> 103* off 62,V Puthur (DC) -> 2-26 (3.0),DC 185-4 (18.2) beat SRH 184-6 (20.0) by 6 wickets!,7.0/10
2026-01-18,24,GT,RCB,GT,Salil Arora (RCB) -> 90* off 43,Salil Arora (RCB) -> 90* off 43,JA Duffy (GT) -> 3-32 (4.0),GT 214-4 (19.1) beat RCB 213-7 (20.0) by 6 wickets!,8.2/10
2026-01-18,25,RR,KKR,KKR,C Green (KKR) -> 68* off 35 ; 0-18 (2.0),C Green (KKR) -> 68* off 35,JR Hazlewood (RR) -> 2-29 (4.0),KKR 187-4 (20.0) beat RR 181-9 (20.0) by 6 runs!,8.3/10
2026-01-24,26,RCB,PBKS,RCB,PD Salt (RCB) -> 81 off 45,PD Salt (RCB) -> 81 off 45,Harsh Dubey (RCB) -> 3-42 (4.0),RCB 189-5 (17.3) beat PBKS 187-5 (20.0) by 5 wickets!,6.5/10
2026-01-24,27,RR,DC,DC,Karan Lal (RR) -> 11* off 9 ; 4-37 (4.0),Tarang Gohel (DC) -> 71 off 46,Karan Lal (RR) -> 4-37 (4.0),DC 206-8 (20.0) beat RR 205-7 (20.0) by 2 wickets!,9.5/10
2026-01-24,28,GT,CSK,CSK,CH Gayle (CSK) -> 15 off 11 ; 3-22 (2.0),JP Inglis (GT) -> 63 off 23,CH Gayle (CSK) -> 3-22 (2.0),CSK 201-6 (20.0) beat GT 196-10 (18.1) by 5 runs!,9.4/10
2026-01-24,29,KKR,MI,KKR,C Green (KKR) -> 27 off 11 ; 3-17 (2.4),YK Pathan (KKR) -> 42 off 38,MA Starc (KKR) -> 4-16 (2.0),KKR 139-9 (20.0) beat MI 76-10 (11.4) by 63 runs!,2.8/10
2026-01-24,30,SRH,LSG,SRH,Arshdeep Singh (LSG) -> 4-38 (4.0),BM Duckett (SRH) -> 82 off 43,Arshdeep Singh (LSG) -> 4-38 (4.0),SRH 202-9 (20.0) beat LSG 184-5 (20.0) by 18 runs!,6.3/10
2026-01-25,31,CSK,PBKS,,,,,,
2026-01-25,32,SRH,KKR,,,,,,
2026-01-25,33,RR,LSG,,,,,,
2026-01-25,34,MI,RCB,,,,,,
2026-01-25,35,DC,GT,,,,,,
2026-01-26,36,LSG,MI,,,,,,
2026-01-26,37,GT,KKR,,,,,,
2026-01-26,38,CSK,RR,,,,,,
2026-01-26,39,PBKS,DC,,,,,,
2026-01-26,40,RCB,SRH,,,,,,
2026-01-31,41,LSG,DC,,,,,,
2026-01-31,42,GT,SRH,,,,,,
2026-01-31,43,MI,PBKS,,,,,,
2026-01-31,44,KKR,RR,,,,,,
2026-01-31,45,RCB,CSK,,,,,,
2026-02-01,46,SRH,PBKS,,,,,,
2026-02-01,47,RCB,KKR,,,,,,
2026-02-01,48,MI,CSK,,,,,,
2026-02-01,49,DC,RR,,,,,,
2026-02-01,50,GT,LSG,,,,,,
2026-02-07,51,SRH,MI,,,,,,
2026-02-07,52,RR,RCB,,,,,,
2026-02-07,53,CSK,LSG,,,,,,
2026-02-07,54,DC,KKR,,,,,,
2026-02-07,55,PBKS,GT,,,,,,
2026-02-08,56,CSK,DC,,,,,,
2026-02-08,57,GT,MI,,,,,,
2026-02-08,58,KKR,LSG,,,,,,
2026-02-08,59,PBKS,RCB,,,,,,
2026-02-08,60,RR,SRH,,,,,,
2026-02-14,61,RCB,RR,,,,,,
2026-02-14,62,CSK,SRH,,,,,,
2026-02-14,63,KKR,GT,,,,,,
2026-02-14,64,LSG,PBKS,,,,,,
2026-02-14,65,DC,MI,,,,,,
2026-02-15,66,KKR,CSK,,,,,,
2026-02-15,67,SRH,RCB,,,,,,
2026-02-15,68,GT,DC,,,,,,
2026-02-15,69,PBKS,LSG,,,,,,
2026-02-15,70,MI,RR,,,,,,
2026-02-17,71,,,,,,,,
2026-02-18,72,,,,,,,,
2026-02-20,73,,,,,,,,
