match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S06M001,2,40,24,3,10.0,1.0,1-14(12),,2-26(12),Arshdeep Singh,LSG,10-186 (120)
S06M006,2,32,18,0,10.67,0.0,0-24(12),,0-8(6),Arshdeep Singh,LSG,3-210 (114)
S06M014,2,24,12,1,12.0,1.0,1-24(12),,,Arshdeep Singh,LSG,10-131 (91)
S06M017,2,24,24,0,6.0,1.0,0-7(12),,0-17(12),Arshdeep Singh,LSG,7-172 (120)
S06M021,2,46,24,3,11.5,1.0,2-12(12),,1-34(12),Arshdeep Singh,LSG,6-225 (120)
S06M030,1,38,24,4,9.5,0.0,1-19(12),,3-19(12),Arshdeep Singh,LSG,9-202 (120)
S06M033,1,34,24,4,8.5,1.0,1-20(12),,3-14(12),Arshdeep Singh,LSG,9-154 (120)
S06M036,1,40,24,1,10.0,0.0,0-19(12),,1-21(12),Arshdeep Singh,LSG,5-234 (120)
S06M041,2,36,24,6,9.0,1.0,2-18(12),,4-18(12),Arshdeep Singh,LSG,10-183 (116)
S06M050,1,55,24,0,13.75,1.0,0-20(12),,0-35(12),Arshdeep Singh,LSG,7-201 (120)
S06M003,2,29,23,6,7.57,1.0,0-13(6),,6-16(17),B Kumar,KKR,10-158 (119)
S06M013,1,22,18,3,7.33,0.5,0-22(12),,3-0(6),B Kumar,KKR,10-133 (105)
S06M018,1,32,24,1,8.0,0.0,1-6(6),0-9(6),0-17(12),B Kumar,KKR,6-193 (120)
S06M025,2,44,24,2,11.0,1.0,1-17(12),,1-27(12),B Kumar,KKR,9-181 (120)
S06M029,2,6,12,2,3.0,1.0,2-6(12),,,B Kumar,KKR,10-76 (70)
S06M032,1,38,24,1,9.5,0.0,0-9(6),0-10(6),1-19(12),B Kumar,KKR,4-222 (120)
S06M037,2,44,24,0,11.0,1.0,0-10(6),0-9(6),0-25(12),B Kumar,KKR,1-221 (120)
S06M044,2,28,24,2,7.0,0.5,0-15(12),,2-13(12),B Kumar,KKR,10-168 (117)
S06M047,2,40,24,1,10.0,1.0,0-35(18),,1-5(6),B Kumar,KKR,9-172 (120)
S06M002,2,33,24,2,8.25,1.0,,1-13(12),1-20(12),MP Yadav,PBKS,6-205 (120)
S06M013,2,19,17,4,6.71,0.5,,2-19(12),2-0(5),MP Yadav,PBKS,10-133 (107)
S06M020,2,19,24,1,4.75,1.0,0-5(6),0-8(6),1-6(12),MP Yadav,PBKS,9-145 (120)
S06M022,2,11,6,0,11.0,0.0,0-11(6),,,MP Yadav,PBKS,5-92 (71)
S06M026,2,25,15,1,10.0,0.0,1-6(6),0-10(6),0-9(3),MP Yadav,PBKS,5-189 (105)
S06M031,2,40,24,3,10.0,1.0,0-18(12),,3-22(12),MP Yadav,PBKS,9-183 (120)
S06M039,2,24,12,1,12.0,0.0,1-24(12),,,MP Yadav,PBKS,7-167 (91)
S06M043,1,41,18,1,13.67,0.0,,0-13(6),1-28(12),MP Yadav,PBKS,6-208 (120)
S06M046,2,28,24,5,7.0,1.0,0-13(6),1-5(6),4-10(12),MP Yadav,PBKS,10-156 (114)
S06M009,1,26,24,1,6.5,1.0,0-10(6),1-16(18),,AR Ramjani,PBKS,8-177 (120)
S06M020,2,29,24,2,7.25,1.0,,2-29(24),,AR Ramjani,PBKS,9-145 (120)
S06M022,2,12,12,0,6.0,0.0,,0-12(12),,AR Ramjani,PBKS,5-92 (71)
S06M026,2,44,24,3,11.0,0.0,,3-44(24),,AR Ramjani,PBKS,5-189 (105)
S06M031,2,34,24,2,8.5,1.0,,2-34(24),,AR Ramjani,PBKS,9-183 (120)
S06M039,2,49,24,2,12.25,0.0,0-1(0),2-48(24),,AR Ramjani,PBKS,7-167 (91)
S06M043,1,23,24,3,5.75,0.0,,3-23(24),,AR Ramjani,PBKS,6-208 (120)
S06M046,2,22,24,4,5.5,1.0,,4-22(24),,AR Ramjani,PBKS,10-156 (114)
S06M005,2,53,24,1,13.25,0.0,0-12(6),0-37(12),1-4(6),Noor Ahmad,MI,5-225 (120)
S06M008,1,32,24,1,8.0,1.0,0-8(6),1-18(12),0-6(6),Noor Ahmad,MI,8-173 (120)
S06M015,1,51,24,0,12.75,1.0,,0-32(18),0-19(6),Noor Ahmad,MI,5-217 (120)
S06M018,2,19,24,3,4.75,1.0,0-1(6),3-11(12),0-7(6),Noor Ahmad,MI,9-179 (120)
S06M021,1,54,24,0,13.5,0.0,0-13(6),0-23(12),0-18(6),Noor Ahmad,MI,1-228 (120)
S06M029,1,31,24,0,7.75,0.0,,0-31(24),,Noor Ahmad,MI,9-139 (120)
S06M034,2,38,24,3,9.5,1.0,0-14(6),1-23(12),2-1(6),Noor Ahmad,MI,6-229 (120)
S06M036,2,26,24,3,6.5,1.0,,3-26(24),,Noor Ahmad,MI,8-186 (120)
S06M043,2,29,24,2,7.25,1.0,0-7(6),0-18(12),2-4(6),Noor Ahmad,MI,7-193 (120)
S06M048,2,31,24,4,7.75,0.0,0-1(0),4-30(24),,Noor Ahmad,MI,6-203 (120)
S06M005,2,54,24,2,13.5,0.0,1-22(12),,1-32(12),Shaheen Shah Afridi,MI,5-225 (120)
S06M008,1,41,24,2,10.25,1.0,1-13(12),,1-28(12),Shaheen Shah Afridi,MI,8-173 (120)
S06M015,1,39,24,3,9.75,1.0,2-16(12),,1-23(12),Shaheen Shah Afridi,MI,5-217 (120)
S06M018,2,15,24,1,3.75,1.0,0-9(12),,1-6(12),Shaheen Shah Afridi,MI,9-179 (120)
S06M021,1,45,24,0,11.25,0.0,0-20(12),,0-25(12),Shaheen Shah Afridi,MI,1-228 (120)
S06M029,1,33,24,4,8.25,0.0,2-31(18),,2-2(6),Shaheen Shah Afridi,MI,9-139 (120)
S06M034,2,61,24,2,15.25,1.0,1-29(12),,1-32(12),Shaheen Shah Afridi,MI,6-229 (120)
S06M036,2,36,24,2,9.0,1.0,0-30(18),,2-6(6),Shaheen Shah Afridi,MI,8-186 (120)
S06M043,2,40,24,1,10.0,1.0,1-29(18),,0-11(6),Shaheen Shah Afridi,MI,7-193 (120)
S06M048,2,39,24,0,9.75,0.0,0-27(18),,0-12(6),Shaheen Shah Afridi,MI,6-203 (120)
S06M001,1,34,24,2,8.5,0.0,1-7(6),1-27(18),,JR Hazlewood,RR,6-189 (120)
S06M007,2,39,24,1,9.75,1.0,0-6(6),1-33(18),,JR Hazlewood,RR,8-190 (120)
S06M025,1,29,24,2,7.25,0.0,,2-29(24),,JR Hazlewood,RR,4-187 (120)
S06M027,2,37,24,1,9.25,0.0,1-13(6),0-24(18),,JR Hazlewood,RR,8-206 (120)
S06M038,1,29,24,3,7.25,1.0,,3-29(24),,JR Hazlewood,RR,7-167 (120)
S06M044,1,54,24,2,13.5,0.5,1-11(6),1-43(18),,JR Hazlewood,RR,10-168 (105)
S06M049,1,21,24,3,5.25,1.0,1-1(6),2-20(18),,JR Hazlewood,RR,5-217 (120)
S06M007,2,35,24,3,8.75,1.0,,1-13(12),2-22(12),Karan Lal,RR,8-190 (120)
S06M012,2,41,23,2,10.7,0.0,,0-7(6),2-34(17),Karan Lal,RR,7-205 (119)
S06M020,1,31,24,2,7.75,0.0,,0-9(6),2-22(18),Karan Lal,RR,6-170 (120)
S06M027,2,37,24,4,9.25,0.0,,1-20(12),3-17(12),Karan Lal,RR,8-206 (120)
S06M033,2,16,18,2,5.33,0.0,,0-8(6),2-8(12),Karan Lal,RR,9-155 (109)
S06M038,1,38,24,0,9.5,1.0,0-13(6),0-22(12),0-3(6),Karan Lal,RR,7-167 (120)
S06M049,1,52,24,1,13.0,1.0,,1-18(12),0-34(12),Karan Lal,RR,5-217 (120)
S06M004,2,38,24,2,9.5,1.0,1-25(18),,1-13(6),HJ Manenti,CSK,9-178 (120)
S06M007,1,44,24,2,11.0,0.0,2-30(18),,0-14(6),HJ Manenti,CSK,7-211 (120)
S06M015,2,47,24,0,11.75,0.0,0-35(18),,0-12(6),HJ Manenti,CSK,2-218 (113)
S06M031,1,41,24,1,10.25,0.0,0-7(6),,1-34(18),HJ Manenti,CSK,4-218 (120)
S06M038,2,28,24,4,7.0,0.0,1-22(18),,3-6(6),HJ Manenti,CSK,8-169 (109)
S06M045,1,21,18,4,7.0,0.0,,,4-21(18),HJ Manenti,CSK,6-218 (120)
S06M048,1,43,24,1,10.75,1.0,0-16(6),,1-27(18),HJ Manenti,CSK,4-202 (120)
S06M005,1,52,24,0,13.0,1.0,0-7(6),0-25(12),0-20(6),PWH de Silva,RCB,3-223 (120)
S06M010,1,38,24,2,9.5,1.0,1-15(12),,1-23(12),PWH de Silva,RCB,8-188 (120)
S06M016,1,42,24,2,10.5,1.0,,1-20(12),1-22(12),PWH de Silva,RCB,8-205 (120)
S06M026,1,42,24,0,10.5,1.0,0-12(12),,0-30(12),PWH de Silva,RCB,5-187 (120)
S06M034,1,35,24,2,8.75,0.0,0-19(12),2-6(6),0-10(6),PWH de Silva,RCB,5-238 (120)
S06M040,2,13,18,4,4.33,1.0,0-10(6),4-3(12),,PWH de Silva,RCB,10-107 (78)
S06M045,2,38,24,1,9.5,1.0,0-15(6),1-23(18),,PWH de Silva,RCB,5-211 (120)
S06M047,1,49,24,3,12.25,0.0,2-23(12),1-26(12),,PWH de Silva,RCB,8-176 (120)
S06M017,1,36,24,1,9.0,0.0,0-12(12),0-8(6),1-16(6),JA Duffy,GT,5-194 (120)
S06M024,1,32,24,3,8.0,1.0,0-25(12),,3-7(12),JA Duffy,GT,7-213 (120)
S06M028,1,32,24,2,8.0,0.0,0-9(6),1-15(12),1-8(6),JA Duffy,GT,6-201 (120)
S06M035,1,28,24,3,7.0,1.0,2-12(12),,1-16(12),JA Duffy,GT,7-238 (120)
S06M037,1,38,24,3,9.5,0.0,0-14(12),,3-24(12),JA Duffy,GT,8-224 (120)
S06M042,2,35,24,1,8.75,1.0,0-8(12),,1-27(12),JA Duffy,GT,7-225 (120)
S06M050,2,52,20,0,15.6,0.0,0-33(12),,0-19(8),JA Duffy,GT,9-202 (116)
S06M003,1,29,24,0,7.25,0.0,0-3(6),,0-26(18),NT Ellis,SRH,7-175 (120)
S06M006,1,36,24,2,9.0,1.0,0-7(6),,2-29(18),NT Ellis,SRH,4-204 (120)
S06M011,2,41,24,2,10.25,1.0,0-8(6),0-14(6),2-19(12),NT Ellis,SRH,4-199 (120)
S06M032,2,33,24,2,8.25,1.0,0-8(6),0-15(12),2-10(6),NT Ellis,SRH,6-196 (120)
S06M040,1,37,24,4,9.25,0.0,1-30(12),2-2(6),1-5(6),NT Ellis,SRH,6-197 (120)
S06M042,1,45,24,1,11.25,0.0,0-3(6),,1-42(18),NT Ellis,SRH,3-229 (120)
S06M046,1,44,24,2,11.0,0.0,0-7(6),1-9(6),1-28(12),NT Ellis,SRH,7-187 (120)
S06M004,1,19,18,1,6.33,0.0,0-9(6),1-10(12),,V Nigam,GT,4-195 (120)
S06M010,2,28,24,2,7.0,0.0,,0-19(18),2-9(6),V Nigam,GT,7-189 (113)
S06M012,1,38,24,2,9.5,1.0,,1-16(12),1-22(12),V Nigam,GT,5-200 (120)
S06M017,1,32,24,2,8.0,0.0,,1-27(18),1-5(6),V Nigam,GT,5-194 (120)
S06M024,1,41,24,2,10.25,1.0,,0-29(18),2-12(6),V Nigam,GT,7-213 (120)
S06M028,1,45,24,1,11.25,0.0,,0-33(18),1-12(6),V Nigam,GT,6-201 (120)
S06M035,1,65,24,0,16.25,1.0,0-13(6),0-52(18),,V Nigam,GT,7-238 (120)
S06M037,1,36,24,2,9.0,0.0,,1-31(18),1-5(6),V Nigam,GT,8-224 (120)
S06M042,2,44,24,0,11.0,1.0,0-13(6),0-31(18),,V Nigam,GT,7-225 (120)
S06M050,2,21,18,0,7.0,0.0,0-14(6),0-7(12),,V Nigam,GT,9-202 (116)
S06M001,1,48,24,0,12.0,0.0,,0-18(12),0-30(12),S Dube,RR,6-189 (120)
S06M007,2,36,24,2,9.0,1.0,1-6(6),0-23(12),1-7(6),S Dube,RR,8-190 (120)
S06M012,2,41,24,2,10.25,0.0,0-15(6),2-26(18),,S Dube,RR,7-205 (119)
S06M020,1,31,24,1,7.75,0.0,,0-22(18),1-9(6),S Dube,RR,6-170 (120)
S06M027,2,24,18,1,8.0,0.0,,0-16(12),1-8(6),S Dube,RR,8-206 (120)
S06M033,2,26,19,1,8.21,0.0,,1-18(12),0-8(7),S Dube,RR,9-155 (109)
S06M038,1,35,24,1,8.75,1.0,,1-15(12),0-20(12),S Dube,RR,7-167 (120)
S06M044,1,14,15,3,5.6,0.5,,0-4(6),3-10(9),S Dube,RR,10-168 (105)
S06M049,1,67,24,1,16.75,1.0,,0-39(12),1-28(12),S Dube,RR,5-217 (120)
S06M004,2,25,24,1,6.25,1.0,,1-25(24),,Tanush Kotian,CSK,9-178 (120)
S06M007,1,22,18,2,7.33,0.0,,2-22(18),,Tanush Kotian,CSK,7-211 (120)
S06M015,2,46,23,1,12.0,0.0,,1-25(12),0-21(11),Tanush Kotian,CSK,2-218 (113)
S06M019,1,44,24,1,11.0,0.0,,1-44(24),,Tanush Kotian,CSK,10-190 (120)
S06M022,1,15,24,2,3.75,1.0,0-10(6),2-5(18),,Tanush Kotian,CSK,10-90 (100)
S06M028,2,29,18,1,9.67,1.0,,0-8(6),1-21(12),Tanush Kotian,CSK,10-196 (109)
S06M031,1,38,18,1,12.67,0.0,1-38(18),,,Tanush Kotian,CSK,4-218 (120)
S06M038,2,35,19,1,11.05,0.0,,1-33(18),0-2(1),Tanush Kotian,CSK,8-169 (109)
S06M048,1,33,24,1,8.25,1.0,1-21(12),0-12(12),,Tanush Kotian,CSK,4-202 (120)
S06M002,1,25,18,1,8.33,0.0,0-21(12),,1-4(6),Arshad Khan,DC,4-224 (120)
S06M008,2,42,18,0,14.0,0.0,0-29(12),0-13(6),,Arshad Khan,DC,3-176 (104)
S06M011,1,27,12,1,13.5,0.0,1-27(12),,,Arshad Khan,DC,8-201 (120)
S06M016,2,15,12,1,7.5,0.0,0-11(6),1-4(6),,Arshad Khan,DC,5-208 (120)
S06M023,1,10,12,1,5.0,1.0,0-7(6),1-3(6),,Arshad Khan,DC,6-184 (120)
S06M027,1,40,18,2,13.33,1.0,1-33(12),,1-7(6),Arshad Khan,DC,7-205 (120)
