striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
Abhishek Sharma,MI,17,7,858,200.47,1
V Suryavanshi,PBKS,14,7,614,158.66,0
GJ Maxwell,DC,14,6,527,176.85,0
CH Gayle,CSK,14,5,647,170.26,1
PD Salt,RCB,16,5,571,174.62,1
SV Samson,GT,14,5,551,164.97,0
SA Yadav,DC,14,5,425,166.02,0
JP Inglis,GT,14,4,569,187.79,1
Shubman Gill,LSG,16,4,551,173.27,0
PWH de Silva,RCB,15,4,547,193.97,0
YBK Jaiswal,RR,13,4,498,180.43,1
C Green,KKR,15,4,490,170.14,0
Naman Dhir,GT,13,4,457,166.18,0
RG Sharma,KKR,15,4,452,171.86,1
Tarang Gohel,DC,13,4,449,169.43,0
BM Duckett,SRH,12,4,407,164.11,0
Atharva Taide,MI,7,4,352,167.62,0
Salil Arora,RCB,13,3,559,186.96,1
Tilak Varma,CSK,14,3,512,167.87,0
KL Rahul,SRH,12,3,482,165.07,1
N Pooran,MI,15,3,480,166.67,0
JC Buttler,LSG,15,3,465,146.69,0
Sameer Rizvi,LSG,14,3,447,207.91,0
Priyansh Arya,RCB,11,3,425,172.06,1
WG Jacks,LSG,16,3,402,139.58,0
P Simran Singh,SRH,12,3,289,163.28,0
FH Allen,PBKS,14,2,450,169.81,2
Urvil Patel,MI,11,2,416,169.8,0
J Fraser-McGurk,KKR,13,2,391,164.29,0
V Kohli,RR,13,2,371,167.12,1
SP Narine,KKR,14,2,360,150.63,0
MJ Owen,DC,14,2,343,162.56,0
WL Madsen,MI,12,2,339,150.67,0
JM Sharma,RCB,16,2,301,166.3,0
Aniket Verma,RR,10,2,264,180.82,0
VR Iyer,SRH,9,2,168,169.7,0
AB de Villiers,RR,5,2,134,148.89,0
SS Iyer,LSG,15,1,368,146.03,0
N Sindhu,DC,14,1,365,173.81,0
Kartik Sharma,SRH,13,1,356,191.4,0
R Parag,GT,12,1,331,165.5,0
AM Rahane,MI,13,1,293,145.05,0
TP Ura,PBKS,10,1,264,163.98,0
Shashank Singh,PBKS,13,1,240,136.36,0
Chirag Jani,CSK,11,1,182,175.0,0
RD Gaikwad,GT,8,1,175,134.62,0
GD Phillips,GT,7,1,160,202.53,0
N Rana,PBKS,8,1,159,145.87,0
HS Desai,CSK,6,1,153,150.0,0
RM Patidar,KKR,7,1,147,165.17,0
RD Rickelton,LSG,5,1,138,136.63,0
MR Marsh,SRH,2,1,126,188.06,0
Tushar Raheja,SRH,4,1,114,134.12,0
H Klaasen,CSK,3,1,89,139.06,0
Hassan Nawaz,RCB,6,1,87,117.57,0
Usman Khan (2),CSK,2,1,81,158.82,0
AA Kulkarni,GT,2,1,73,187.18,0
RK Singh,MI,4,1,63,210.0,0
