match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total
S06M005,1,23,11,209.09,0-0(0.1),30-1(2.4),0.0,23 off 11,,,Abhishek Sharma,MI,3-223 (120)
S06M008,2,103,54,190.74,1-0(0.1),,1.0,47 off 19,39 off 27,17 off 8,Abhishek Sharma,MI,3-176 (104)
S06M015,2,66,31,212.9,1-0(0.0),108-1(8.3),1.0,40 off 21,26 off 10,,Abhishek Sharma,MI,2-218 (113)
S06M018,1,20,11,181.82,2-0(0.1),41-1(3.2),1.0,20 off 11,,,Abhishek Sharma,MI,6-193 (120)
S06M021,2,25,14,178.57,4-0(0.1),44-3(5.1),0.0,25 off 14,,,Abhishek Sharma,MI,6-225 (120)
S06M029,2,0,1,0.0,0-1(0.1),0-1(0.1),0.0,0 off 1,,,Abhishek Sharma,MI,10-76 (70)
S06M034,1,95,45,211.11,1-0(0.0),172-3(14.5),1.0,50 off 19,45 off 26,,Abhishek Sharma,MI,5-238 (120)
S06M036,1,79,34,232.35,6-0(0.1),139-2(12.1),1.0,28 off 14,51 off 20,,Abhishek Sharma,MI,5-234 (120)
S06M005,2,118,59,200.0,1-0(0.1),205-4(18.5),1.0,39 off 17,64 off 31,15 off 11,PD Salt,RCB,5-225 (120)
S06M010,2,35,17,205.88,0-0(0.1),96-2(8.1),1.0,29 off 13,6 off 4,,PD Salt,RCB,7-189 (113)
S06M014,2,0,1,0.0,0-1(0.1),0-1(0.1),0.0,0 off 1,,,PD Salt,RCB,10-131 (91)
S06M016,2,89,52,171.15,4-0(0.1),174-2(16.3),1.0,42 off 18,37 off 29,10 off 5,PD Salt,RCB,5-208 (120)
S06M024,1,34,13,261.54,0-0(0.1),54-1(3.4),0.0,34 off 13,,,PD Salt,RCB,7-213 (120)
S06M026,2,81,45,180.0,0-0(0.1),135-3(13.1),1.0,38 off 21,43 off 24,,PD Salt,RCB,5-189 (105)
S06M034,2,6,2,300.0,6-0(0.1),6-1(0.2),0.0,6 off 2,,,PD Salt,RCB,6-229 (120)
S06M040,1,1,3,33.33,0-0(0.1),3-1(0.4),1.0,1 off 3,,,PD Salt,RCB,6-197 (120)
S06M003,2,44,38,115.79,37-1(3.1),124-3(14.5),0.0,13 off 10,31 off 28,,KL Rahul,SRH,10-158 (119)
S06M006,2,41,27,151.85,88-1(7.0),178-3(15.4),1.0,,34 off 24,7 off 3,KL Rahul,SRH,3-210 (114)
S06M011,1,47,27,174.07,44-1(3.2),167-5(15.0),1.0,5 off 7,42 off 20,,KL Rahul,SRH,8-201 (120)
S06M019,1,4,7,57.14,3-1(0.3),6-2(1.4),1.0,4 off 7,,,KL Rahul,SRH,10-190 (120)
S06M023,1,103,62,166.13,6-1(0.5),,0.0,27 off 17,50 off 30,26 off 15,KL Rahul,SRH,6-184 (120)
S06M030,1,2,4,50.0,48-1(4.2),72-2(6.3),1.0,1 off 2,1 off 2,,KL Rahul,SRH,9-202 (120)
S06M032,1,87,46,189.13,57-1(4.5),199-4(18.0),1.0,11 off 5,37 off 27,39 off 14,KL Rahul,SRH,4-222 (120)
S06M040,2,36,17,211.76,10-1(1.0),84-4(7.0),0.0,35 off 14,1 off 3,,KL Rahul,SRH,10-107 (78)
S06M004,2,36,24,150.0,38-2(4.3),101-4(11.3),0.0,17 off 8,19 off 16,,JP Inglis,GT,9-178 (120)
S06M010,1,0,1,0.0,48-3(5.1),48-3(5.1),0.0,0 off 1,,,JP Inglis,GT,8-188 (120)
S06M012,2,55,27,203.7,109-3(11.2),,1.0,,25 off 15,30 off 12,JP Inglis,GT,7-205 (119)
S06M017,2,18,10,180.0,78-3(8.3),94-5(10.4),0.0,,18 off 10,,JP Inglis,GT,7-172 (120)
S06M024,2,6,3,200.0,174-3(16.3),,1.0,,,6 off 3,JP Inglis,GT,4-214 (115)
S06M028,2,63,23,273.91,4-0(0.1),71-1(4.3),0.0,63 off 23,,,JP Inglis,GT,10-196 (109)
S06M035,2,39,17,229.41,0-0(0.1),76-1(5.1),1.0,39 off 17,,,JP Inglis,GT,3-239 (117)
S06M037,2,130,66,196.97,1-0(0.1),,0.0,40 off 16,57 off 32,33 off 18,JP Inglis,GT,1-221 (120)
S06M001,1,0,3,0.0,1-0(0.2),1-1(0.4),1.0,0 off 3,,,JC Buttler,LSG,6-189 (120)
S06M006,1,83,52,159.62,1-0(0.2),130-1(13.3),0.0,40 off 25,43 off 27,,JC Buttler,LSG,4-204 (120)
S06M014,1,55,33,166.67,15-1(1.1),125-3(12.1),1.0,25 off 14,30 off 19,,JC Buttler,LSG,5-210 (120)
S06M017,1,19,12,158.33,1-0(0.3),39-1(4.0),1.0,19 off 12,,,JC Buttler,LSG,5-194 (120)
S06M021,1,81,51,158.82,5-0(0.2),,1.0,24 off 15,39 off 26,18 off 10,JC Buttler,LSG,1-228 (120)
S06M030,2,7,6,116.67,5-0(0.2),8-1(1.1),0.0,7 off 6,,,JC Buttler,LSG,5-184 (120)
S06M033,2,39,28,139.29,35-3(3.0),128-5(13.1),1.0,13 off 6,26 off 22,,JC Buttler,LSG,9-155 (109)
S06M036,2,44,30,146.67,10-0(0.4),93-4(10.5),0.0,21 off 14,23 off 16,,JC Buttler,LSG,8-186 (120)
S06M005,2,9,5,180.0,22-1(1.5),52-2(3.5),1.0,9 off 5,,,PWH de Silva,RCB,5-225 (120)
S06M010,2,95,39,243.59,12-1(1.5),142-3(12.0),1.0,41 off 17,54 off 22,,PWH de Silva,RCB,7-189 (113)
S06M014,2,54,23,234.78,4-1(0.2),84-3(7.0),0.0,39 off 18,15 off 5,,PWH de Silva,RCB,10-131 (91)
S06M016,2,39,25,156.0,101-1(8.5),,1.0,,21 off 16,18 off 9,PWH de Silva,RCB,5-208 (120)
S06M026,2,25,13,192.31,55-1(6.2),112-2(11.2),1.0,,25 off 13,,PWH de Silva,RCB,5-189 (105)
S06M034,2,61,32,190.62,12-1(0.3),135-2(10.4),0.0,34 off 18,27 off 14,,PWH de Silva,RCB,6-229 (120)
S06M040,1,35,15,233.33,7-1(0.5),47-2(4.1),1.0,35 off 15,,,PWH de Silva,RCB,6-197 (120)
S06M002,1,51,34,150.0,4-0(0.1),138-1(11.2),1.0,29 off 19,22 off 15,,V Suryavanshi,PBKS,4-224 (120)
S06M009,2,28,24,116.67,1-0(0.0),104-4(10.5),1.0,11 off 10,17 off 14,,V Suryavanshi,PBKS,8-178 (115)
S06M013,1,29,15,193.33,1-0(0.1),64-4(6.4),0.5,29 off 14,0 off 1,,V Suryavanshi,PBKS,10-133 (105)
S06M020,1,15,14,107.14,1-0(0.1),40-1(4.0),1.0,15 off 14,,,V Suryavanshi,PBKS,6-170 (120)
S06M022,1,12,10,120.0,4-0(0.1),25-2(3.3),0.0,12 off 10,,,V Suryavanshi,PBKS,10-90 (100)
S06M026,1,50,33,151.52,0-0(0.1),82-3(10.2),0.0,36 off 20,14 off 13,,V Suryavanshi,PBKS,5-187 (120)
S06M031,1,79,51,154.9,3-0(0.1),,1.0,20 off 13,36 off 27,23 off 11,V Suryavanshi,PBKS,4-218 (120)
S06M039,1,53,27,196.3,0-0(0.1),97-4(9.2),0.0,41 off 19,12 off 8,,V Suryavanshi,PBKS,8-166 (120)
S06M001,1,14,7,200.0,1-0(0.1),16-2(2.2),1.0,14 off 7,,,Shubman Gill,LSG,6-189 (120)
S06M006,1,49,37,132.43,1-0(0.1),160-3(17.1),0.0,15 off 11,30 off 20,4 off 6,Shubman Gill,LSG,4-204 (120)
S06M014,1,4,2,200.0,4-0(0.1),4-1(0.2),1.0,4 off 2,,,Shubman Gill,LSG,5-210 (120)
S06M017,1,95,53,179.25,0-0(0.1),,1.0,28 off 17,56 off 25,11 off 11,Shubman Gill,LSG,5-194 (120)
S06M021,1,67,38,176.32,1-0(0.1),133-1(12.3),1.0,40 off 21,27 off 17,,Shubman Gill,LSG,1-228 (120)
S06M030,2,43,28,153.57,1-0(0.1),86-3(9.4),0.0,30 off 13,13 off 15,,Shubman Gill,LSG,5-184 (120)
