striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Abhishek Sharma,MI,17,858,200.47,53.62,25.56
V Suryavanshi,PBKS,14,614,158.66,47.23,24.92
CH Gayle,CSK,14,647,170.26,58.82,24.61
JP Inglis,GT,14,569,187.79,51.73,20.55
SV Samson,GT,14,551,164.97,39.36,19.9
Tilak Varma,CSK,14,512,167.87,39.38,19.48
YBK Jaiswal,RR,13,498,180.43,55.33,19.44
GJ Maxwell,DC,14,527,176.85,43.92,19.15
KL Rahul,SRH,12,482,165.07,48.2,19.06
Shubman Gill,LSG,16,551,173.27,36.73,18.71
C Green,KKR,15,490,170.14,37.69,18.28
FH Allen,PBKS,14,450,169.81,34.62,18.26
PD Salt,RCB,16,571,174.62,35.69,17.86
Salil Arora,RCB,13,559,186.96,62.11,17.49
PWH de Silva,RCB,15,547,193.97,39.07,17.11
RG Sharma,KKR,15,452,171.86,37.67,16.87
Naman Dhir,GT,13,457,166.18,45.7,16.5
Tarang Gohel,DC,13,449,169.43,37.42,16.32
BM Duckett,SRH,12,407,164.11,33.92,16.09
JC Buttler,LSG,15,465,146.69,38.75,15.79
SA Yadav,DC,14,425,166.02,32.69,15.44
Sameer Rizvi,LSG,14,447,207.91,74.5,15.18
J Fraser-McGurk,KKR,13,391,164.29,30.08,14.59
V Kohli,RR,13,371,167.12,30.92,14.48
N Pooran,MI,15,480,166.67,48.0,14.3
Kartik Sharma,SRH,13,356,191.4,29.67,14.08
WG Jacks,LSG,16,402,139.58,28.71,13.65
SP Narine,KKR,14,360,150.63,25.71,13.43
Priyansh Arya,RCB,11,425,172.06,42.5,13.29
N Sindhu,DC,14,365,173.81,33.18,13.26
SS Iyer,LSG,15,368,146.03,26.29,12.5
MJ Owen,DC,14,343,162.56,24.5,12.46
Urvil Patel,MI,11,416,169.8,41.6,12.39
R Parag,GT,12,331,165.5,36.78,11.95
P Simran Singh,SRH,12,289,163.28,24.08,11.43
KA Pollard,CSK,11,282,174.07,31.33,10.73
TP Ura,PBKS,10,264,163.98,26.4,10.71
Atharva Taide,MI,7,352,167.62,58.67,10.49
Aniket Verma,RR,10,264,180.82,26.4,10.3
WL Madsen,MI,12,339,150.67,42.38,10.1
Shashank Singh,PBKS,13,240,136.36,30.0,9.74
JM Sharma,RCB,16,301,166.3,23.15,9.42
AM Rahane,MI,13,293,145.05,26.64,8.73
Sakibul Gani,RCB,13,270,177.63,30.0,8.45
TH David,PBKS,10,208,165.08,29.71,8.44
Ravi Singh,KKR,14,223,150.68,15.93,8.32
S Dube,RR,11,212,147.22,19.27,8.27
RA Jadeja,SRH,10,193,158.2,21.44,7.63
Chirag Jani,CSK,11,182,175.0,20.22,6.92
R Powell,LSG,8,197,137.76,24.62,6.69
VR Iyer,SRH,9,168,169.7,28.0,6.64
N Rana,PBKS,8,159,145.87,19.88,6.45
RD Gaikwad,GT,8,175,134.62,25.0,6.32
YK Pathan,KKR,15,164,111.56,13.67,6.12
JG Bethell,RR,11,153,139.09,15.3,5.97
HS Desai,CSK,6,153,150.0,25.5,5.82
GD Phillips,GT,7,160,202.53,40.0,5.78
V Nigam,GT,8,160,168.42,53.33,5.78
Abishek Porel,RR,7,148,129.82,21.14,5.78
T Stubbs,CSK,7,148,142.31,29.6,5.63
KD Karthik,RR,7,141,163.95,20.14,5.5
RM Patidar,KKR,7,147,165.17,29.4,5.49
AB de Villiers,RR,5,134,148.89,44.67,5.23
Arshad Khan,DC,11,138,153.33,17.25,5.01
MR Marsh,SRH,2,126,188.06,126.0,4.98
RD Rickelton,LSG,5,138,136.63,27.6,4.69
RR Rossouw,SRH,5,115,171.64,23.0,4.55
Tushar Raheja,SRH,4,114,134.12,28.5,4.51
Ankit Kumar,RR,7,111,138.75,15.86,4.33
BJ McMullen,RR,7,110,137.5,18.33,4.29
Smaran Ravichandran,PBKS,8,105,136.36,13.12,4.26
Nithish Kumar Reddy,SRH,8,107,169.84,21.4,4.23
