partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
FH Allen  - V Suryavanshi,PBKS,667,381,14,80,18,175.07,47.64,3.89
JP Inglis  - SV Samson,GT,604,320,9,77,20,188.75,67.11,3.3
J Fraser-McGurk  - SP Narine,KKR,458,270,11,51,20,169.63,41.64,3.8
CH Gayle  - Tilak Varma,CSK,449,251,10,50,19,178.88,44.9,3.64
Abhishek Sharma  - Urvil Patel,MI,449,235,9,57,14,191.06,49.89,3.31
JC Buttler  - Shubman Gill,LSG,433,263,11,52,10,164.64,39.36,4.24
BM Duckett  - P Simran Singh,SRH,431,236,11,51,14,182.63,39.18,3.63
PD Salt  - PWH de Silva,RCB,386,208,7,36,17,185.58,55.14,3.92
Naman Dhir  - SV Samson,GT,361,212,7,39,7,170.28,51.57,4.61
GJ Maxwell  - Tarang Gohel,DC,351,207,6,41,9,169.57,58.5,4.14
V Kohli  - YBK Jaiswal,RR,330,178,4,41,8,185.39,82.5,3.63
N Sindhu  - SA Yadav,DC,329,174,10,20,22,189.08,32.9,4.14
GJ Maxwell  - MJ Owen,DC,318,189,9,30,10,168.25,35.33,4.72
Naman Dhir  - R Parag,GT,291,166,7,18,14,175.3,41.57,5.19
BM Duckett  - KL Rahul,SRH,276,180,9,25,7,153.33,30.67,5.62
C Green  - RG Sharma,KKR,276,160,9,23,13,172.5,30.67,4.44
PD Salt  - Priyansh Arya,RCB,263,144,9,33,9,182.64,29.22,3.43
N Pooran  - WL Madsen,MI,258,148,5,16,14,174.32,51.6,4.93
Shubman Gill  - WG Jacks,LSG,251,154,8,25,10,162.99,31.38,4.4
KL Rahul  - Kartik Sharma,SRH,246,128,8,23,13,192.19,30.75,3.56
Abhishek Sharma  - Atharva Taide,MI,239,123,5,27,9,194.31,47.8,3.42
Abhishek Sharma  - WL Madsen,MI,231,161,4,12,8,143.48,57.75,8.05
Shashank Singh  - TP Ura,PBKS,218,136,7,14,10,160.29,31.14,5.67
Jay Gohil  - Sameer Rizvi,LSG,217,107,4,21,9,202.8,54.25,3.57
Priyansh Arya  - Salil Arora,RCB,214,120,4,18,8,178.33,53.5,4.62
SA Yadav  - Tarang Gohel,DC,211,118,4,19,6,178.81,52.75,4.72
N Rana  - V Suryavanshi,PBKS,210,124,5,26,6,169.35,42.0,3.88
JP Inglis  - Naman Dhir,GT,210,126,3,16,6,166.67,70.0,5.73
PD Salt  - Salil Arora,RCB,203,119,6,9,12,170.59,33.83,5.67
KA Pollard  - Tilak Varma,CSK,203,112,4,15,10,181.25,50.75,4.48
JC Buttler  - WG Jacks,LSG,202,124,4,15,9,162.9,50.5,5.17
PWH de Silva  - Priyansh Arya,RCB,196,97,4,25,6,202.06,49.0,3.13
C Green  - J Fraser-McGurk,KKR,189,110,5,23,5,171.82,37.8,3.93
AM Rahane  - Abhishek Sharma,MI,183,85,5,20,8,215.29,36.6,3.04
JM Sharma  - Sakibul Gani,RCB,176,95,3,10,12,185.26,58.67,4.32
GJ Maxwell  - N Sindhu,DC,176,106,6,10,9,166.04,29.33,5.58
Abdul Samad  - Sameer Rizvi,LSG,176,83,2,13,13,212.05,88.0,3.19
RG Sharma  - Ravi Singh,KKR,168,106,7,21,5,158.49,24.0,4.08
C Green  - SP Narine,KKR,168,109,7,15,6,154.13,24.0,5.19
CH Gayle  - Usman Khan (2),CSK,161,98,2,15,6,164.29,80.5,4.67
Aniket Verma  - YBK Jaiswal,RR,155,96,6,7,9,161.46,25.83,6.0
Aniket Verma  - S Dube,RR,148,93,5,9,7,159.14,29.6,5.81
SS Iyer  - Shubman Gill,LSG,147,97,7,11,4,151.55,21.0,6.47
