striker,batting_team,num_innings,sixes,runs,strike_rate
Abhishek Sharma,MI,17,36,858,200.47
CH Gayle,CSK,14,29,647,170.26
GJ Maxwell,DC,14,27,527,176.85
PWH de Silva,RCB,15,26,547,193.97
Salil Arora,RCB,13,26,559,186.96
PD Salt,RCB,16,26,571,174.62
JP Inglis,GT,14,25,569,187.79
SA Yadav,DC,14,25,425,166.02
Sameer Rizvi,LSG,14,23,447,207.91
YBK Jaiswal,RR,13,23,498,180.43
N Pooran,MI,15,22,480,166.67
RG Sharma,KKR,15,20,452,171.86
R Parag,GT,12,19,331,165.5
Kartik Sharma,SRH,13,18,356,191.4
Tilak Varma,CSK,14,18,512,167.87
KL Rahul,SRH,12,18,482,165.07
KA Pollard,CSK,11,17,282,174.07
Aniket Verma,RR,10,16,264,180.82
N Sindhu,DC,14,16,365,173.81
C Green,KKR,15,16,490,170.14
Urvil Patel,MI,11,16,416,169.8
Atharva Taide,MI,7,16,352,167.62
WG Jacks,LSG,16,16,402,139.58
Sakibul Gani,RCB,13,15,270,177.63
Shubman Gill,LSG,16,15,551,173.27
J Fraser-McGurk,KKR,13,15,391,164.29
V Suryavanshi,PBKS,14,15,614,158.66
SP Narine,KKR,14,15,360,150.63
FH Allen,PBKS,14,14,450,169.81
JC Buttler,LSG,15,14,465,146.69
TP Ura,PBKS,10,13,264,163.98
HH Pandya,MI,11,12,136,219.35
GD Phillips,GT,7,12,160,202.53
Chirag Jani,CSK,11,12,182,175.0
V Nigam,GT,8,12,160,168.42
V Kohli,RR,13,12,371,167.12
JM Sharma,RCB,16,12,301,166.3
Naman Dhir,GT,13,12,457,166.18
SV Samson,GT,14,12,551,164.97
MJ Owen,DC,14,12,343,162.56
SS Iyer,LSG,15,12,368,146.03
BM Duckett,SRH,12,11,407,164.11
RA Jadeja,SRH,10,11,193,158.2
Ravi Singh,KKR,14,11,223,150.68
WL Madsen,MI,12,11,339,150.67
JG Bethell,RR,11,11,153,139.09
MR Marsh,SRH,2,10,126,188.06
Tarang Gohel,DC,13,10,449,169.43
P Simran Singh,SRH,12,10,289,163.28
Priyansh Arya,RCB,11,9,425,172.06
RM Patidar,KKR,7,9,147,165.17
TH David,PBKS,10,9,208,165.08
KD Karthik,RR,7,9,141,163.95
R Powell,LSG,8,9,197,137.76
AM Rahane,MI,13,8,293,145.05
T Stubbs,CSK,7,8,148,142.31
Karan Shinde,RCB,8,7,96,188.24
VR Iyer,SRH,9,7,168,169.7
SR Dickson,RCB,3,7,94,149.21
AB de Villiers,RR,5,7,134,148.89
Tushar Raheja,SRH,4,7,114,134.12
HS Desai,CSK,6,6,153,150.0
S Dube,RR,11,6,212,147.22
N Rana,PBKS,8,6,159,145.87
RD Rickelton,LSG,5,6,138,136.63
Shashank Singh,PBKS,13,6,240,136.36
YK Pathan,KKR,15,6,164,111.56
Tanush Kotian,CSK,9,5,109,213.73
AD Russell,DC,5,5,77,179.07
RR Rossouw,SRH,5,5,115,171.64
Nithish Kumar Reddy,SRH,8,5,107,169.84
Utkarsh Singh,PBKS,6,5,86,159.26
Arshad Khan,DC,11,5,138,153.33
TB Robinson,RR,3,5,82,149.09
LS Livingstone,KKR,7,5,88,141.94
Kumar Kushagra,GT,7,5,94,128.77
AM Hardie,CSK,5,5,83,109.21
RK Singh,MI,4,4,63,210.0
MW Short,MI,4,4,88,172.55
BA Stokes,RR,5,4,62,172.22
Jay Gohil,LSG,6,4,107,169.84
Suryansh Shedge,CSK,3,4,63,161.54
PHKD Mendis,DC,8,4,95,161.02
Usman Khan (2),CSK,2,4,81,158.82
Ishan Kishan,MI,3,4,62,155.0
DW Lawrence,DC,5,4,90,142.86
Abdul Samad,LSG,6,4,64,139.13
Shaheen Shah Afridi,MI,5,4,58,138.1
Smaran Ravichandran,PBKS,8,4,105,136.36
RD Gaikwad,GT,8,4,175,134.62
Abishek Porel,RR,7,4,148,129.82
AA Kulkarni,GT,2,3,73,187.18
AGS Gous,KKR,1,3,34,178.95
MS Dhoni,CSK,3,3,71,169.05
Ankit Kumar,RR,7,3,111,138.75
BJ McMullen,RR,7,3,110,137.5
JJ Smit,PBKS,4,3,80,129.03
MP Stoinis,KKR,3,3,82,128.12
DS Airee,CSK,3,3,31,124.0
JJ Bumrah,DC,2,2,20,285.71
H Klaasen,CSK,3,2,89,139.06
R Sai Kishore,MI,5,2,36,138.46
Anmolpreet Singh,CSK,6,2,82,126.15
SS Prabhudessai,MI,2,2,24,120.0
Hassan Nawaz,RCB,6,2,87,117.57
D Brevis,LSG,3,2,31,114.81
Samant Jakhar,DC,8,2,50,113.64
Karan Lal,RR,8,2,49,106.52
Jagjit Singh,SRH,2,2,23,104.55
EA Brookes,RCB,3,2,25,96.15
Ashwani Kumar,RR,1,1,7,350.0
SH Johnson,GT,1,1,6,200.0
D Padikkal,KKR,3,1,36,189.47
AK Markram,DC,4,1,68,170.0
B Indrajith,RCB,1,1,15,166.67
Mukul Choudhary,DC,1,1,8,160.0
K Kartikeya,LSG,3,1,29,152.63
C Connolly,PBKS,3,1,59,151.28
Dhruv Jurel,KKR,4,1,15,150.0
Mohammad Nabi,LSG,2,1,12,150.0
Ashutosh Sharma,RCB,4,1,27,128.57
SN Khan,RCB,2,1,28,127.27
JN Loftie-Eaton,RR,3,1,29,120.83
Avesh Khan,GT,1,1,6,120.0
B Sai Sudharsan,PBKS,4,1,71,118.33
TM Head,RR,3,1,65,118.18
Ashwin Das,LSG,3,1,13,118.18
M Pathirana,RCB,2,1,9,112.5
Yudhvir Singh,RCB,4,1,10,111.11
Shahbaz Ahmed,LSG,3,1,11,110.0
Naveen-ul-Haq,SRH,4,1,12,109.09
R Ashwin,KKR,3,1,19,105.56
Rasikh Salam,MI,1,1,13,100.0
N Wadhera,KKR,4,1,30,96.77
D Ferreira,GT,3,1,10,90.91
Jaskaran Singh,KKR,4,1,27,90.0
Ravi Bishnoi,GT,3,1,7,87.5
JM Coles,MI,10,1,58,86.57
RR Patel,RCB,5,1,25,83.33
R Shepherd,GT,2,1,13,76.47
JC Archer,LSG,3,1,9,64.29
Harshit Rana,KKR,5,1,16,55.17
B Kumar,KKR,5,1,10,52.63
A Nagwaswalla,RR,5,1,11,52.38
