bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Karan Lal,RR,12,389,276,28,22,15,69,5,0,8.46,9.86,7.46,25.0,451.83,5-26 (24),5-2-1
M Pathirana,RCB,11,453,258,26,43,20,71,13,0,10.53,9.92,4.1,27.52,401.16,5-23 (24),4-2-1
YS Chahal,RCB,12,497,269,25,49,24,73,6,1,11.09,10.76,3.68,27.14,378.42,5-33 (24),6-3-1
Shashank Singh,PBKS,19,568,375,24,58,26,150,9,1,9.09,15.62,4.46,40.0,361.81,4-40 (24),2-1-0
JJ Bumrah,MI,13,486,311,23,29,25,82,11,0,9.38,13.52,5.76,26.37,360.02,4-35 (23),4-2-0
Arshdeep Singh,LSG,18,756,419,23,89,28,127,9,0,10.83,18.22,3.58,30.31,324.01,4-33 (18),3-1-0
Mohammad Nabi,LSG,11,340,234,20,27,14,68,2,0,8.72,11.7,5.71,29.06,336.44,4-31 (24),2-1-0
Tanush Kotian,CSK,16,523,348,20,39,19,85,10,2,9.02,17.4,6.0,24.43,315.23,5-23 (24),1-1-1
C Green,KKR,15,496,318,20,34,18,76,7,0,9.36,15.9,6.12,23.9,319.57,5-28 (24),1-1-1
WG Jacks,LSG,17,559,324,20,44,25,66,3,0,10.35,16.2,4.7,20.37,302.75,4-42 (24),1-1-0
Avesh Khan,GT,16,685,367,20,81,27,111,8,0,11.2,18.35,3.4,30.25,287.58,3-49 (24),1-0-0
B Kumar,KKR,15,506,313,19,44,23,94,4,0,9.7,16.47,4.67,30.03,297.04,3-42 (24),1-0-0
Naveen-ul-Haq,SRH,10,408,240,18,34,23,77,2,0,10.2,13.33,4.21,32.08,292.61,4-28 (24),3-1-0
Suryansh Shedge,CSK,11,432,245,18,29,26,68,4,0,10.58,13.61,4.45,27.76,289.85,3-6 (18),3-0-0
MP Yadav,PBKS,11,408,218,18,42,21,63,4,0,11.23,12.11,3.46,28.9,288.83,3-33 (18),4-0-0
S Lamichhane,DC,10,394,210,18,34,20,54,4,0,11.26,11.67,3.89,25.71,293.1,3-22 (12),4-0-0
A Zampa,RR,11,389,246,17,36,10,62,9,0,9.49,14.47,5.35,25.2,285.46,3-31 (24),1-0-0
Ashwani Kumar,RR,9,411,204,17,30,25,41,4,0,12.09,12.0,3.71,20.1,273.05,4-29 (18),2-1-0
SP Narine,KKR,14,461,304,16,43,16,88,3,0,9.1,19.0,5.15,28.95,261.67,3-37 (24),1-0-0
SL Malinga,PBKS,11,375,227,16,40,12,59,6,0,9.91,14.19,4.37,25.99,266.77,4-5 (12),1-1-0
PHKD Mendis,SRH,14,410,231,16,32,22,63,2,0,10.65,14.44,4.28,27.27,262.78,3-22 (12),1-0-0
Harsh Dubey,RR,9,349,186,15,21,24,55,8,0,11.26,12.4,4.13,29.57,257.85,4-50 (24),2-1-0
Mohammad Ghazanfar,SRH,11,395,264,14,29,13,61,6,0,8.98,18.86,6.29,23.11,244.21,4-29 (24),1-1-0
Noor Ahmad,GT,11,434,264,14,35,18,64,6,0,9.86,18.86,4.98,24.24,233.35,3-31 (24),2-0-0
MA Starc,KKR,9,328,199,14,41,10,73,4,0,9.89,14.21,3.9,36.68,246.56,3-25 (19),4-0-0
Kuldeep Yadav,SRH,12,390,276,13,28,11,62,5,0,8.48,21.23,7.08,22.46,234.22,3-34 (24),1-0-0
AK Markram,DC,9,318,216,13,19,14,58,3,0,8.83,16.62,6.55,26.85,241.02,3-26 (24),2-0-0
NT Ellis,SRH,8,287,182,13,23,14,56,5,0,9.46,14.0,4.92,30.77,239.1,6-28 (20),1-1-1
KA Maharaj,SRH,8,276,172,13,18,18,65,4,1,9.63,13.23,4.78,37.79,243.75,4-53 (24),1-1-0
JC Archer,LSG,6,227,138,13,17,13,42,2,0,9.87,10.62,4.6,30.43,250.22,5-17 (24),3-2-1
T Natarajan,CSK,13,535,311,13,47,23,78,7,2,10.32,23.92,4.44,25.08,207.09,2-60 (23),0-0-0
R Shepherd,GT,10,414,240,12,36,21,70,2,1,10.35,20.0,4.21,29.17,203.71,3-26 (24),2-0-0
AR Patel,CSK,12,548,287,12,50,28,69,8,0,11.46,23.92,3.68,24.04,185.95,3-44 (24),1-0-0
Khrievitso Kense,RCB,11,324,264,11,28,7,93,4,0,7.36,24.0,7.54,35.23,220.26,2-20 (24),0-0-0
Fazalhaq Farooqi,CSK,9,280,198,11,36,5,70,6,1,8.48,18.0,4.83,35.35,210.93,5-27 (24),1-1-1
V Puthur,DC,9,268,180,11,24,11,62,4,0,8.93,16.36,5.14,34.44,214.12,3-31 (18),1-0-0
JJ Smit,PBKS,7,228,150,11,21,6,41,6,1,9.12,13.64,5.56,27.33,221.07,5-38 (24),2-1-1
