striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
P Simran Singh,SRH,16,8,741,164.3,0
CH Gayle,CSK,18,8,704,156.79,1
Naman Dhir,GT,20,7,860,178.05,0
JP Inglis,GT,19,7,815,171.94,1
JM Sharma,RCB,18,7,729,196.5,0
RD Gaikwad,GT,20,6,797,177.51,1
Shubman Gill,LSG,18,6,686,155.91,1
Smaran Ravichandran,PBKS,20,6,664,160.77,0
Aniket Verma,RR,19,6,660,178.86,2
SV Samson,GT,19,6,654,160.29,0
Abhishek Sharma,MI,13,6,606,194.86,0
YBK Jaiswal,RR,19,6,573,196.23,0
GJ Maxwell,RR,21,5,819,172.78,2
N Sindhu,DC,19,5,682,196.54,1
SA Yadav,DC,19,5,663,185.71,1
B Sai Sudharsan,CSK,18,5,625,155.09,2
N Pooran,MI,18,5,592,179.94,0
S Dube,RR,18,5,588,165.63,0
V Suryavanshi,PBKS,20,4,659,165.16,0
Tilak Varma,CSK,18,4,584,158.7,0
WG Jacks,LSG,16,4,581,162.75,0
PD Salt,RCB,18,4,574,164.47,0
Sameer Rizvi,LSG,16,4,533,186.36,0
SP Narine,KKR,16,4,513,139.4,0
AB de Villiers,RR,18,4,479,173.55,1
RD Rickelton,LSG,17,4,451,174.81,0
FH Allen,PBKS,17,4,449,171.37,0
KL Rahul,SRH,18,3,633,158.25,0
V Kohli,DC,19,3,531,161.4,0
Priyansh Arya,SRH,17,3,513,176.29,0
RM Patidar,KKR,18,3,471,142.73,0
BJ McMullen,RR,15,3,456,159.44,0
MJ Owen,DC,17,3,409,173.31,0
TM Head,MI,11,3,405,147.27,0
T Stubbs,CSK,15,3,400,168.78,0
Tarang Gohel,DC,8,3,360,173.08,1
Q de Kock,KKR,10,3,275,122.77,0
Ishaan Gadekar,RCB,7,3,245,153.12,0
Ishan Kishan,MI,14,2,444,153.1,0
Shashank Singh,PBKS,19,2,437,186.75,0
RG Sharma,KKR,17,2,426,184.42,0
Rahul Singh,RCB,12,2,381,162.13,0
N Rana,PBKS,15,2,377,160.43,0
SS Iyer,LSG,16,2,354,154.59,0
JC Buttler,LSG,16,2,352,168.42,0
Abishek Porel,DC,12,2,351,160.27,0
PHKD Mendis,SRH,16,2,348,178.46,0
MR Marsh,SRH,4,2,179,170.48,0
C Green,KKR,18,1,428,165.89,0
R Parag,GT,20,1,425,188.05,0
Dhruv Jurel,RCB,14,1,345,151.98,0
VR Iyer,SRH,14,1,322,143.75,0
AM Rahane,MI,17,1,320,138.53,0
Nithish Kumar Reddy,SRH,14,1,299,164.29,0
H Klaasen,CSK,9,1,265,161.59,0
KA Pollard,CSK,12,1,252,203.23,0
Chirag Jani,PBKS,8,1,240,179.1,0
RK Singh,MI,10,1,208,184.07,0
Bilal Zalmai,MI,7,1,172,177.32,0
BM Duckett,PBKS,7,1,166,141.88,0
PP Shaw,RCB,8,1,158,119.7,0
Atharva Taide,MI,4,1,155,156.57,0
WL Madsen,MI,7,1,149,147.52,0
Urvil Patel,DC,6,1,140,155.56,0
LS Livingstone,RCB,11,1,138,130.19,0
Anmolpreet Singh,CSK,7,1,129,174.32,0
RR Rossouw,SRH,6,1,128,203.17,0
MA Agarwal,RR,8,1,113,179.37,0
HC Brook,MI,3,1,110,154.93,0
D Wiese,GT,7,1,90,219.51,0
HS Desai,PBKS,3,1,85,134.92,0
JM Vince,RCB,3,1,68,125.93,0
