batting_team,phase,outs,avg,SR
CSK,Death,50,19.4,191.7
CSK,Middle,46,31.35,148.35
CSK,PP,20,50.75,156.64
DC,Death,41,25.88,210.52
DC,Middle,46,36.3,162.77
DC,PP,29,39.38,166.96
GT,Death,51,22.98,215.05
GT,Middle,39,44.1,159.26
GT,PP,21,59.38,173.19
KKR,Death,47,20.09,176.78
KKR,Middle,47,27.85,134.67
KKR,PP,28,31.93,137.96
LSG,Middle,37,39.57,150.62
LSG,PP,29,36.93,165.28
LSG,Death,53,17.38,179.18
MI,Death,50,21.0,216.94
MI,Middle,37,37.43,142.49
MI,PP,21,53.38,172.99
PBKS,Death,36,25.22,193.6
PBKS,Middle,52,30.37,148.12
PBKS,PP,34,35.35,166.94
RCB,Death,44,20.5,190.7
RCB,Middle,45,31.49,149.32
RCB,PP,28,35.75,154.48
RR,Death,45,27.16,225.46
RR,Middle,48,36.65,159.47
RR,PP,34,34.53,155.29
SRH,Middle,39,35.51,144.57
SRH,Death,41,21.9,197.36
SRH,PP,20,54.45,168.06
