striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
JP Inglis,GT,17,787,454,15,73,28,89,173.35,30.27,52.47,4.5,19.6,526.91,100 (54),12-7-1,272
RD Gaikwad,GT,18,759,426,15,81,31,118,178.17,28.4,50.6,3.8,27.7,515.07,106* (53),12-6-1,203
Naman Dhir,GT,18,749,417,14,70,24,58,179.62,29.79,53.5,4.44,13.91,511.62,92 (50),13-5-0,273
P Simran Singh,SRH,16,741,451,15,63,25,98,164.3,30.07,49.4,5.12,21.73,492.66,95* (51),10-8-0,270
JM Sharma,RCB,18,729,371,10,59,41,66,196.5,37.1,72.9,3.71,17.79,519.35,60 (26),12-7-0,210
CH Gayle,CSK,18,704,449,18,57,31,143,156.79,24.94,39.11,5.1,31.85,463.31,101 (53),10-8-1,231
GJ Maxwell,RR,18,688,408,17,63,25,106,168.63,24.0,40.47,4.64,25.98,463.75,108 (57),10-4-1,228
Shubman Gill,LSG,18,686,440,17,61,19,100,155.91,25.88,40.35,5.5,22.73,454.1,130* (69),9-6-1,266
N Sindhu,DC,18,680,344,13,51,41,75,197.67,26.46,52.31,3.74,21.8,485.6,109* (45),9-5-1,183
V Suryavanshi,PBKS,18,648,393,18,72,20,109,164.89,21.83,36.0,4.27,27.74,440.43,98 (48),9-4-0,199
KL Rahul,SRH,18,633,400,16,56,27,117,158.25,25.0,39.56,4.82,29.25,428.45,80 (53),10-3-0,207
B Sai Sudharsan,CSK,18,625,403,18,52,28,126,155.09,22.39,34.72,5.04,31.27,419.4,131 (66),8-5-2,207
Abhishek Sharma,MI,13,606,311,13,74,18,65,194.86,23.92,46.62,3.38,20.9,442.14,69 (37),12-6-0,157
SA Yadav,DC,18,605,323,16,64,22,68,187.31,20.19,37.81,3.76,21.05,433.92,119* (46),9-4-1,179
SV Samson,GT,17,595,373,16,56,19,92,159.52,23.31,37.19,4.97,24.66,407.68,91 (48),9-5-0,213
N Pooran,MI,18,592,329,16,42,32,64,179.94,20.56,37.0,4.45,19.45,422.32,74 (35),7-5-0,196
Tilak Varma,CSK,18,584,368,17,69,15,120,158.7,21.65,34.35,4.38,32.61,398.77,94 (52),9-4-0,179
WG Jacks,LSG,16,581,357,15,53,23,91,162.75,23.8,38.73,4.7,25.49,403.87,99 (48),9-4-0,194
Smaran Ravichandran,PBKS,18,578,361,16,38,23,88,160.11,22.56,36.12,5.92,24.38,395.15,65 (42),8-6-0,223
PD Salt,RCB,18,574,349,18,59,22,108,164.47,19.39,31.89,4.31,30.95,397.71,75 (43),9-4-0,167
YBK Jaiswal,RR,17,547,271,11,50,30,73,201.85,24.64,49.73,3.39,26.94,412.83,91* (48),6-6-0,127
Sameer Rizvi,LSG,16,533,286,9,37,32,55,186.36,31.78,59.22,4.14,19.23,401.36,77* (39),9-4-0,165
Priyansh Arya,SRH,17,513,291,17,61,17,97,176.29,17.12,30.18,3.73,33.33,370.36,78 (41),7-3-0,123
SP Narine,KKR,16,513,368,16,52,20,150,139.4,23.0,32.06,5.11,40.76,346.03,77 (56),9-4-0,155
Aniket Verma,RR,17,512,298,14,51,22,83,171.81,21.29,36.57,4.08,27.85,371.84,109* (57),6-5-1,150
V Kohli,DC,18,491,311,16,52,19,104,157.88,19.44,30.69,4.38,33.44,348.01,94 (55),6-3-0,145
RM Patidar,KKR,18,471,330,16,44,15,105,142.73,20.62,29.44,5.59,31.82,325.53,90 (53),7-3-0,173
RD Rickelton,LSG,17,451,258,16,48,18,77,174.81,16.12,28.19,3.91,29.84,336.85,82* (51),7-4-0,122
Ishan Kishan,MI,14,444,290,14,34,25,104,153.1,20.71,31.71,4.92,35.86,318.55,95 (60),5-2-0,132
AB de Villiers,RR,16,443,259,12,28,28,77,171.04,21.58,36.92,4.62,29.73,331.79,107* (61),5-4-1,134
FH Allen,PBKS,15,440,255,13,43,18,67,172.55,19.62,33.85,4.18,26.27,332.03,89* (51),6-4-0,131
C Green,KKR,18,428,258,14,34,19,63,165.89,18.43,30.57,4.87,24.42,319.77,52 (36),8-1-0,148
RG Sharma,KKR,17,426,231,12,38,22,58,184.42,19.25,35.5,3.85,25.11,333.26,70* (35),9-2-0,118
BJ McMullen,RR,13,416,251,13,55,11,83,165.74,19.31,32.0,3.8,33.07,313.09,81 (51),7-3-0,108
S Dube,RR,15,411,266,12,31,22,89,154.51,22.17,34.25,5.02,33.46,302.47,62 (37),7-3-0,127
TM Head,MI,11,405,275,11,40,11,80,147.27,25.0,36.82,5.39,29.09,295.96,92 (48),6-3-0,154
T Stubbs,CSK,15,400,237,8,40,16,59,168.78,29.62,50.0,4.23,24.89,314.09,83* (44),5-3-0,128
R Parag,GT,18,386,199,13,25,26,43,193.97,15.31,29.69,3.9,21.61,316.74,70 (32),4-1-0,110
Rahul Singh,RCB,12,381,235,11,39,15,71,162.13,21.36,34.64,4.35,30.21,292.86,68 (31),6-2-0,113
Shashank Singh,PBKS,17,377,202,8,31,18,39,186.63,25.25,47.12,4.12,19.31,311.74,72* (40),4-2-0,119
MJ Owen,DC,16,374,216,12,36,15,55,173.15,18.0,31.17,4.24,25.46,295.59,63 (35),6-3-0,117
SS Iyer,LSG,16,354,229,15,30,16,70,154.59,15.27,23.6,4.98,30.57,269.13,82 (52),4-2-0,116
JC Buttler,LSG,16,352,209,15,31,15,62,168.42,13.93,23.47,4.54,29.67,275.64,92 (59),4-2-0,109
Abishek Porel,DC,12,351,219,9,38,8,51,160.27,24.33,39.0,4.76,23.29,277.83,63 (34),5-2-0,128
PHKD Mendis,SRH,16,348,195,9,30,20,57,178.46,21.67,38.67,3.9,29.23,286.85,81 (43),4-2-0,92
Dhruv Jurel,RCB,14,345,227,11,25,16,65,151.98,20.64,31.36,5.54,28.63,264.91,77 (46),4-1-0,125
Tarang Gohel,DC,7,330,190,7,44,10,64,173.68,27.14,47.14,3.52,33.68,275.41,107 (53),4-3-1,78
VR Iyer,SRH,14,322,224,7,22,12,58,143.75,32.0,46.0,6.59,25.89,252.43,77* (58),3-1-0,138
AM Rahane,MI,17,320,231,15,23,11,75,138.53,15.4,21.33,6.79,32.47,236.1,85 (55),3-1-0,127
Nithish Kumar Reddy,SRH,14,299,182,10,18,18,52,164.29,18.2,29.9,5.06,28.57,246.98,64* (33),3-1-0,99
N Wadhera,KKR,13,292,225,11,20,16,91,129.78,20.45,26.55,6.25,40.44,217.85,42 (33),6-0-0,103
Q de Kock,KKR,10,275,224,10,22,8,84,122.77,22.4,27.5,7.47,37.5,203.78,63 (42),4-3-0,115
H Klaasen,CSK,9,265,164,7,20,10,45,161.59,23.43,37.86,5.47,27.44,227.69,75* (43),3-1-0,92
KA Pollard,CSK,12,252,124,6,18,19,28,203.23,20.67,42.0,3.35,22.58,253.33,54* (15),3-1-0,59
N Rana,PBKS,13,251,152,11,25,12,52,165.13,13.82,22.82,4.11,34.21,218.86,46 (30),3-0-0,69
Ishaan Gadekar,RCB,7,245,160,7,19,11,67,153.12,22.86,35.0,5.33,41.88,204.99,69 (50),4-3-0,70
RA Jadeja,RCB,15,210,130,7,14,12,43,161.54,18.57,30.0,5.0,33.08,194.71,32 (21),1-0-0,67
RK Singh,MI,10,208,113,5,13,13,22,184.07,22.6,41.6,4.35,19.47,216.9,75* (39),3-1-0,67
Chirag Jani,PBKS,6,191,109,5,23,5,25,175.23,21.8,38.2,3.89,22.94,201.35,75 (41),3-1-0,57
MR Marsh,SRH,4,179,105,3,14,9,26,170.48,35.0,59.67,4.57,24.76,196.32,75* (48),3-2-0,59
Bilal Zalmai,MI,7,172,97,4,16,6,21,177.32,24.25,43.0,4.41,21.65,192.13,53 (36),2-1-0,54
BM Duckett,PBKS,7,166,117,7,21,3,43,141.88,16.71,23.71,4.88,36.75,157.24,55 (41),2-1-0,54
PP Shaw,RCB,8,158,132,8,13,4,47,119.7,16.5,19.75,7.76,35.61,137.43,71 (54),2-1-0,73
