team,highest_batting_total,best_bowling_performance
CSK,230-4 (120) vs LSG in S04M046,106-10 (93) vs SRH in S04M003
DC,266-2 (120) vs GT in S04M069,151-10 (108) vs RCB in S04M002
GT,243-5 (120) vs DC in S04M069,204-9 (118) vs RCB in S04M029
KKR,215-7 (120) vs RCB in S04M067,153-10 (109) vs MI in S04M013
LSG,233-4 (114) vs DC in S04M039,95-10 (76) vs PBKS in S04M028
MI,222-5 (120) vs SRH in S04M079,111-10 (77) vs RR in S04M061
PBKS,235-4 (120) vs RR in S04M038,82-10 (72) vs RR in S04M038
RCB,218-4 (120) vs RR in S04M034,171-10 (112) vs PBKS in S04M045
RR,232-2 (107) vs GT in S04M058,159-10 (112) vs CSK in S04M015
SRH,235-4 (120) vs RR in S04M076,148-10 (110) vs RCB in S04M026
