partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
RD Rickelton  - Shubman Gill,LSG,751,438,16,75,26,171.46,46.94,4.34
BJ McMullen  - GJ Maxwell,RR,609,364,15,69,18,167.31,40.6,4.18
KL Rahul  - P Simran Singh,SRH,601,385,11,48,21,156.1,54.64,5.58
CH Gayle  - Tilak Varma,CSK,569,363,13,66,15,156.75,43.77,4.48
P Simran Singh  - Priyansh Arya,SRH,563,328,12,62,18,171.65,46.92,4.1
JP Inglis  - Naman Dhir,GT,524,295,10,53,13,177.63,52.4,4.47
JP Inglis  - SV Samson,GT,522,304,11,46,20,171.71,47.45,4.61
RD Gaikwad  - SV Samson,GT,477,287,13,53,16,166.2,36.69,4.16
FH Allen  - V Suryavanshi,PBKS,475,272,16,63,13,174.63,29.69,3.58
GJ Maxwell  - S Dube,RR,423,239,8,36,19,176.99,52.88,4.35
Naman Dhir  - RD Gaikwad,GT,417,227,5,35,17,183.7,83.4,4.37
JP Inglis  - RD Gaikwad,GT,412,255,11,48,10,161.57,37.45,4.4
B Sai Sudharsan  - Tilak Varma,CSK,411,243,9,47,11,169.14,45.67,4.19
Aniket Verma  - GJ Maxwell,RR,398,225,10,38,17,176.89,39.8,4.09
Abhishek Sharma  - Ishan Kishan,MI,389,221,7,42,18,176.02,55.57,3.68
Shubman Gill  - WG Jacks,LSG,367,231,9,32,12,158.87,40.78,5.25
RM Patidar  - SP Narine,KKR,367,239,9,35,12,153.56,40.78,5.09
PD Salt  - Rahul Singh,RCB,367,229,9,39,11,160.26,40.78,4.58
Aniket Verma  - YBK Jaiswal,RR,358,190,6,32,16,188.42,59.67,3.96
SS Iyer  - WG Jacks,LSG,352,216,11,29,16,162.96,32.0,4.8
N Sindhu  - V Kohli,DC,337,196,9,40,12,171.94,37.44,3.77
AM Rahane  - N Pooran,MI,336,187,8,27,16,179.68,42.0,4.35
Naman Dhir  - SV Samson,GT,322,197,8,27,9,163.45,40.25,5.47
Dhruv Jurel  - JM Sharma,RCB,319,188,8,22,15,169.68,39.88,5.08
N Sindhu  - SA Yadav,DC,317,158,7,25,14,200.63,45.29,4.05
N Pooran  - TM Head,MI,307,198,7,20,12,155.05,43.86,6.19
Smaran Ravichandran  - V Suryavanshi,PBKS,298,159,9,24,13,187.42,33.11,4.3
Tarang Gohel  - V Kohli,DC,290,175,6,37,7,165.71,48.33,3.98
B Sai Sudharsan  - T Stubbs,CSK,286,160,4,20,17,178.75,71.5,4.32
PHKD Mendis  - VR Iyer,SRH,276,152,3,17,17,181.58,92.0,4.47
Nithish Kumar Reddy  - P Simran Singh,SRH,274,147,5,15,17,186.39,54.8,4.59
AB de Villiers  - YBK Jaiswal,RR,268,124,5,22,16,216.13,53.6,3.26
JP Inglis  - R Parag,GT,262,111,4,17,19,236.04,65.5,3.08
Q de Kock  - SP Narine,KKR,261,207,7,28,8,126.09,37.29,5.75
Dhruv Jurel  - PD Salt,RCB,259,147,5,28,11,176.19,51.8,3.77
Naman Dhir  - R Parag,GT,255,130,7,17,16,196.15,36.43,3.94
SA Yadav  - Tarang Gohel,DC,251,123,3,34,6,204.07,83.67,3.08
Abishek Porel  - N Sindhu,DC,248,136,4,22,10,182.35,62.0,4.25
Ishaan Gadekar  - PD Salt,RCB,241,155,4,24,8,155.48,60.25,4.84
MR Marsh  - Priyansh Arya,SRH,240,119,3,22,11,201.68,80.0,3.61
T Stubbs  - Tilak Varma,CSK,232,139,3,28,5,166.91,77.33,4.21
CH Gayle  - H Klaasen,CSK,222,131,4,7,14,169.47,55.5,6.24
AM Rahane  - Abhishek Sharma,MI,220,135,6,22,5,162.96,36.67,5.0
AB de Villiers  - BJ McMullen,RR,206,136,3,18,8,151.47,68.67,5.23
Abishek Porel  - MJ Owen,DC,205,110,4,16,10,186.36,51.25,4.23
Abhishek Sharma  - TM Head,MI,203,115,3,31,2,176.52,67.67,3.48
AB de Villiers  - S Dube,RR,200,105,2,16,9,190.48,100.0,4.2
Shashank Singh  - Smaran Ravichandran,PBKS,199,128,7,22,2,155.47,28.43,5.33
B Sai Sudharsan  - CH Gayle,CSK,199,152,12,13,7,130.92,16.58,7.6
JM Sharma  - RA Jadeja,RCB,197,103,2,14,11,191.26,98.5,4.12
Chirag Jani  - Shashank Singh,PBKS,190,108,3,20,5,175.93,63.33,4.32
Q de Kock  - RM Patidar,KKR,188,130,7,21,5,144.62,26.86,5.0
JC Buttler  - Sameer Rizvi,LSG,187,127,6,12,4,147.24,31.17,7.94
FH Allen  - Smaran Ravichandran,PBKS,184,116,4,8,7,158.62,46.0,7.73
Abdul Samad  - Sameer Rizvi,LSG,180,113,8,10,11,159.29,22.5,5.38
RD Rickelton  - WG Jacks,LSG,178,111,6,19,4,160.36,29.67,4.83
C Green  - RG Sharma,KKR,174,105,8,10,8,165.71,21.75,5.83
N Rana  - Shashank Singh,PBKS,174,91,3,12,9,191.21,58.0,4.33
N Rana  - Smaran Ravichandran,PBKS,173,102,7,19,6,169.61,24.71,4.08
Ishan Kishan  - TM Head,MI,170,108,5,13,8,157.41,34.0,5.14
KL Rahul  - VR Iyer,SRH,168,120,5,12,6,140.0,33.6,6.67
