striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
N Pooran,MI,14,724,166.82,80.44,26.21
DP Conway,GT,14,620,160.62,44.29,24.22
GJ Maxwell,RR,17,771,184.45,64.25,24.17
SS Iyer,LSG,14,588,159.35,45.23,23.47
RD Gaikwad,RCB,14,601,158.99,46.23,23.28
SV Samson,GT,14,587,155.7,45.15,22.93
KL Rahul,SRH,15,667,159.57,111.17,21.93
AM Rahane,KKR,14,537,145.92,44.75,21.87
BM Duckett,SRH,11,652,167.61,72.44,21.44
Shubman Gill,LSG,14,534,157.99,44.5,21.32
PD Salt,RCB,13,536,165.43,41.23,20.76
Abhishek Sharma,MI,15,565,169.67,51.36,20.46
RD Rickelton,RR,17,646,159.51,38.0,20.25
V Kohli,DC,15,640,166.67,53.33,20.18
Naman Dhir,GT,13,513,164.95,64.12,20.04
PP Shaw,MI,15,546,150.41,39.0,19.77
JC Buttler,KKR,14,483,161.54,34.5,19.67
SA Yadav,DC,16,621,174.93,51.75,19.58
Tilak Varma,CSK,14,464,162.24,38.67,18.71
TM Head,CSK,14,457,145.54,35.15,18.43
Q de Kock,PBKS,13,430,158.67,35.83,17.64
P Simran Singh,SRH,16,527,157.78,32.94,17.33
S Dube,RR,15,534,162.31,48.55,16.74
F du Plessis,CSK,14,415,124.25,31.92,16.73
Ishan Kishan,KKR,14,398,152.49,28.43,16.21
Smaran Ravichandran,PBKS,11,388,170.18,43.11,15.92
YBK Jaiswal,RR,17,472,176.12,42.91,14.8
Abishek Porel,DC,14,464,181.96,42.18,14.63
RM Patidar,RR,17,464,145.91,30.93,14.55
T Stubbs,CSK,8,356,158.93,59.33,14.35
H Klaasen,PBKS,14,346,153.78,43.25,14.2
R Powell,KKR,13,334,173.06,37.11,13.6
RG Sharma,PBKS,14,331,139.66,25.46,13.58
B Sai Sudharsan,RCB,12,344,139.84,31.27,13.32
VR Iyer,SRH,13,395,151.92,56.43,12.99
RR Rossouw,MI,11,356,160.36,39.56,12.89
RK Singh,RCB,13,307,156.63,43.86,11.89
N Sindhu,DC,13,361,176.1,30.08,11.38
SP Narine,LSG,8,281,168.26,46.83,11.22
Urvil Patel,DC,15,316,147.66,28.73,9.97
KA Pollard,CSK,11,238,154.55,47.6,9.6
BA Stokes,LSG,12,236,135.63,23.6,9.42
JP Inglis,GT,7,233,162.94,58.25,9.1
N Rana,KKR,9,222,133.73,31.71,9.04
WG Jacks,LSG,11,226,155.86,22.6,9.02
Shashank Singh,PBKS,12,210,184.21,23.33,8.62
Washington Sundar,PBKS,9,198,131.13,28.29,8.12
R Parag,GT,12,205,151.85,41.0,8.01
J Fraser-McGurk,RCB,5,195,162.5,39.0,7.55
C Green,RCB,8,194,156.45,48.5,7.51
MP Stoinis,PBKS,8,176,136.43,22.0,7.22
JM Sharma,RCB,10,180,183.67,45.0,6.97
AD Russell,DC,9,211,181.9,70.33,6.65
AR Patel,CSK,10,158,126.4,26.33,6.37
Nithish Kumar Reddy,GT,10,159,138.26,22.71,6.21
FH Allen,MI,8,165,161.76,20.62,5.97
LS Livingstone,SRH,9,179,129.71,19.89,5.89
AK Markram,SRH,9,169,146.96,33.8,5.56
MS Dhoni,CSK,9,133,137.11,22.17,5.36
Priyansh Arya,SRH,4,159,184.88,39.75,5.23
Sikandar Raza,DC,6,163,148.18,32.6,5.14
Ramandeep Singh,LSG,7,127,186.76,42.33,5.07
Dhruv Jurel,LSG,7,120,160.0,40.0,4.79
BJ McMullen,DC,4,150,135.14,37.5,4.73
Jay Gohil,MI,8,126,206.56,25.2,4.56
D Brevis,PBKS,4,101,120.24,25.25,4.14
HH Pandya,MI,12,110,139.24,13.75,3.98
Sameer Rizvi,LSG,3,96,168.42,48.0,3.83
RA Bawa,KKR,7,88,176.0,17.6,3.58
SM Curran,KKR,11,74,102.78,14.8,3.01
MK Lomror,SRH,5,83,140.68,41.5,2.73
MG Bracewell,DC,6,79,151.92,15.8,2.49
MK Pandey,KKR,3,60,107.14,20.0,2.44
DJ Hooda,GT,5,61,179.41,15.25,2.38
PJ Cummins,PBKS,5,57,132.56,28.5,2.34
MA Agarwal,KKR,3,57,126.67,19.0,2.32
Shakib Al Hasan,PBKS,5,55,119.57,18.33,2.26
Suryansh Shedge,CSK,6,56,180.65,11.2,2.26
Ashutosh Sharma,RCB,4,58,126.09,19.33,2.25
R Ashwin,KKR,6,49,132.43,12.25,2.0
Anmolpreet Singh,CSK,4,47,142.42,15.67,1.9
DA Miller,RR,5,56,109.8,18.67,1.76
RA Tripathi,PBKS,3,43,104.88,14.33,1.76
Harpreet Brar,RCB,4,44,133.33,inf,1.7
TH David,LSG,4,39,134.48,9.75,1.56
Shahbaz Ahmed,LSG,4,37,97.37,12.33,1.48
Arslan Khan,MI,4,40,142.86,10.0,1.45
AS Roy,LSG,5,36,138.46,12.0,1.44
Abdul Samad,LSG,3,34,113.33,17.0,1.36
DA Warner,DC,1,36,109.09,36.0,1.14
Ayush Mhatre,KKR,2,27,135.0,13.5,1.1
KH Pandya,SRH,1,33,173.68,33.0,1.09
SB Dubey,GT,1,28,155.56,28.0,1.09
Sanvir Singh,SRH,4,32,128.0,10.67,1.05
KD Karthik,CSK,4,25,65.79,6.25,1.01
Swapnil Singh,RR,6,32,128.0,6.4,1.0
SE Rutherford,LSG,1,24,150.0,24.0,0.96
