bowler,bowling_team,num_innings,dots,balls,dot_%
MP Yadav,CSK,12,108,266,40.6
Kuldeep Yadav,SRH,11,99,263,37.64
B Kumar,KKR,14,93,313,29.71
Suryansh Shedge,CSK,14,92,319,28.84
JJ Bumrah,MI,15,90,336,26.79
SM Curran,KKR,12,84,288,29.17
MA Starc,KKR,13,83,276,30.07
Washington Sundar,PBKS,11,82,252,32.54
M Pathirana,RCB,13,82,303,27.06
A Zampa,SRH,10,80,206,38.83
TA Boult,MI,10,80,227,35.24
Suyash Sharma,MI,13,80,294,27.21
Mayank Dagar,RR,11,79,263,30.04
GJ Maxwell,RR,16,79,298,26.51
Arshdeep Singh,LSG,11,78,246,31.71
M Prasidh Krishna,DC,12,77,288,26.74
AR Patel,CSK,14,77,333,23.12
Mohammad Nabi,GT,10,76,234,32.48
Swapnil Singh,RR,13,75,274,27.37
M Markande,PBKS,9,74,210,35.24
AK Markram,SRH,13,74,216,34.26
JC Archer,LSG,11,73,248,29.44
HH Pandya,MI,14,73,292,25.0
Sandeep Sharma,RR,13,72,282,25.53
DS Rathi,KKR,12,69,288,23.96
R Ashwin,KKR,11,68,257,26.46
Rashid Khan,GT,12,66,276,23.91
Mustafizur Rahman,DC,10,65,228,28.51
RA Jadeja,DC,11,65,240,27.08
YS Chahal,RCB,11,65,260,25.0
Shakib Al Hasan,PBKS,9,64,168,38.1
SP Narine,LSG,9,63,193,32.64
R Sai Kishore,GT,8,61,180,33.89
JR Hazlewood,RR,10,60,210,28.57
KH Pandya,SRH,9,58,216,26.85
Ravi Bishnoi,PBKS,8,55,192,28.65
MG Bracewell,DC,9,54,186,29.03
GF Linde,RR,7,51,156,32.69
Mohammed Siraj,RCB,8,51,156,32.69
CV Varun,PBKS,7,49,142,34.51
A Kamboj,RR,7,49,162,30.25
M Jansen,GT,8,48,150,32.0
Shahbaz Ahmed,LSG,7,48,156,30.77
A Nortje,RCB,8,48,171,28.07
Mohammed Shami,PBKS,6,47,132,35.61
BA Stokes,LSG,8,47,174,27.01
Akash Deep,SRH,6,46,143,32.17
Harpreet Brar,RCB,8,46,192,23.96
Rasikh Salam,GT,8,45,163,27.61
Sikandar Raza,DC,8,45,186,24.19
Jagjit Singh,CSK,7,44,162,27.16
LS Livingstone,SRH,11,42,163,25.77
Mujeeb Ur Rahman,RCB,5,41,120,34.17
M Siddharth,CSK,5,41,120,34.17
T Natarajan,CSK,9,41,192,21.35
Fazalhaq Farooqi,CSK,5,40,120,33.33
C Sakariya,SRH,5,39,114,34.21
V Puthur,LSG,5,38,108,35.19
I Sharma,GT,5,38,120,31.67
PWH de Silva,DC,6,37,126,29.37
Yash Dayal,LSG,5,35,119,29.41
Mohsin Khan,RCB,4,34,88,38.64
VG Arora,KKR,5,34,120,28.33
HV Patel,PBKS,6,34,137,24.82
K Rabada,MI,5,32,120,26.67
Cheepurapalli Stephen,DC,7,32,156,20.51
SH Johnson,SRH,5,30,90,33.33
Ravi Teja,LSG,5,30,120,25.0
KK Ahmed,GT,6,30,125,24.0
V Nigam,GT,4,29,94,30.85
C Green,RCB,5,29,102,28.43
PJ Cummins,PBKS,5,29,102,28.43
AD Russell,DC,11,29,151,19.21
S Gopal,DC,3,28,72,38.89
Tanush Kotian,SRH,5,28,102,27.45
MR Marsh,DC,6,28,131,21.37
Azmatullah Omarzai,RR,6,27,114,23.68
M Theekshana,MI,6,27,120,22.5
MP Stoinis,PBKS,8,27,129,20.93
AS Roy,LSG,5,26,90,28.89
RD Chahar,RCB,3,24,72,33.33
WG Jacks,LSG,4,22,54,40.74
Imran Tahir,MI,3,22,66,33.33
Abhishek Sharma,MI,5,22,84,26.19
Mukesh Kumar,GT,4,21,60,35.0
NT Ellis,LSG,3,21,66,31.82
SS Ghosh,MI,3,21,72,29.17
TU Deshpande,RR,2,19,48,39.58
Harshit Rana,SRH,3,19,66,28.79
LH Ferguson,GT,3,19,69,27.54
SZ Mulani,MI,3,19,72,26.39
Ashutosh Sharma,RCB,7,19,78,24.36
Naveen-ul-Haq,SRH,3,18,58,31.03
Naman Dhir,GT,3,16,54,29.63
R Tewatia,SRH,3,16,54,29.63
JD Unadkat,RR,3,16,72,22.22
PP Chawla,RR,3,14,60,23.33
Noor Ahmad,KKR,2,13,48,27.08
Mohammad Ghazanfar,CSK,3,13,60,21.67
Sanvir Singh,SRH,2,12,30,40.0
Yash Thakur,PBKS,2,11,48,22.92
R Parag,GT,4,11,66,16.67
N Burger,PBKS,1,10,24,41.67
SN Thakur,DC,2,10,42,23.81
MM Ali,RCB,2,10,48,20.83
V Kaverappa,SRH,1,8,18,44.44
DG Nalkande,RCB,1,8,24,33.33
Tilak Varma,CSK,4,8,42,19.05
DL Chahar,DC,3,8,72,11.11
VR Iyer,SRH,2,7,24,29.17
MJ Suthar,LSG,2,7,48,14.58
Umran Malik,RCB,1,6,24,25.0
GD Phillips,RR,2,6,36,16.67
IC Porel,SRH,2,6,36,16.67
K Kartikeya,GT,1,5,17,29.41
RS Hangargekar,MI,1,5,24,20.83
MJ Santner,PBKS,1,5,24,20.83
Avesh Khan,PBKS,2,5,42,11.9
JG Bethell,SRH,3,5,48,10.42
KA Pollard,CSK,2,4,12,33.33
Ramandeep Singh,LSG,1,3,12,25.0
D Ferreira,SRH,1,3,12,25.0
Shashank Singh,PBKS,3,3,18,16.67
A Badoni,SRH,2,3,24,12.5
J Overton,KKR,2,3,42,7.14
S Dube,RR,1,2,12,16.67
BJ McMullen,DC,2,2,12,16.67
N Sindhu,DC,1,1,12,8.33
KV Sharma,MI,1,1,24,4.17
