striker,batting_team,num_innings,sixes,runs,strike_rate
GJ Maxwell,RR,17,39,771,184.45
N Pooran,MI,14,31,724,166.82
RD Rickelton,RR,17,31,646,159.51
S Dube,RR,15,28,534,162.31
Abishek Porel,DC,14,26,464,181.96
V Kohli,DC,15,26,640,166.67
BM Duckett,SRH,11,25,652,167.61
KL Rahul,SRH,15,25,667,159.57
SA Yadav,DC,16,24,621,174.93
YBK Jaiswal,RR,17,23,472,176.12
PD Salt,RCB,13,23,536,165.43
SS Iyer,LSG,14,23,588,159.35
Q de Kock,PBKS,13,23,430,158.67
Shubman Gill,LSG,14,22,534,157.99
R Powell,KKR,13,21,334,173.06
Abhishek Sharma,MI,15,21,565,169.67
RD Gaikwad,RCB,14,21,601,158.99
P Simran Singh,SRH,16,21,527,157.78
N Sindhu,DC,13,20,361,176.1
SV Samson,GT,14,20,587,155.7
Naman Dhir,GT,13,19,513,164.95
Tilak Varma,CSK,14,19,464,162.24
AM Rahane,KKR,14,19,537,145.92
RM Patidar,RR,17,19,464,145.91
B Sai Sudharsan,RCB,12,19,344,139.84
JC Buttler,KKR,14,18,483,161.54
DP Conway,GT,14,18,620,160.62
Ishan Kishan,KKR,14,18,398,152.49
SP Narine,LSG,8,17,281,168.26
T Stubbs,CSK,8,16,356,158.93
Smaran Ravichandran,PBKS,11,15,388,170.18
VR Iyer,SRH,13,15,395,151.92
F du Plessis,CSK,14,15,415,124.25
JM Sharma,RCB,10,14,180,183.67
H Klaasen,PBKS,14,14,346,153.78
PP Shaw,MI,15,14,546,150.41
RR Rossouw,MI,11,13,356,160.36
KA Pollard,CSK,11,13,238,154.55
Urvil Patel,DC,15,13,316,147.66
AD Russell,DC,9,12,211,181.9
JP Inglis,GT,7,12,233,162.94
RK Singh,RCB,13,12,307,156.63
TM Head,CSK,14,12,457,145.54
Ramandeep Singh,LSG,7,11,127,186.76
Priyansh Arya,SRH,4,11,159,184.88
Shashank Singh,PBKS,12,11,210,184.21
RG Sharma,PBKS,14,11,331,139.66
BA Stokes,LSG,12,11,236,135.63
Jay Gohil,MI,8,10,126,206.56
J Fraser-McGurk,RCB,5,9,195,162.5
WG Jacks,LSG,11,9,226,155.86
R Parag,GT,12,9,205,151.85
Washington Sundar,PBKS,9,9,198,131.13
LS Livingstone,SRH,9,9,179,129.71
FH Allen,MI,8,8,165,161.76
Dhruv Jurel,LSG,7,8,120,160.0
Sikandar Raza,DC,6,8,163,148.18
HH Pandya,MI,12,8,110,139.24
Nithish Kumar Reddy,GT,10,8,159,138.26
BJ McMullen,DC,4,8,150,135.14
RA Bawa,KKR,7,7,88,176.0
C Green,RCB,8,7,194,156.45
N Rana,KKR,9,7,222,133.73
MG Bracewell,DC,6,6,79,151.92
AK Markram,SRH,9,6,169,146.96
MP Stoinis,PBKS,8,6,176,136.43
DJ Hooda,GT,5,5,61,179.41
MS Dhoni,CSK,9,5,133,137.11
AR Patel,CSK,10,5,158,126.4
Shakib Al Hasan,PBKS,5,5,55,119.57
Suryansh Shedge,CSK,6,4,56,180.65
Sameer Rizvi,LSG,3,4,96,168.42
KH Pandya,SRH,1,3,33,173.68
MK Lomror,SRH,5,3,83,140.68
AS Roy,LSG,5,3,36,138.46
R Ashwin,KKR,6,3,49,132.43
MA Agarwal,KKR,3,3,57,126.67
D Brevis,PBKS,4,3,101,120.24
DA Miller,RR,5,3,56,109.8
RA Tripathi,PBKS,3,3,43,104.88
Azmatullah Omarzai,RR,2,2,27,207.69
JE Root,GT,1,2,19,135.71
TH David,LSG,4,2,39,134.48
Harpreet Brar,RCB,4,2,44,133.33
PJ Cummins,PBKS,5,2,57,132.56
Sanvir Singh,SRH,4,2,32,128.0
Swapnil Singh,RR,6,2,32,128.0
J Overton,KKR,2,2,17,121.43
DA Warner,DC,1,2,36,109.09
SM Curran,KKR,11,2,74,102.78
M Jansen,GT,3,2,22,95.65
RA Jadeja,DC,2,1,17,212.5
JG Bethell,SRH,1,1,12,200.0
T Natarajan,CSK,3,1,13,185.71
Noor Ahmad,KKR,1,1,12,171.43
SK Rasheed,PBKS,1,1,12,171.43
JJ Bumrah,MI,3,1,10,166.67
GF Linde,RR,5,1,27,150.0
SE Rutherford,LSG,1,1,24,150.0
Harshit Rana,SRH,2,1,10,142.86
Rasikh Salam,GT,3,1,7,140.0
VG Arora,KKR,2,1,11,137.5
Ayush Mhatre,KKR,2,1,27,135.0
Ashutosh Sharma,RCB,4,1,58,126.09
RK Bhui,RCB,2,1,22,122.22
PWH de Silva,DC,3,1,28,121.74
Mohammad Nabi,GT,3,1,17,113.33
RR Pant,RR,5,1,28,107.69
MK Pandey,KKR,3,1,60,107.14
Rashid Khan,GT,3,1,22,104.76
TU Deshpande,RR,1,1,11,100.0
YS Chahal,RCB,3,1,10,100.0
Shahbaz Ahmed,LSG,4,1,37,97.37
Arshdeep Singh,LSG,4,1,24,75.0
Aryan Juyal,LSG,4,1,21,75.0
LH Ferguson,GT,2,1,9,52.94
B Kumar,KKR,5,1,7,36.84
