player,team,points_bat,points_ball,total_points,num_POTM_awards
GJ Maxwell,RR,530.9437224880382,188.0671968818535,719.0109193698918,6
Naman Dhir,GT,375.3135555555555,138.7752880830622,514.0888436386176,2
Abhishek Sharma,MI,402.7792612612612,100.3198040311902,503.0990652924515,2
AK Markram,SRH,165.34,331.7135197543347,497.0535197543347,2
N Pooran,MI,496.0019878296146,0.0,496.0019878296146,2
KL Rahul,SRH,470.1665440613027,0.0,470.1665440613027,0
Washington Sundar,PBKS,167.0685438282648,292.2958859770922,459.3644298053569,2
BM Duckett,SRH,453.4218630393996,0.0,453.4218630393996,4
V Kohli,DC,441.4970658436214,0.0,441.4970658436214,2
SA Yadav,DC,438.1508574610245,0.0,438.1508574610245,4
RD Rickelton,RR,434.9724439834025,0.0,434.9724439834025,1
DP Conway,GT,423.153688172043,0.0,423.153688172043,2
RD Gaikwad,RCB,413.2873621730383,0.0,413.2873621730383,2
SP Narine,LSG,243.514299389002,168.9868692663313,412.5011686553333,2
SS Iyer,LSG,405.8603846153846,0.0,405.8603846153846,2
SV Samson,GT,401.6241958568738,0.0,401.6241958568738,2
Tilak Varma,CSK,337.0466363636364,44.14817298347911,381.1948093471155,2
PD Salt,RCB,380.5045251141552,0.0,380.5045251141552,1
S Dube,RR,379.5352993890021,0.0,379.5352993890021,2
Shubman Gill,LSG,374.7123621730382,0.0,374.7123621730382,2
PP Shaw,MI,374.1403621730382,0.0,374.1403621730382,0
AM Rahane,KKR,368.2555734767025,0.0,368.2555734767025,2
P Simran Singh,SRH,367.3974229249012,0.0,367.3974229249012,0
YBK Jaiswal,RR,353.6295216400911,0.0,353.6295216400911,0
Abishek Porel,DC,353.1628140703518,0.0,353.1628140703518,1
LS Livingstone,SRH,156.1773333333334,192.6562246161974,348.8335579495308,1
JC Buttler,KKR,345.5773441108545,0.0,345.5773441108545,0
WG Jacks,LSG,196.4835216400911,147.2355658764715,343.7190875165626,0
AD Russell,DC,223.019,112.6073620787586,335.6263620787587,1
RM Patidar,RR,325.0235734767025,0.0,325.0235734767025,0
TM Head,CSK,322.0464229249012,0.0,322.0464229249012,0
MP Yadav,CSK,0.0,319.342897149525,319.342897149525,1
Q de Kock,PBKS,316.0015785123967,0.0,316.0015785123967,1
JC Archer,LSG,0.0,315.2506870677215,315.2506870677215,1
Suryansh Shedge,CSK,110.0880322580645,202.9049811838811,312.9930134419457,0
AR Patel,CSK,144.4783613445378,163.0036271255178,307.4819884700556,0
B Kumar,KKR,0.0,306.9930547726165,306.9930547726165,0
SM Curran,KKR,76.03508649173955,228.6237481551075,304.6588346468471,1
VR Iyer,SRH,302.1370103950103,0.0,302.1370103950103,1
Smaran Ravichandran,PBKS,301.2631031307551,0.0,301.2631031307551,0
BA Stokes,LSG,188.3683333333333,111.8916964125621,300.2600297458954,1
MA Starc,KKR,0.0,297.1092657069809,297.1092657069809,1
Ishan Kishan,KKR,290.7612171945701,0.0,290.7612171945701,1
A Zampa,SRH,0.0,288.3885841739583,288.3885841739583,0
M Pathirana,RCB,0.0,287.3990549189373,287.3990549189373,0
N Sindhu,DC,287.3616018735363,0.0,287.3616018735363,0
Swapnil Singh,RR,60.8,225.23968829214,286.0396882921401,0
T Stubbs,CSK,285.2808630393996,0.0,285.2808630393996,0
JJ Bumrah,MI,0.0,284.2369425584434,284.2369425584434,1
MG Bracewell,DC,111.1365190311419,172.4777365619639,283.6142555931057,0
Shakib Al Hasan,PBKS,72.95035007610349,208.8097157071784,281.7600657832819,1
F du Plessis,CSK,281.6313081761007,0.0,281.6313081761007,1
RR Rossouw,MI,277.8491441774491,0.0,277.8491441774491,1
HH Pandya,MI,119.3767841945289,155.1230802936105,274.4998644881393,0
R Powell,KKR,274.3750116550117,0.0,274.3750116550117,0
H Klaasen,PBKS,271.5463582089552,0.0,271.5463582089552,0
R Parag,GT,188.7982592592593,81.62669786271358,270.4249571219729,0
C Green,RCB,192.7002461873638,77.25227942151015,269.952525608874,0
Mohammad Nabi,GT,0.0,267.4724562756257,267.4724562756257,0
Sikandar Raza,DC,161.5659847328244,105.7834180898166,267.349402822641,0
Harpreet Brar,RCB,88.9859090909091,177.6603830206521,266.6462921115612,0
Mayank Dagar,RR,0.0,254.9991698183449,254.9991698183449,1
B Sai Sudharsan,RCB,254.758081300813,0.0,254.758081300813,0
RK Singh,RCB,251.7995714285714,0.0,251.7995714285714,1
Rashid Khan,GT,0.0,249.3924238659891,249.3924238659891,0
RG Sharma,PBKS,245.6546660341556,0.0,245.6546660341556,0
Mustafizur Rahman,DC,0.0,245.1221879250277,245.1221879250277,0
Urvil Patel,DC,243.5163060556465,0.0,243.5163060556465,0
Rasikh Salam,GT,0.0,241.3647240829346,241.3647240829346,2
Shahbaz Ahmed,LSG,46.86494736842106,194.2654988000505,241.1304461684716,0
Fazalhaq Farooqi,CSK,0.0,241.0645271941624,241.0645271941624,1
RA Jadeja,DC,0.0,238.0718128520574,238.0718128520574,1
R Ashwin,KKR,81.36972771474879,148.0606688155366,229.4303965302854,0
Arshdeep Singh,LSG,22.0625,202.9080968978509,224.9705968978509,0
JP Inglis,GT,217.6539090909091,0.0,217.6539090909091,1
MP Stoinis,PBKS,157.6496559714795,56.37595682186267,214.0256127933422,0
KA Pollard,CSK,212.6895886939571,0.0,212.6895886939571,0
Ashutosh Sharma,RCB,88.45235007610351,120.7570256410256,209.2093757171291,0
Shashank Singh,PBKS,207.6129122807017,0.0,207.6129122807017,0
DS Rathi,KKR,0.0,203.8448794795804,203.8448794795804,0
I Sharma,GT,0.0,203.0611011012422,203.0611011012422,0
Kuldeep Yadav,SRH,0.0,202.9736593815957,202.9736593815957,0
V Puthur,LSG,0.0,198.7112087770248,198.7112087770248,0
JM Sharma,RCB,194.4139019607843,0.0,194.4139019607843,0
R Sai Kishore,GT,0.0,194.1888019207683,194.1888019207683,0
J Fraser-McGurk,RCB,191.0,0.0,191.0,1
M Markande,PBKS,0.0,190.3178581220471,190.3178581220471,2
Sanvir Singh,SRH,67.41740096038414,121.9469696969697,189.3643706573538,0
MR Marsh,DC,30.66633333333333,158.1811048985148,188.8474382318481,0
Mujeeb Ur Rahman,RCB,0.0,187.5712883895131,187.5712883895131,1
JR Hazlewood,RR,0.0,186.9857398012164,186.9857398012164,1
N Rana,KKR,184.666081300813,0.0,184.666081300813,0
Priyansh Arya,SRH,184.0451219512195,0.0,184.0451219512195,0
TA Boult,MI,0.0,182.940747410665,182.940747410665,0
SH Johnson,SRH,0.0,181.6330107383544,181.6330107383544,0
Mohsin Khan,RCB,0.0,178.5521664516781,178.5521664516781,0
Ravi Teja,LSG,0.0,177.3785204991087,177.3785204991087,0
