player,team,#catches,#runout/stumping
Ishan Kishan,KKR,16,0
SV Samson,GT,14,0
KL Rahul,SRH,13,0
JM Sharma,RCB,12,1
MS Dhoni,CSK,10,1
RD Rickelton,RR,9,0
Dhruv Jurel,LSG,8,0
Urvil Patel,DC,8,0
Nithish Kumar Reddy,GT,7,0
SS Iyer,LSG,7,0
N Pooran,MI,7,0
GJ Maxwell,RR,7,0
SA Yadav,DC,6,1
Shubman Gill,LSG,6,0
KH Pandya,SRH,6,0
Suryansh Shedge,CSK,6,2
LS Livingstone,SRH,6,2
HH Pandya,MI,6,0
AS Roy,LSG,6,0
Q de Kock,PBKS,6,0
JC Buttler,KKR,6,0
R Ashwin,KKR,6,1
YBK Jaiswal,RR,6,1
DP Conway,GT,6,0
SM Curran,KKR,5,0
Shahbaz Ahmed,LSG,5,0
PD Salt,RCB,5,0
S Dube,RR,5,0
DS Rathi,KKR,5,0
RG Sharma,PBKS,5,0
RA Jadeja,DC,5,1
Sandeep Sharma,RR,5,2
Abishek Porel,DC,5,0
Ramandeep Singh,LSG,5,0
RR Rossouw,MI,4,0
M Jansen,GT,4,0
KA Pollard,CSK,4,1
RR Pant,RR,4,0
PWH de Silva,DC,4,0
JC Archer,LSG,4,0
RM Patidar,RR,4,2
WG Jacks,LSG,4,0
Swapnil Singh,RR,4,0
AK Markram,SRH,4,1
TM Head,CSK,4,1
RD Gaikwad,RCB,4,1
Tilak Varma,CSK,4,1
BM Duckett,SRH,4,0
V Kohli,DC,4,1
BA Stokes,LSG,4,0
Shashank Singh,PBKS,4,0
Abhishek Sharma,MI,4,0
Akash Deep,SRH,4,0
VR Iyer,SRH,4,0
Naman Dhir,GT,4,1
P Simran Singh,SRH,3,0
MG Bracewell,DC,3,0
R Powell,KKR,3,0
RA Bawa,KKR,3,0
MK Lomror,SRH,3,0
RK Singh,RCB,3,0
Rashid Khan,GT,3,0
A Kamboj,RR,3,0
PP Shaw,MI,3,0
Ashutosh Sharma,RCB,3,0
Azmatullah Omarzai,RR,3,0
B Kumar,KKR,3,1
AR Patel,CSK,3,0
M Pathirana,RCB,3,0
CV Varun,PBKS,3,0
DA Miller,RR,3,0
T Stubbs,CSK,3,0
Aryan Juyal,LSG,3,0
F du Plessis,CSK,3,0
H Klaasen,PBKS,3,0
A Zampa,SRH,3,2
J Fraser-McGurk,RCB,3,0
Jagjit Singh,CSK,3,0
Jay Gohil,MI,3,0
Washington Sundar,PBKS,2,0
Priyansh Arya,SRH,2,0
YS Chahal,RCB,2,0
Ravi Bishnoi,PBKS,2,0
R Parag,GT,2,0
R Sai Kishore,GT,2,0
V Nigam,GT,2,0
T Natarajan,CSK,2,0
Shakib Al Hasan,PBKS,2,2
SH Johnson,SRH,2,0
Tanush Kotian,SRH,2,0
Mohsin Khan,RCB,2,0
JJ Bumrah,MI,2,1
Mayank Dagar,RR,2,0
K Rabada,MI,2,0
C Sakariya,SRH,2,0
M Siddharth,CSK,2,0
C Green,RCB,2,1
DJ Hooda,GT,2,1
DL Chahar,DC,2,0
MP Stoinis,PBKS,2,0
MP Yadav,CSK,2,0
B Sai Sudharsan,RCB,2,1
FH Allen,MI,2,0
Mohammad Nabi,GT,2,0
Ayush Mhatre,KKR,2,0
A Nortje,RCB,2,0
Mustafizur Rahman,DC,2,1
N Sindhu,DC,2,0
Arshdeep Singh,LSG,2,1
AD Russell,DC,2,0
TH David,LSG,1,0
Suyash Sharma,MI,1,0
Fazalhaq Farooqi,CSK,1,0
Smaran Ravichandran,PBKS,1,1
TA Boult,MI,1,0
BJ McMullen,DC,1,0
DG Nalkande,RCB,1,0
TU Deshpande,RR,1,0
Bhanu Pania,MI,1,0
GD Phillips,RR,1,0
VG Arora,KKR,1,0
Vaibhav Suryavanshi,PBKS,1,0
Arslan Khan,MI,1,0
AM Rahane,KKR,1,0
Sikandar Raza,DC,1,0
PP Chawla,RR,1,0
GF Linde,RR,1,1
Harshit Rana,SRH,1,0
R Ahir,MI,1,0
Noor Ahmad,KKR,1,0
N Wadhera,RR,1,0
N Rana,KKR,1,1
Mukesh Kumar,GT,1,0
Mohammed Siraj,RCB,1,0
RK Bhui,RCB,1,0
MR Marsh,DC,1,0
MA Starc,KKR,1,0
M Theekshana,MI,1,0
Rasikh Salam,GT,1,0
M Prasidh Krishna,DC,1,0
M Markande,PBKS,1,1
LH Ferguson,GT,1,0
Kuldeep Yadav,SRH,1,0
SP Narine,LSG,1,0
JR Hazlewood,RR,1,0
SZ Mulani,MI,1,0
PJ Cummins,PBKS,1,0
Sanvir Singh,SRH,1,0
I Sharma,GT,1,0
Yash Dayal,LSG,1,0
D Brevis,PBKS,0,1
JP Inglis,GT,0,1
MJ Suthar,LSG,0,1
Mohammed Shami,PBKS,0,1
N Burger,PBKS,0,1
Ravi Teja,LSG,0,2
Sameer Rizvi,LSG,0,1
