player,team,points
GJ Maxwell,RR,1319
N Pooran,MI,955
KL Rahul,SRH,855
RD Rickelton,RR,837
BM Duckett,SRH,833
V Kohli,DC,830
SA Yadav,DC,820
Abhishek Sharma,MI,816
DP Conway,GT,793
RD Gaikwad,RCB,761
Naman Dhir,GT,760
SS Iyer,LSG,742
SV Samson,GT,739
AK Markram,SRH,734
S Dube,RR,721
PD Salt,RCB,705
Shubman Gill,LSG,701
Washington Sundar,PBKS,695
PP Shaw,MI,686
P Simran Singh,SRH,683
AM Rahane,KKR,673
YBK Jaiswal,RR,628
Abishek Porel,DC,619
JC Buttler,KKR,612
Tilak Varma,CSK,596
RM Patidar,RR,584
SP Narine,LSG,582
TM Head,CSK,573
Q de Kock,PBKS,556
VR Iyer,SRH,529
MP Yadav,CSK,519
JC Archer,LSG,512
Smaran Ravichandran,PBKS,511
Ishan Kishan,KKR,504
N Sindhu,DC,482
F du Plessis,CSK,482
B Kumar,KKR,477
JJ Bumrah,MI,474
T Stubbs,CSK,464
RR Rossouw,MI,456
H Klaasen,PBKS,455
MA Starc,KKR,452
M Pathirana,RCB,449
LS Livingstone,SRH,449
R Powell,KKR,446
SM Curran,KKR,433
B Sai Sudharsan,RCB,417
Mohammad Nabi,GT,415
A Zampa,SRH,411
Rashid Khan,GT,405
RK Singh,RCB,401
AR Patel,CSK,400
RG Sharma,PBKS,396
AD Russell,DC,396
Urvil Patel,DC,390
RA Jadeja,DC,386
BA Stokes,LSG,381
Mayank Dagar,RR,378
WG Jacks,LSG,370
Mustafizur Rahman,DC,359
Swapnil Singh,RR,359
Suryansh Shedge,CSK,356
Rasikh Salam,GT,352
HH Pandya,MI,342
Shashank Singh,PBKS,341
Shakib Al Hasan,PBKS,333
KA Pollard,CSK,330
MG Bracewell,DC,325
R Parag,GT,313
Arshdeep Singh,LSG,312
Kuldeep Yadav,SRH,304
Fazalhaq Farooqi,CSK,304
Sikandar Raza,DC,299
JP Inglis,GT,298
DS Rathi,KKR,297
C Green,RCB,295
JR Hazlewood,RR,283
Harpreet Brar,RCB,280
Shahbaz Ahmed,LSG,279
N Rana,KKR,267
TA Boult,MI,264
M Markande,PBKS,251
JM Sharma,RCB,248
J Fraser-McGurk,RCB,247
M Prasidh Krishna,DC,244
R Ashwin,KKR,241
KH Pandya,SRH,239
R Sai Kishore,GT,236
I Sharma,GT,235
V Puthur,LSG,232
MP Stoinis,PBKS,227
SH Johnson,SRH,220
Priyansh Arya,SRH,217
A Nortje,RCB,216
FH Allen,MI,209
Ramandeep Singh,LSG,206
Mujeeb Ur Rahman,RCB,200
Ravi Teja,LSG,200
Sandeep Sharma,RR,199
MR Marsh,DC,199
Nithish Kumar Reddy,GT,188
Mohsin Khan,RCB,188
Jay Gohil,MI,184
BJ McMullen,DC,175
Jagjit Singh,CSK,173
A Kamboj,RR,170
GF Linde,RR,169
Dhruv Jurel,LSG,168
CV Varun,PBKS,165
Mohammed Shami,PBKS,163
MS Dhoni,CSK,160
M Siddharth,CSK,157
HV Patel,PBKS,157
M Jansen,GT,154
Ashutosh Sharma,RCB,152
Tanush Kotian,SRH,148
M Theekshana,MI,147
YS Chahal,RCB,136
PWH de Silva,DC,136
Sameer Rizvi,LSG,129
K Rabada,MI,129
Akash Deep,SRH,127
RA Bawa,KKR,122
Ravi Bishnoi,PBKS,116
D Brevis,PBKS,112
SS Ghosh,MI,108
MK Lomror,SRH,104
V Nigam,GT,104
PJ Cummins,PBKS,102
Naveen-ul-Haq,SRH,101
Azmatullah Omarzai,RR,101
NT Ellis,LSG,101
Cheepurapalli Stephen,DC,98
AS Roy,LSG,96
Sanvir Singh,SRH,95
DJ Hooda,GT,94
Mohammed Siraj,RCB,91
Yash Dayal,LSG,90
T Natarajan,CSK,89
JD Unadkat,RR,89
C Sakariya,SRH,87
Suyash Sharma,MI,84
R Tewatia,SRH,75
SZ Mulani,MI,72
MK Pandey,KKR,71
PP Chawla,RR,70
VG Arora,KKR,69
MA Agarwal,KKR,63
KK Ahmed,GT,63
GD Phillips,RR,62
Mukesh Kumar,GT,59
DA Miller,RR,57
Anmolpreet Singh,CSK,54
TH David,LSG,48
RA Tripathi,PBKS,47
SN Thakur,DC,46
Noor Ahmad,KKR,44
LH Ferguson,GT,44
DA Warner,DC,42
Arslan Khan,MI,41
J Overton,KKR,40
Imran Tahir,MI,36
TU Deshpande,RR,35
SB Dubey,GT,34
Ayush Mhatre,KKR,33
Abdul Samad,LSG,33
JG Bethell,SRH,32
S Gopal,DC,31
RR Pant,RR,31
RD Chahar,RCB,31
SE Rutherford,LSG,28
RK Bhui,RCB,28
Yash Thakur,PBKS,27
N Burger,PBKS,27
RS Hangargekar,MI,26
V Kaverappa,SRH,25
Umran Malik,RCB,24
Avesh Khan,PBKS,24
A Badoni,SRH,24
JE Root,GT,23
SK Rasheed,PBKS,20
MJ Santner,PBKS,19
DL Chahar,DC,18
Mohammad Ghazanfar,CSK,14
Aryan Juyal,LSG,13
D Padikkal,KKR,10
R Ahir,MI,9
N Wadhera,RR,8
Salman Nizar,MI,8
Harshit Rana,SRH,7
D Ferreira,SRH,7
KD Karthik,CSK,5
Vaibhav Suryavanshi,PBKS,2
K Kartikeya,GT,0
MJ Suthar,LSG,0
IC Porel,SRH,-1
SO Hetmyer,RCB,-3
DG Nalkande,RCB,-4
KV Sharma,MI,-5
PN Mankad,SRH,-5
Bhanu Pania,MI,-6
YV Dhull,LSG,-6
Pardeep Yadav,MI,-6
M Shahrukh Khan,KKR,-12
MM Ali,RCB,-12
