team,highest_batting_total,best_bowling_performance
CSK,205-4 (120) vs PBKS in S02M027,163-9 (120) vs RCB in S02M016
DC,234-6 (120) vs GT in S02M028,141-10 (120) vs KKR in S02M064
GT,232-3 (120) vs DC in S02M028,148-10 (106) vs RCB in S02M037
KKR,199-4 (120) vs MI in S02M019,151-10 (117) vs LSG in S02M035
LSG,207-5 (111) vs GT in S02M069,178-10 (111) vs KKR in S02M004
MI,208-4 (120) vs DC in S02M058,159-9 (120) vs CSK in S02M044
PBKS,198-5 (120) vs CSK in S02M027,124-9 (120) vs CSK in S02M001
RCB,221-4 (120) vs RR in S02M031,146-10 (111) vs KKR in S02M046
RR,229-3 (109) vs DC in S02M054,110-10 (94) vs MI in S02M015
SRH,222-4 (120) vs DC in S02M002,134-10 (107) vs RCB in S02M026
