bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
AK Markram,SRH,13,3,216,9.89,0
M Pathirana,RCB,13,3,303,9.52,0
JJ Bumrah,MI,15,3,336,9.45,0
SH Johnson,SRH,5,2,90,8.4,0
MR Marsh,DC,6,2,131,12.37,0
Rasikh Salam,GT,8,2,163,9.5,0
A Zampa,SRH,10,2,206,7.34,0
M Markande,PBKS,9,2,210,7.91,0
Mustafizur Rahman,DC,10,2,228,9.24,0
RA Jadeja,DC,11,2,240,9.85,0
Arshdeep Singh,LSG,11,2,246,8.68,0
JC Archer,LSG,11,2,248,9.24,1
Washington Sundar,PBKS,11,2,252,8.31,0
Mayank Dagar,RR,11,2,263,8.12,0
Kuldeep Yadav,SRH,11,2,263,8.6,0
MP Yadav,CSK,12,2,266,8.57,0
B Kumar,KKR,14,2,313,10.29,0
Naman Dhir,GT,3,1,54,9.56,0
SS Ghosh,MI,3,1,72,9.17,0
Mohsin Khan,RCB,4,1,88,9.14,0
V Nigam,GT,4,1,94,10.91,0
Fazalhaq Farooqi,CSK,5,1,120,7.7,1
Mujeeb Ur Rahman,RCB,5,1,120,8.9,0
I Sharma,GT,5,1,120,9.05,0
Ravi Teja,LSG,5,1,120,9.35,0
M Theekshana,MI,6,1,120,9.8,0
K Rabada,MI,5,1,120,9.9,0
Shahbaz Ahmed,LSG,7,1,156,10.15,0
A Kamboj,RR,7,1,162,10.37,0
LS Livingstone,SRH,11,1,163,10.45,0
Shakib Al Hasan,PBKS,9,1,168,8.04,0
A Nortje,RCB,8,1,171,8.49,0
SP Narine,LSG,9,1,193,8.95,0
JR Hazlewood,RR,10,1,210,9.63,1
TA Boult,MI,10,1,227,8.25,0
Mohammad Nabi,GT,10,1,234,8.38,0
Swapnil Singh,RR,13,1,274,9.48,0
Rashid Khan,GT,12,1,276,9.24,0
MA Starc,KKR,13,1,276,10.52,0
DS Rathi,KKR,12,1,288,8.46,0
M Prasidh Krishna,DC,12,1,288,8.54,0
SM Curran,KKR,12,1,288,9.79,0
GJ Maxwell,RR,16,1,298,9.52,0
