bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
JJ Bumrah,MI,15,18,336,18.67,28.12
MP Yadav,CSK,12,19,266,14.0,26.76
M Pathirana,RCB,13,18,303,16.83,26.09
B Kumar,KKR,14,20,313,15.65,25.64
MA Starc,KKR,13,19,276,14.53,24.36
Washington Sundar,PBKS,11,17,252,14.82,22.37
JC Archer,LSG,11,19,248,13.05,21.59
AK Markram,SRH,13,20,216,10.8,19.42
Mustafizur Rahman,DC,10,14,228,16.29,17.95
SM Curran,KKR,12,14,288,20.57,17.95
RA Jadeja,DC,11,14,240,17.14,17.95
Mohammad Nabi,GT,10,15,234,15.6,17.24
Rashid Khan,GT,12,15,276,18.4,17.24
Mayank Dagar,RR,11,14,263,18.79,15.91
Fazalhaq Farooqi,CSK,5,11,120,10.91,15.49
Suryansh Shedge,CSK,14,11,319,29.0,15.49
Rasikh Salam,GT,8,13,163,12.54,14.94
Swapnil Singh,RR,13,13,274,21.08,14.77
A Zampa,SRH,10,15,206,13.73,14.56
DS Rathi,KKR,12,11,288,26.18,14.1
TA Boult,MI,10,9,227,25.22,14.06
HH Pandya,MI,14,9,292,32.44,14.06
Shakib Al Hasan,PBKS,9,10,168,16.8,13.16
Harpreet Brar,RCB,8,9,192,21.33,13.04
AR Patel,CSK,14,9,333,37.0,12.68
Arshdeep Singh,LSG,11,11,246,22.36,12.5
GJ Maxwell,RR,16,11,298,27.09,12.5
M Markande,PBKS,9,9,210,23.33,11.84
Mujeeb Ur Rahman,RCB,5,8,120,15.0,11.59
A Nortje,RCB,8,8,171,21.38,11.59
MG Bracewell,DC,9,9,186,20.67,11.54
M Prasidh Krishna,DC,12,9,288,32.0,11.54
Shahbaz Ahmed,LSG,7,10,156,15.6,11.36
JR Hazlewood,RR,10,10,210,21.0,11.36
Kuldeep Yadav,SRH,11,11,263,23.91,10.68
R Sai Kishore,GT,8,9,180,20.0,10.34
I Sharma,GT,5,9,120,13.33,10.34
MR Marsh,DC,6,8,131,16.38,10.26
V Puthur,LSG,5,9,108,12.0,10.23
Mohsin Khan,RCB,4,7,88,12.57,10.14
LS Livingstone,SRH,11,10,163,16.3,9.71
M Theekshana,MI,6,6,120,20.0,9.38
CV Varun,PBKS,7,7,142,20.29,9.21
SP Narine,LSG,9,8,193,24.12,9.09
Ravi Teja,LSG,5,8,120,15.0,9.09
Sandeep Sharma,RR,13,8,282,35.25,9.09
R Ashwin,KKR,11,7,257,36.71,8.97
Jagjit Singh,CSK,7,6,162,27.0,8.45
A Kamboj,RR,7,7,162,23.14,7.95
