striker,batting_team,num_innings,strike_rate,runs,outs
Jay Gohil,MI,8,206.56,126,5
Ramandeep Singh,LSG,7,186.76,127,3
Priyansh Arya,SRH,4,184.88,159,4
GJ Maxwell,RR,17,184.45,771,12
Shashank Singh,PBKS,12,184.21,210,9
JM Sharma,RCB,10,183.67,180,4
Abishek Porel,DC,14,181.96,464,11
AD Russell,DC,9,181.9,211,3
Suryansh Shedge,CSK,6,180.65,56,5
DJ Hooda,GT,5,179.41,61,4
YBK Jaiswal,RR,17,176.12,472,11
N Sindhu,DC,13,176.1,361,12
RA Bawa,KKR,7,176.0,88,5
SA Yadav,DC,16,174.93,621,12
R Powell,KKR,13,173.06,334,9
Smaran Ravichandran,PBKS,11,170.18,388,9
Abhishek Sharma,MI,15,169.67,565,11
Sameer Rizvi,LSG,3,168.42,96,2
SP Narine,LSG,8,168.26,281,6
BM Duckett,SRH,11,167.61,652,9
N Pooran,MI,14,166.82,724,9
V Kohli,DC,15,166.67,640,12
PD Salt,RCB,13,165.43,536,13
Naman Dhir,GT,13,164.95,513,8
JP Inglis,GT,7,162.94,233,4
J Fraser-McGurk,RCB,5,162.5,195,5
S Dube,RR,15,162.31,534,11
Tilak Varma,CSK,14,162.24,464,12
FH Allen,MI,8,161.76,165,8
JC Buttler,KKR,14,161.54,483,14
DP Conway,GT,14,160.62,620,14
RR Rossouw,MI,11,160.36,356,9
Dhruv Jurel,LSG,7,160.0,120,3
KL Rahul,SRH,15,159.57,667,6
RD Rickelton,RR,17,159.51,646,17
SS Iyer,LSG,14,159.35,588,13
RD Gaikwad,RCB,14,158.99,601,13
T Stubbs,CSK,8,158.93,356,6
Q de Kock,PBKS,13,158.67,430,12
Shubman Gill,LSG,14,157.99,534,12
P Simran Singh,SRH,16,157.78,527,16
RK Singh,RCB,13,156.63,307,7
C Green,RCB,8,156.45,194,4
WG Jacks,LSG,11,155.86,226,10
SV Samson,GT,14,155.7,587,13
KA Pollard,CSK,11,154.55,238,5
H Klaasen,PBKS,14,153.78,346,8
Ishan Kishan,KKR,14,152.49,398,14
VR Iyer,SRH,13,151.92,395,7
MG Bracewell,DC,6,151.92,79,5
R Parag,GT,12,151.85,205,5
PP Shaw,MI,15,150.41,546,14
Sikandar Raza,DC,6,148.18,163,5
Urvil Patel,DC,15,147.66,316,11
AK Markram,SRH,9,146.96,169,5
AM Rahane,KKR,14,145.92,537,12
RM Patidar,RR,17,145.91,464,15
TM Head,CSK,14,145.54,457,13
MK Lomror,SRH,5,140.68,83,2
B Sai Sudharsan,RCB,12,139.84,344,11
RG Sharma,PBKS,14,139.66,331,13
HH Pandya,MI,12,139.24,110,8
Nithish Kumar Reddy,GT,10,138.26,159,7
MS Dhoni,CSK,9,137.11,133,6
MP Stoinis,PBKS,8,136.43,176,8
BA Stokes,LSG,12,135.63,236,10
BJ McMullen,DC,4,135.14,150,4
N Rana,KKR,9,133.73,222,7
PJ Cummins,PBKS,5,132.56,57,2
Washington Sundar,PBKS,9,131.13,198,7
LS Livingstone,SRH,9,129.71,179,9
MA Agarwal,KKR,3,126.67,57,3
AR Patel,CSK,10,126.4,158,6
Ashutosh Sharma,RCB,4,126.09,58,3
F du Plessis,CSK,14,124.25,415,13
D Brevis,PBKS,4,120.24,101,4
Shakib Al Hasan,PBKS,5,119.57,55,3
DA Miller,RR,5,109.8,56,3
MK Pandey,KKR,3,107.14,60,3
SM Curran,KKR,11,102.78,74,5
