Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2025-04-05,1,PBKS,CSK,PBKS,M Markande (PBKS) -> 2-16 (4.0),F du Plessis (CSK) -> 46 off 48,M Markande (PBKS) -> 2-16 (4.0),PBKS 181-5 (20.0) beat CSK 124-9 (20.0) by 57 runs!,4.5/10
2025-04-05,2,SRH,DC,SRH,BM Duckett (SRH) -> 80 off 43,BM Duckett (SRH) -> 80 off 43,Cheepurapalli Stephen (DC) -> 2-36 (4.0),SRH 222-4 (20.0) beat DC 198-3 (20.0) by 24 runs!,5.1/10
2025-04-06,3,MI,RCB,RCB,PD Salt (RCB) -> 89 off 58,PD Salt (RCB) -> 89 off 58,Ashutosh Sharma (RCB) -> 1-14 (1.0),RCB 189-3 (19.0) beat MI 188-4 (20.0) by 7 wickets!,8.7/10
2025-04-06,4,LSG,KKR,LSG,Ishan Kishan (KKR) -> 89 off 51,Ishan Kishan (KKR) -> 89 off 51,SP Narine (LSG) -> 3-28 (4.0),LSG 188-6 (20.0) beat KKR 178-10 (18.3) by 10 runs!,7.6/10
2025-04-07,5,GT,RR,RR,RD Rickelton (RR) -> 92 off 64,RD Rickelton (RR) -> 92 off 64,PP Chawla (RR) -> 2-35 (4.0),RR 188-3 (20.0) beat GT 174-4 (20.0) by 14 runs!,6.9/10
2025-04-07,6,DC,CSK,DC,V Kohli (DC) -> 103* off 58,V Kohli (DC) -> 103* off 58,MP Yadav (CSK) -> 4-29 (4.0),DC 196-5 (19.1) beat CSK 192-6 (20.0) by 5 wickets!,8.4/10
2025-04-08,7,RCB,SRH,RCB,RD Gaikwad (RCB) -> 78 off 40,KL Rahul (SRH) -> 78 off 40,A Nortje (RCB) -> 2-24 (4.0),RCB 198-3 (20.0) beat SRH 178-6 (20.0) by 20 runs!,6.1/10
2025-04-08,8,MI,PBKS,MI,SS Ghosh (MI) -> 4-30 (4.0),RR Rossouw (MI) -> 66* off 32,SS Ghosh (MI) -> 4-30 (4.0),MI 196-5 (20.0) beat PBKS 171-9 (20.0) by 25 runs!,5.1/10
2025-04-09,9,LSG,GT,GT,DP Conway (GT) -> 117 off 62,DP Conway (GT) -> 117 off 62,Mukesh Kumar (GT) -> 2-25 (4.0),GT 200-3 (20.0) beat LSG 157-8 (20.0) by 43 runs!,5.1/10
2025-04-09,10,RR,KKR,KKR,GJ Maxwell (RR) -> 18 off 12 ; 3-23 (4.0),JC Buttler (KKR) -> 68 off 34,A Kamboj (RR) -> 3-14 (4.0),KKR 161-6 (18.4) beat RR 160-9 (20.0) by 4 wickets!,5.8/10
2025-04-10,11,RCB,DC,DC,V Kohli (DC) -> 81* off 44,V Kohli (DC) -> 81* off 44,MR Marsh (DC) -> 3-31 (3.0),DC 196-5 (20.0) beat RCB 189-6 (20.0) by 7 runs!,7.6/10
2025-04-10,12,CSK,SRH,CSK,VR Iyer (SRH) -> 82* off 56,VR Iyer (SRH) -> 82* off 56,SH Johnson (SRH) -> 3-34 (4.0),CSK 171-4 (19.5) beat SRH 168-6 (20.0) by 6 wickets!,8.7/10
2025-04-11,13,PBKS,LSG,PBKS,Shubman Gill (LSG) -> 90* off 54,Shubman Gill (LSG) -> 90* off 54,M Markande (PBKS) -> 3-26 (4.0),PBKS 162-3 (17.0) beat LSG 157-8 (20.0) by 7 wickets!,6.6/10
2025-04-11,14,KKR,GT,KKR,SM Curran (KKR) -> 3* off 4 ; 4-33 (4.0),Ishan Kishan (KKR) -> 51 off 33,SM Curran (KKR) -> 4-33 (4.0),KKR 162-5 (18.1) beat GT 161-10 (19.1) by 5 wickets!,6.3/10
2025-04-12,15,RR,MI,RR,Mayank Dagar (RR) -> 4-27 (4.0),RM Patidar (RR) -> 46* off 32,Mayank Dagar (RR) -> 4-27 (4.0),RR 114-2 (11.5) beat MI 110-10 (15.4) by 8 wickets!,3.5/10
2025-04-12,16,RCB,CSK,CSK,Tilak Varma (CSK) -> 93* off 53 ; 0-2 (1.0),Tilak Varma (CSK) -> 93* off 53,AR Patel (CSK) -> 2-22 (4.0),CSK 172-5 (20.0) beat RCB 163-9 (20.0) by 9 runs!,7.1/10
2025-04-13,17,PBKS,DC,PBKS,M Markande (PBKS) -> 3-24 (4.0),Q de Kock (PBKS) -> 65 off 48,Washington Sundar (PBKS) -> 3-21 (4.0),PBKS 178-3 (20.0) beat DC 177-7 (20.0) by 7 wickets!,9.1/10
2025-04-13,18,GT,SRH,SRH,Rasikh Salam (GT) -> 6 off 2 ; 4-21 (3.0),P Simran Singh (SRH) -> 63 off 35,Rasikh Salam (GT) -> 4-21 (3.0),SRH 150-6 (16.5) beat GT 149-10 (18.4) by 4 wickets!,4.8/10
2025-04-14,19,MI,KKR,MI,N Pooran (MI) -> 89* off 44,Abhishek Sharma (MI) -> 92* off 51,TA Boult (MI) -> 2-39 (4.0),MI 200-2 (17.3) beat KKR 199-4 (20.0) by 8 wickets!,6.4/10
