striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
N Pooran,MI,14,7,724,166.82,0
KL Rahul,SRH,15,7,667,159.57,0
GJ Maxwell,RR,17,6,771,184.45,1
BM Duckett,SRH,11,6,652,167.61,1
SA Yadav,DC,16,6,621,174.93,0
RD Gaikwad,RCB,14,6,601,158.99,0
SV Samson,GT,14,6,587,155.7,0
V Kohli,DC,15,5,640,166.67,1
DP Conway,GT,14,5,620,160.62,1
SS Iyer,LSG,14,5,588,159.35,0
Abhishek Sharma,MI,15,5,565,169.67,0
PP Shaw,MI,15,5,546,150.41,0
AM Rahane,KKR,14,5,537,145.92,1
Naman Dhir,GT,13,5,513,164.95,0
JC Buttler,KKR,14,5,483,161.54,0
Tilak Varma,CSK,14,5,464,162.24,0
RR Rossouw,MI,11,5,356,160.36,0
RD Rickelton,RR,17,4,646,159.51,0
PD Salt,RCB,13,4,536,165.43,0
Shubman Gill,LSG,14,4,534,157.99,1
TM Head,CSK,14,4,457,145.54,0
Q de Kock,PBKS,13,4,430,158.67,0
F du Plessis,CSK,14,4,415,124.25,1
T Stubbs,CSK,8,4,356,158.93,0
S Dube,RR,15,3,534,162.31,0
P Simran Singh,SRH,16,3,527,157.78,0
YBK Jaiswal,RR,17,3,472,176.12,0
Abishek Porel,DC,14,3,464,181.96,0
Smaran Ravichandran,PBKS,11,3,388,170.18,0
RM Patidar,RR,17,2,464,145.91,0
Ishan Kishan,KKR,14,2,398,152.49,0
VR Iyer,SRH,13,2,395,151.92,0
N Sindhu,DC,13,2,361,176.1,0
H Klaasen,PBKS,14,2,346,153.78,0
B Sai Sudharsan,RCB,12,2,344,139.84,0
SP Narine,LSG,8,2,281,168.26,0
BA Stokes,LSG,12,2,236,135.63,0
JP Inglis,GT,7,2,233,162.94,0
N Rana,KKR,9,2,222,133.73,0
J Fraser-McGurk,RCB,5,2,195,162.5,0
Priyansh Arya,SRH,4,2,159,184.88,0
R Powell,KKR,13,1,334,173.06,0
RG Sharma,PBKS,14,1,331,139.66,0
Urvil Patel,DC,15,1,316,147.66,0
RK Singh,RCB,13,1,307,156.63,0
KA Pollard,CSK,11,1,238,154.55,0
WG Jacks,LSG,11,1,226,155.86,0
Shashank Singh,PBKS,12,1,210,184.21,0
R Parag,GT,12,1,205,151.85,0
Washington Sundar,PBKS,9,1,198,131.13,0
JM Sharma,RCB,10,1,180,183.67,0
FH Allen,MI,8,1,165,161.76,0
Dhruv Jurel,LSG,7,1,120,160.0,0
D Brevis,PBKS,4,1,101,120.24,0
MK Lomror,SRH,5,1,83,140.68,0
