bowler,bowling_team,num_innings,economy,balls,wkts
WG Jacks,LSG,4,6.89,54,3
A Zampa,SRH,10,7.34,206,15
Ravi Bishnoi,PBKS,8,7.41,192,4
C Sakariya,SRH,5,7.63,114,3
Fazalhaq Farooqi,CSK,5,7.7,120,11
M Markande,PBKS,9,7.91,210,9
Shakib Al Hasan,PBKS,9,8.04,168,10
M Siddharth,CSK,5,8.1,120,5
Mayank Dagar,RR,11,8.12,263,14
Sikandar Raza,DC,8,8.16,186,3
TA Boult,MI,10,8.25,227,9
Washington Sundar,PBKS,11,8.31,252,17
R Sai Kishore,GT,8,8.33,180,9
Mohammad Nabi,GT,10,8.38,234,15
GF Linde,RR,7,8.38,156,5
SH Johnson,SRH,5,8.4,90,7
DS Rathi,KKR,12,8.46,288,11
A Nortje,RCB,8,8.49,171,8
Akash Deep,SRH,6,8.52,143,5
Suryansh Shedge,CSK,14,8.54,319,11
M Prasidh Krishna,DC,12,8.54,288,9
MP Yadav,CSK,12,8.57,266,19
BA Stokes,LSG,8,8.59,174,4
Kuldeep Yadav,SRH,11,8.6,263,11
R Ashwin,KKR,11,8.61,257,7
S Gopal,DC,3,8.67,72,1
Arshdeep Singh,LSG,11,8.68,246,11
AS Roy,LSG,5,8.73,90,2
Sanvir Singh,SRH,2,8.8,30,2
Suyash Sharma,MI,13,8.84,294,3
Mohammed Shami,PBKS,6,8.86,132,6
Mujeeb Ur Rahman,RCB,5,8.9,120,8
SP Narine,LSG,9,8.95,193,8
Yash Thakur,PBKS,2,9.0,48,1
DG Nalkande,RCB,1,9.0,24,0
I Sharma,GT,5,9.05,120,9
Mohammed Siraj,RCB,8,9.12,156,3
M Jansen,GT,8,9.12,150,5
Mohsin Khan,RCB,4,9.14,88,7
VG Arora,KKR,5,9.15,120,2
SS Ghosh,MI,3,9.17,72,4
CV Varun,PBKS,7,9.21,142,7
Naveen-ul-Haq,SRH,3,9.21,58,4
Rashid Khan,GT,12,9.24,276,15
JC Archer,LSG,11,9.24,248,19
Mustafizur Rahman,DC,10,9.24,228,14
YS Chahal,RCB,11,9.25,260,5
N Burger,PBKS,1,9.25,24,1
PWH de Silva,DC,6,9.29,126,4
AR Patel,CSK,14,9.33,333,9
Ravi Teja,LSG,5,9.35,120,8
HV Patel,PBKS,6,9.37,137,6
SZ Mulani,MI,3,9.42,72,3
RD Chahar,RCB,3,9.42,72,1
Harpreet Brar,RCB,8,9.44,192,9
JJ Bumrah,MI,15,9.45,336,18
NT Ellis,LSG,3,9.45,66,4
Swapnil Singh,RR,13,9.48,274,13
Rasikh Salam,GT,8,9.5,163,13
RS Hangargekar,MI,1,9.5,24,1
VR Iyer,SRH,2,9.5,24,1
M Pathirana,RCB,13,9.52,303,18
GJ Maxwell,RR,16,9.52,298,11
Naman Dhir,GT,3,9.56,54,4
Mukesh Kumar,GT,4,9.6,60,3
MJ Suthar,LSG,2,9.62,48,0
JR Hazlewood,RR,10,9.63,210,10
Abhishek Sharma,MI,5,9.71,84,3
MM Ali,RCB,2,9.75,48,0
Jagjit Singh,CSK,7,9.78,162,6
SM Curran,KKR,12,9.79,288,14
M Theekshana,MI,6,9.8,120,6
Mohammad Ghazanfar,CSK,3,9.8,60,1
IC Porel,SRH,2,9.83,36,0
RA Jadeja,DC,11,9.85,240,14
Cheepurapalli Stephen,DC,7,9.85,156,4
MP Stoinis,PBKS,8,9.86,129,1
AK Markram,SRH,13,9.89,216,20
K Rabada,MI,5,9.9,120,5
Sandeep Sharma,RR,13,9.98,282,8
HH Pandya,MI,14,9.99,292,9
Ashutosh Sharma,RCB,7,10.0,78,4
A Badoni,SRH,2,10.0,24,1
MG Bracewell,DC,9,10.03,186,9
C Green,RCB,5,10.06,102,2
SN Thakur,DC,2,10.14,42,2
Shahbaz Ahmed,LSG,7,10.15,156,10
JD Unadkat,RR,3,10.17,72,3
R Parag,GT,4,10.18,66,2
B Kumar,KKR,14,10.29,313,20
Tilak Varma,CSK,4,10.29,42,0
V Puthur,LSG,5,10.33,108,9
Tanush Kotian,SRH,5,10.35,102,6
A Kamboj,RR,7,10.37,162,7
KH Pandya,SRH,9,10.42,216,8
R Tewatia,SRH,3,10.44,54,3
LS Livingstone,SRH,11,10.45,163,10
TU Deshpande,RR,2,10.5,48,1
Umran Malik,RCB,1,10.5,24,1
MA Starc,KKR,13,10.52,276,19
Avesh Khan,PBKS,2,10.57,42,1
Yash Dayal,LSG,5,10.59,119,4
AD Russell,DC,11,10.61,151,5
Noor Ahmad,KKR,2,10.62,48,1
PP Chawla,RR,3,10.8,60,3
T Natarajan,CSK,9,10.84,192,3
V Nigam,GT,4,10.91,94,4
KK Ahmed,GT,6,10.99,125,3
Imran Tahir,MI,3,11.0,66,2
J Overton,KKR,2,11.0,42,1
GD Phillips,RR,2,11.0,36,3
MJ Santner,PBKS,1,11.25,24,1
Azmatullah Omarzai,RR,6,11.26,114,3
LH Ferguson,GT,3,11.57,69,2
PJ Cummins,PBKS,5,11.82,102,2
Harshit Rana,SRH,3,11.82,66,0
DL Chahar,DC,3,12.25,72,1
JG Bethell,SRH,3,12.25,48,1
MR Marsh,DC,6,12.37,131,8
KV Sharma,MI,1,12.75,24,0
