striker,batting_team,num_innings,fours,runs,strike_rate
DP Conway,GT,14,65,620,160.62
GJ Maxwell,RR,17,61,771,184.45
PP Shaw,MI,15,59,546,150.41
N Pooran,MI,14,57,724,166.82
SA Yadav,DC,16,55,621,174.93
KL Rahul,SRH,15,55,667,159.57
RD Gaikwad,RCB,14,55,601,158.99
Abhishek Sharma,MI,15,54,565,169.67
V Kohli,DC,15,53,640,166.67
RD Rickelton,RR,17,53,646,159.51
PD Salt,RCB,13,51,536,165.43
JC Buttler,KKR,14,51,483,161.54
SV Samson,GT,14,51,587,155.7
TM Head,CSK,14,50,457,145.54
BM Duckett,SRH,11,48,652,167.61
SS Iyer,LSG,14,48,588,159.35
AM Rahane,KKR,14,47,537,145.92
Tilak Varma,CSK,14,46,464,162.24
Shubman Gill,LSG,14,46,534,157.99
P Simran Singh,SRH,16,45,527,157.78
Ishan Kishan,KKR,14,41,398,152.49
S Dube,RR,15,39,534,162.31
VR Iyer,SRH,13,39,395,151.92
Abishek Porel,DC,14,38,464,181.96
YBK Jaiswal,RR,17,38,472,176.12
RM Patidar,RR,17,38,464,145.91
Naman Dhir,GT,13,35,513,164.95
RG Sharma,PBKS,14,34,331,139.66
Q de Kock,PBKS,13,33,430,158.67
N Sindhu,DC,13,28,361,176.1
RR Rossouw,MI,11,28,356,160.36
H Klaasen,PBKS,14,28,346,153.78
Smaran Ravichandran,PBKS,11,27,388,170.18
F du Plessis,CSK,14,27,415,124.25
T Stubbs,CSK,8,26,356,158.93
R Powell,KKR,13,24,334,173.06
WG Jacks,LSG,11,24,226,155.86
RK Singh,RCB,13,23,307,156.63
Urvil Patel,DC,15,22,316,147.66
B Sai Sudharsan,RCB,12,21,344,139.84
C Green,RCB,8,20,194,156.45
N Rana,KKR,9,20,222,133.73
BA Stokes,LSG,12,18,236,135.63
Washington Sundar,PBKS,9,18,198,131.13
AD Russell,DC,9,17,211,181.9
SP Narine,LSG,8,17,281,168.26
KA Pollard,CSK,11,17,238,154.55
AK Markram,SRH,9,17,169,146.96
MP Stoinis,PBKS,8,17,176,136.43
FH Allen,MI,8,16,165,161.76
R Parag,GT,12,16,205,151.85
AR Patel,CSK,10,16,158,126.4
J Fraser-McGurk,RCB,5,15,195,162.5
Shashank Singh,PBKS,12,14,210,184.21
JP Inglis,GT,7,14,233,162.94
LS Livingstone,SRH,9,14,179,129.71
Sikandar Raza,DC,6,13,163,148.18
Priyansh Arya,SRH,4,10,159,184.88
JM Sharma,RCB,10,10,180,183.67
Sameer Rizvi,LSG,3,10,96,168.42
MS Dhoni,CSK,9,10,133,137.11
D Brevis,PBKS,4,9,101,120.24
Jay Gohil,MI,8,8,126,206.56
Dhruv Jurel,LSG,7,8,120,160.0
Nithish Kumar Reddy,GT,10,8,159,138.26
BJ McMullen,DC,4,8,150,135.14
Anmolpreet Singh,CSK,4,7,47,142.42
MK Lomror,SRH,5,7,83,140.68
Suryansh Shedge,CSK,6,6,56,180.65
RA Bawa,KKR,7,6,88,176.0
Arslan Khan,MI,4,6,40,142.86
Ashutosh Sharma,RCB,4,6,58,126.09
MK Pandey,KKR,3,5,60,107.14
SM Curran,KKR,11,5,74,102.78
SB Dubey,GT,1,4,28,155.56
GF Linde,RR,5,4,27,150.0
HH Pandya,MI,12,4,110,139.24
Harpreet Brar,RCB,4,4,44,133.33
PJ Cummins,PBKS,5,4,57,132.56
Shahbaz Ahmed,LSG,4,4,37,97.37
Ramandeep Singh,LSG,7,3,127,186.76
DJ Hooda,GT,5,3,61,179.41
MG Bracewell,DC,6,3,79,151.92
Ayush Mhatre,KKR,2,3,27,135.0
R Ashwin,KKR,6,3,49,132.43
MA Agarwal,KKR,3,3,57,126.67
Abdul Samad,LSG,3,3,34,113.33
KD Karthik,CSK,4,3,25,65.79
M Siddharth,CSK,2,2,10,250.0
RA Jadeja,DC,2,2,17,212.5
Jagjit Singh,CSK,2,2,16,160.0
JR Hazlewood,RR,1,2,17,141.67
AS Roy,LSG,5,2,36,138.46
N Wadhera,RR,2,2,12,133.33
SH Johnson,SRH,3,2,27,128.57
Swapnil Singh,RR,6,2,32,128.0
PWH de Silva,DC,3,2,28,121.74
Shakib Al Hasan,PBKS,5,2,55,119.57
JD Unadkat,RR,2,2,13,118.18
DA Miller,RR,5,2,56,109.8
DA Warner,DC,1,2,36,109.09
D Ferreira,SRH,3,2,13,86.67
MR Marsh,DC,5,2,23,76.67
M Theekshana,MI,3,2,13,52.0
Mohammed Siraj,RCB,1,1,5,250.0
Azmatullah Omarzai,RR,2,1,27,207.69
D Padikkal,KKR,1,1,4,200.0
V Puthur,LSG,1,1,4,200.0
T Natarajan,CSK,3,1,13,185.71
KH Pandya,SRH,1,1,33,173.68
Noor Ahmad,KKR,1,1,12,171.43
SK Rasheed,PBKS,1,1,12,171.43
SE Rutherford,LSG,1,1,24,150.0
TA Boult,MI,1,1,9,150.0
TH David,LSG,4,1,39,134.48
A Nortje,RCB,2,1,4,133.33
Sanvir Singh,SRH,4,1,32,128.0
RK Bhui,RCB,2,1,22,122.22
MP Yadav,CSK,1,1,9,112.5
HV Patel,PBKS,3,1,12,109.09
RA Tripathi,PBKS,3,1,43,104.88
Rashid Khan,GT,3,1,22,104.76
R Ahir,MI,1,1,9,100.0
Vaibhav Suryavanshi,PBKS,2,1,6,100.0
JC Archer,LSG,2,1,11,91.67
Sandeep Sharma,RR,2,1,10,90.91
RD Chahar,RCB,2,1,6,75.0
Mayank Dagar,RR,3,1,8,72.73
M Markande,PBKS,2,1,6,46.15
