striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
Shubman Gill,LSG,15,6,660,142.86,1
Tilak Varma,CSK,17,6,560,142.13,0
LS Livingstone,SRH,16,5,589,151.41,0
TM Head,CSK,17,5,569,155.89,0
Abhishek Sharma,MI,14,5,554,162.94,1
SA Yadav,DC,14,4,525,150.43,0
GJ Maxwell,RR,14,4,511,150.29,0
AM Rahane,KKR,14,4,500,154.8,0
PD Salt,RCB,14,4,499,149.85,0
V Kohli,DC,14,4,485,143.07,0
KL Rahul,SRH,15,4,456,139.88,1
VR Iyer,SRH,16,4,414,156.82,0
Shashank Singh,PBKS,14,4,395,179.55,0
DP Conway,GT,13,4,367,148.58,0
P Simran Singh,SRH,16,3,509,171.96,1
H Klaasen,PBKS,15,3,477,132.87,1
SS Iyer,LSG,15,3,422,149.12,0
SV Samson,GT,14,3,417,133.23,0
WG Jacks,LSG,13,3,407,157.14,1
B Sai Sudharsan,MI,14,3,371,133.94,0
Urvil Patel,DC,13,3,363,164.25,0
Q de Kock,PBKS,14,3,353,169.71,0
RR Pant,PBKS,16,3,353,140.64,0
YBK Jaiswal,RR,14,3,337,171.94,0
S Dube,RR,12,3,306,156.92,0
F du Plessis,CSK,17,2,442,128.49,0
DJ Hooda,GT,14,2,396,141.43,0
RD Gaikwad,RCB,14,2,385,152.78,1
N Pooran,MI,13,2,380,133.8,0
Dhruv Jurel,LSG,14,2,352,139.68,0
Ishan Kishan,KKR,13,2,330,139.83,0
Naman Dhir,GT,12,2,297,178.92,0
MP Stoinis,PBKS,13,2,286,144.44,0
BA Stokes,LSG,12,2,257,156.71,0
Sikandar Raza,DC,10,2,228,138.18,0
N Sindhu,DC,3,2,144,221.54,0
D Padikkal,KKR,2,2,119,143.37,0
RG Sharma,PBKS,16,1,392,151.35,0
JC Buttler,KKR,14,1,303,158.64,1
T Stubbs,CSK,15,1,302,131.88,0
N Rana,KKR,11,1,300,194.81,0
DA Miller,RR,13,1,290,155.91,0
MK Pandey,KKR,14,1,283,131.63,0
Abishek Porel,DC,10,1,250,192.31,0
RK Singh,MI,10,1,250,128.21,0
AK Markram,SRH,8,1,198,142.45,0
RA Tripathi,RR,9,1,194,134.72,0
Atharva Taide,RR,5,1,145,152.63,0
R Parag,MI,9,1,144,115.2,0
DA Warner,DC,7,1,106,135.9,0
