striker,batting_team,num_innings,sixes,runs,strike_rate
LS Livingstone,SRH,16,34,589,151.41
Abhishek Sharma,MI,14,32,554,162.94
Tilak Varma,CSK,17,27,560,142.13
P Simran Singh,SRH,16,25,509,171.96
SA Yadav,DC,14,21,525,150.43
N Pooran,MI,13,21,380,133.8
WG Jacks,LSG,13,20,407,157.14
S Dube,RR,12,20,306,156.92
PD Salt,RCB,14,20,499,149.85
Shubman Gill,LSG,15,20,660,142.86
Nithish Kumar Reddy,GT,13,19,297,158.82
AM Rahane,KKR,14,19,500,154.8
KL Rahul,SRH,15,19,456,139.88
H Klaasen,PBKS,15,19,477,132.87
Shashank Singh,PBKS,14,18,395,179.55
N Rana,KKR,11,17,300,194.81
Naman Dhir,GT,12,17,297,178.92
Urvil Patel,DC,13,17,363,164.25
F du Plessis,CSK,17,17,442,128.49
Q de Kock,PBKS,14,16,353,169.71
SS Iyer,LSG,15,16,422,149.12
C Green,RCB,14,16,258,147.43
V Kohli,DC,14,16,485,143.07
TM Head,CSK,17,15,569,155.89
RG Sharma,PBKS,16,15,392,151.35
GJ Maxwell,RR,14,15,511,150.29
MP Stoinis,PBKS,13,14,286,144.44
DJ Hooda,GT,14,14,396,141.43
MK Pandey,KKR,14,14,283,131.63
VR Iyer,SRH,16,13,414,156.82
DA Miller,RR,13,13,290,155.91
RD Gaikwad,RCB,14,13,385,152.78
Sikandar Raza,DC,10,13,228,138.18
YBK Jaiswal,RR,14,12,337,171.94
JC Buttler,KKR,14,12,303,158.64
Ishan Kishan,KKR,13,12,330,139.83
AK Markram,SRH,8,11,198,142.45
RR Pant,PBKS,16,11,353,140.64
T Stubbs,CSK,15,11,302,131.88
Abishek Porel,DC,10,10,250,192.31
BA Stokes,LSG,12,10,257,156.71
RM Patidar,CSK,16,10,256,148.84
SV Samson,GT,14,10,417,133.23
RK Singh,MI,10,10,250,128.21
SO Hetmyer,RCB,12,10,204,120.0
DP Conway,GT,13,9,367,148.58
Dhruv Jurel,LSG,14,9,352,139.68
MK Lomror,SRH,8,8,185,169.72
Azmatullah Omarzai,RR,6,8,148,166.29
Atharva Taide,RR,5,8,145,152.63
HH Pandya,MI,11,8,221,138.12
B Sai Sudharsan,MI,14,8,371,133.94
Harpreet Brar,RCB,11,8,182,129.08
N Sindhu,DC,3,7,144,221.54
Shahbaz Ahmed,LSG,6,7,92,146.03
D Padikkal,KKR,2,7,119,143.37
Ramandeep Singh,RCB,14,7,176,131.34
JG Bethell,SRH,8,7,148,126.5
AR Patel,CSK,11,7,204,125.15
R Ashwin,KKR,9,7,110,113.4
A Badoni,RCB,13,7,157,105.37
Abdul Samad,LSG,8,6,128,182.86
Rashid Khan,GT,9,6,142,130.28
Bhanu Pania,MI,4,6,124,126.53
HV Patel,PBKS,9,6,98,119.51
GD Phillips,GT,4,5,93,186.0
J Fraser-McGurk,PBKS,3,5,77,154.0
RA Tripathi,RR,9,5,194,134.72
N Wadhera,LSG,6,5,117,134.48
KK Nair,RR,5,5,107,133.75
JM Sharma,RR,11,5,104,133.33
JR Hazlewood,RR,7,4,71,131.48
Washington Sundar,PBKS,9,4,113,121.51
R Parag,MI,9,4,144,115.2
HS Desai,DC,3,3,43,204.76
SH Johnson,SRH,3,3,32,188.24
PWH de Silva,DC,4,3,63,143.18
KH Pandya,SRH,8,3,89,136.92
DA Warner,DC,7,3,106,135.9
B Kumar,KKR,5,3,54,131.71
MM Ali,RR,2,2,29,241.67
MADI Hemantha,CSK,2,2,26,216.67
MA Starc,KKR,5,2,61,174.29
R Sai Kishore,RR,2,2,32,168.42
Jagjit Singh,CSK,3,2,35,166.67
A Zampa,LSG,3,2,21,161.54
MS Dhoni,CSK,10,2,87,124.29
M Theekshana,MI,5,2,33,122.22
Harshit Rana,PBKS,2,2,20,117.65
M Shahrukh Khan,MI,5,2,64,112.28
J Suchith,RCB,3,2,42,107.69
JC Archer,GT,6,2,37,94.87
Arshdeep Singh,LSG,1,1,8,266.67
MM Sharma,DC,1,1,8,266.67
Mohammed Siraj,MI,2,1,24,218.18
Gurjapneet Singh,RCB,1,1,13,216.67
Mukesh Kumar,SRH,2,1,13,162.5
M Prasidh Krishna,DC,2,1,30,150.0
M Siddharth,CSK,2,1,12,150.0
RD Rickelton,KKR,3,1,29,145.0
KK Ahmed,GT,5,1,26,144.44
YS Chahal,CSK,2,1,14,140.0
A Manohar,LSG,2,1,27,128.57
PJ Cummins,MI,5,1,73,128.07
C Sakariya,SRH,4,1,20,125.0
TU Deshpande,RR,3,1,10,125.0
G Coetzee,KKR,4,1,52,123.81
TH David,LSG,2,1,21,123.53
Mohammad Ghazanfar,GT,3,1,18,120.0
SZ Mulani,MI,1,1,12,120.0
RA Jadeja,DC,5,1,52,118.18
AJ Hosein,SRH,2,1,23,109.52
PN Mankad,RCB,2,1,33,106.45
M Pathirana,RCB,7,1,20,105.26
SP Narine,RR,4,1,40,95.24
MJ Santner,KKR,4,1,34,94.44
NT Ellis,LSG,2,1,17,94.44
Ravi Bishnoi,PBKS,4,1,29,93.55
M Markande,LSG,2,1,32,84.21
