striker,batting_team,num_innings,fours,runs,strike_rate
TM Head,CSK,17,66,569,155.89
Shubman Gill,LSG,15,63,660,142.86
GJ Maxwell,RR,14,55,511,150.29
SA Yadav,DC,14,53,525,150.43
P Simran Singh,SRH,16,51,509,171.96
AM Rahane,KKR,14,49,500,154.8
Tilak Varma,CSK,17,47,560,142.13
PD Salt,RCB,14,46,499,149.85
Abhishek Sharma,MI,14,44,554,162.94
RD Gaikwad,RCB,14,43,385,152.78
V Kohli,DC,14,42,485,143.07
YBK Jaiswal,RR,14,41,337,171.94
LS Livingstone,SRH,16,41,589,151.41
SV Samson,GT,14,41,417,133.23
VR Iyer,SRH,16,39,414,156.82
B Sai Sudharsan,MI,14,39,371,133.94
H Klaasen,PBKS,15,39,477,132.87
WG Jacks,LSG,13,38,407,157.14
RG Sharma,PBKS,16,38,392,151.35
DP Conway,GT,13,38,367,148.58
KL Rahul,SRH,15,38,456,139.88
Q de Kock,PBKS,14,37,353,169.71
DJ Hooda,GT,14,37,396,141.43
SS Iyer,LSG,15,34,422,149.12
F du Plessis,CSK,17,33,442,128.49
RR Pant,PBKS,16,32,353,140.64
Ishan Kishan,KKR,13,32,330,139.83
Shashank Singh,PBKS,14,29,395,179.55
BA Stokes,LSG,12,29,257,156.71
Urvil Patel,DC,13,28,363,164.25
JC Buttler,KKR,14,27,303,158.64
MP Stoinis,PBKS,13,27,286,144.44
N Pooran,MI,13,27,380,133.8
Dhruv Jurel,LSG,14,25,352,139.68
N Rana,KKR,11,24,300,194.81
Abishek Porel,DC,10,24,250,192.31
RM Patidar,CSK,16,24,256,148.84
Naman Dhir,GT,12,23,297,178.92
RA Tripathi,RR,9,23,194,134.72
C Green,RCB,14,22,258,147.43
MK Pandey,KKR,14,22,283,131.63
DA Miller,RR,13,21,290,155.91
T Stubbs,CSK,15,21,302,131.88
RK Singh,MI,10,21,250,128.21
S Dube,RR,12,20,306,156.92
HH Pandya,MI,11,18,221,138.12
Harpreet Brar,RCB,11,18,182,129.08
AR Patel,CSK,11,18,204,125.15
MK Lomror,SRH,8,17,185,169.72
Nithish Kumar Reddy,GT,13,16,297,158.82
R Parag,MI,9,16,144,115.2
Sikandar Raza,DC,10,15,228,138.18
N Sindhu,DC,3,14,144,221.54
Abdul Samad,LSG,8,14,128,182.86
AK Markram,SRH,8,14,198,142.45
SM Curran,KKR,7,14,92,122.67
Atharva Taide,RR,5,13,145,152.63
JM Sharma,RR,11,11,104,133.33
R Tewatia,GT,8,11,64,133.33
JG Bethell,SRH,8,11,148,126.5
SO Hetmyer,RCB,12,11,204,120.0
A Badoni,RCB,13,11,157,105.37
GD Phillips,GT,4,10,93,186.0
KH Pandya,SRH,8,10,89,136.92
DA Warner,DC,7,10,106,135.9
Rashid Khan,GT,9,10,142,130.28
D Padikkal,KKR,2,9,119,143.37
N Wadhera,LSG,6,9,117,134.48
KK Nair,RR,5,9,107,133.75
Ramandeep Singh,RCB,14,9,176,131.34
Washington Sundar,PBKS,9,8,113,121.51
Azmatullah Omarzai,RR,6,7,148,166.29
DL Chahar,KKR,2,7,39,134.48
PJ Cummins,MI,5,7,73,128.07
MS Dhoni,CSK,10,7,87,124.29
MA Starc,KKR,5,6,61,174.29
J Fraser-McGurk,PBKS,3,6,77,154.0
Bhanu Pania,MI,4,6,124,126.53
TA Boult,PBKS,6,5,57,123.91
HV Patel,PBKS,9,5,98,119.51
RA Jadeja,DC,5,5,52,118.18
JJ Bumrah,RCB,6,4,29,161.11
PWH de Silva,DC,4,4,63,143.18
RD Chahar,RCB,4,4,48,120.0
M Shahrukh Khan,MI,5,4,64,112.28
SP Narine,RR,4,4,40,95.24
AD Russell,DC,5,4,38,86.36
Mohammed Siraj,MI,2,3,24,218.18
HS Desai,DC,3,3,43,204.76
Jagjit Singh,CSK,3,3,35,166.67
KK Ahmed,GT,5,3,26,144.44
B Kumar,KKR,5,3,54,131.71
JR Hazlewood,RR,7,3,71,131.48
M Jansen,GT,2,3,40,125.0
G Coetzee,KKR,4,3,52,123.81
M Theekshana,MI,5,3,33,122.22
MR Marsh,DC,1,3,18,105.88
Ravi Bishnoi,PBKS,4,3,29,93.55
JM Bairstow,DC,2,3,24,88.89
MM Ali,RR,2,2,29,241.67
R Sai Kishore,RR,2,2,32,168.42
T Natarajan,CSK,3,2,20,166.67
Shahbaz Ahmed,LSG,6,2,92,146.03
RD Rickelton,KKR,3,2,29,145.0
A Manohar,LSG,2,2,27,128.57
C Sakariya,SRH,4,2,20,125.0
VG Arora,KKR,3,2,29,120.83
HR Shokeen,RCB,2,2,20,117.65
Sandeep Sharma,RR,5,2,20,117.65
Avesh Khan,RCB,6,2,32,114.29
R Ashwin,KKR,9,2,110,113.4
Sameer Rizvi,SRH,2,2,15,107.14
PN Mankad,RCB,2,2,33,106.45
Ashutosh Sharma,SRH,2,2,17,106.25
JC Archer,GT,6,2,37,94.87
M Markande,LSG,2,2,32,84.21
MADI Hemantha,CSK,2,1,26,216.67
Gurjapneet Singh,RCB,1,1,13,216.67
SH Johnson,SRH,3,1,32,188.24
Mukesh Kumar,SRH,2,1,13,162.5
A Zampa,LSG,3,1,21,161.54
M Prasidh Krishna,DC,2,1,30,150.0
J Anderson,MI,1,1,6,150.0
YS Chahal,CSK,2,1,14,140.0
Swapnil Singh,RR,2,1,9,128.57
BM Duckett,SRH,1,1,5,125.0
TH David,LSG,2,1,21,123.53
Tanush Kotian,SRH,2,1,16,123.08
Mohammed Shami,GT,5,1,28,112.0
AJ Hosein,SRH,2,1,23,109.52
J Suchith,RCB,3,1,42,107.69
M Pathirana,RCB,7,1,20,105.26
Suryansh Shedge,CSK,3,1,13,100.0
R Ravindra,GT,1,1,7,100.0
MJ Santner,KKR,4,1,34,94.44
Rasikh Salam,LSG,1,1,10,90.91
MP Yadav,RR,3,1,9,90.0
PP Chawla,RR,1,1,6,85.71
V Shankar,DC,2,1,11,73.33
Kuldeep Yadav,SRH,5,1,11,57.89
