player,team,points_bat,points_ball,total_points,num_POTM_awards
AR Patel,CSK,106.99,559.57,666.57,3
LS Livingstone,SRH,357.27,271.39,628.65,5
Abhishek Sharma,MI,344.94,240.27,585.21,3
T Natarajan,CSK,37.51,541.89,579.4,2
HH Pandya,MI,145.77,432.96,578.73,1
GJ Maxwell,RR,311.97,250.84,562.81,4
MA Starc,KKR,61.66,425.59,487.25,2
Washington Sundar,PBKS,51.8,419.47,471.26,3
BA Stokes,LSG,158.56,286.5,445.06,2
JG Bethell,SRH,75.46,357,432.46,0
WG Jacks,LSG,247.11,163.07,410.18,2
B Kumar,KKR,44.38,357.14,401.51,1
Suryansh Shedge,CSK,-29.54,429.83,400.29,1
Shubman Gill,LSG,399.58,0,399.58,2
Arshdeep Singh,LSG,156,242.81,398.82,0
N Rana,KKR,235.47,163.33,398.8,0
PJ Cummins,MI,59.67,327.7,387.37,1
HV Patel,PBKS,32.16,354.89,387.05,1
Jagjit Singh,CSK,39.27,346.88,386.15,1
M Pathirana,RCB,-13.68,394.66,380.98,0
Sikandar Raza,DC,147.7,228.83,376.53,1
Shashank Singh,PBKS,289.92,72.95,362.87,1
JJ Bumrah,RCB,42.76,318.97,361.73,0
DJ Hooda,GT,234.32,115.41,349.73,0
Rashid Khan,GT,73.67,275.51,349.18,1
TM Head,CSK,348.65,0,348.65,3
Shahbaz Ahmed,LSG,68.19,275.82,344.01,2
VR Iyer,SRH,270.92,71.75,342.67,0
Harpreet Brar,RCB,89.88,249.77,339.64,0
Nithish Kumar Reddy,GT,197.23,141.32,338.56,0
Tilak Varma,CSK,332.85,0,332.85,1
AK Markram,SRH,124.98,207.83,332.81,0
P Simran Singh,SRH,324.27,0,324.27,1
KH Pandya,SRH,44.22,271.81,316.03,0
AM Rahane,KKR,314.94,0,314.94,0
SA Yadav,DC,313.42,0,313.42,1
Azmatullah Omarzai,RR,124.03,187.56,311.59,1
JR Hazlewood,RR,19.58,288.17,307.75,0
PD Salt,RCB,307.3,0,307.3,1
TA Boult,PBKS,52.12,245.16,297.28,0
Mohammed Siraj,MI,70.55,223.4,293.96,0
V Kohli,DC,290.92,0,290.92,2
Sandeep Sharma,RR,-2.9,293.38,290.48,0
Fazalhaq Farooqi,CSK,-53.4,342.32,288.92,1
J Anderson,MI,-7.25,294.84,287.59,1
Tanush Kotian,SRH,64.76,221.28,286.03,0
CV Varun,PBKS,-75.12,360.6,285.47,0
MP Stoinis,PBKS,168.16,114.96,283.12,0
Ravi Bishnoi,PBKS,-39.39,322.45,283.05,0
C Sakariya,SRH,-0.62,282.83,282.21,0
H Klaasen,PBKS,278.38,0,278.38,2
M Prasidh Krishna,DC,55.75,215.53,271.28,0
