striker,pitch,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
MJ Owen,pace,Death,1,6,84,38,4,21.0,221.05,DC
Shubman Gill,pace,Death,2,4,84,38,1,84.0,221.05,LSG
MJ Owen,pace,Middle,2,4,84,58,1,84.0,144.83,DC
N Wadhera,spin,Death,1,6,84,55,2,42.0,152.73,KKR
RK Singh,pace,Middle,2,7,83,63,4,20.75,131.75,MI
Atharva Taide,neutralish,Middle,2,2,83,48,1,83.0,172.92,MI
Arshad Khan,pace,Death,1,4,83,34,1,83.0,244.12,DC
R Parag,spin,Death,1,3,83,34,1,83.0,244.12,GT
Akash Vasisht,spin,Death,2,8,83,42,4,20.75,197.62,SRH
Naman Dhir,neutralish,PP,1,7,82,49,2,41.0,167.35,GT
Sameer Rizvi,pace,Middle,2,4,82,48,0,,170.83,LSG
AK Markram,spin,Death,1,5,82,45,3,27.33,182.22,DC
S Dube,spin,PP,2,5,82,53,2,41.0,154.72,RR
GF Linde,neutralish,Death,1,2,82,32,0,,256.25,GT
N Sindhu,spin,Death,2,3,82,26,1,82.0,315.38,DC
CH Gayle,pace,Death,2,3,82,32,2,41.0,256.25,CSK
N Rana,neutralish,PP,1,6,82,50,0,,164.0,PBKS
N Sindhu,spin,PP,2,6,82,47,2,41.0,174.47,DC
RD Gaikwad,spin,Death,2,3,81,33,0,,245.45,GT
PWH de Silva,pace,Middle,1,2,81,37,1,81.0,218.92,RCB
Tanush Kotian,pace,Death,2,5,80,35,2,40.0,228.57,CSK
BJ McMullen,neutralish,PP,1,3,80,47,1,80.0,170.21,RR
HH Pandya,pace,Death,1,6,80,37,2,40.0,216.22,MI
Q de Kock,spin,PP,1,4,80,59,0,,135.59,
PD Salt,spin,PP,1,5,79,49,3,26.33,161.22,RCB
Abishek Porel,neutralish,PP,1,3,79,42,0,,188.1,RR
YBK Jaiswal,neutralish,PP,2,4,79,30,2,39.5,263.33,RR
Naman Dhir,pace,Death,2,5,79,37,3,26.33,213.51,GT
JP Inglis,neutralish,PP,2,3,79,30,0,,263.33,GT
AB de Villiers,neutralish,Middle,2,3,79,35,0,,225.71,RR
AB de Villiers,neutralish,Middle,1,3,79,61,0,,129.51,RR
Shashank Singh,neutralish,Middle,1,5,78,69,3,26.0,113.04,PBKS
J Fraser-McGurk,spin,Middle,2,3,78,48,3,26.0,162.5,KKR
Aniket Verma,pace,PP,2,8,77,46,2,38.5,167.39,RR
Anmolpreet Singh,spin,Death,1,4,77,40,0,,192.5,CSK
KL Rahul,neutralish,Middle,1,3,77,56,0,,137.5,SRH
P Simran Singh,spin,PP,2,6,77,58,4,19.25,132.76,SRH
JM Sharma,neutralish,Middle,2,4,77,46,1,77.0,167.39,RCB
JP Inglis,neutralish,Death,1,4,77,29,4,19.25,265.52,GT
Sameer Rizvi,neutralish,Death,1,2,77,27,1,77.0,285.19,LSG
Naman Dhir,neutralish,Death,1,4,77,30,3,25.67,256.67,GT
VR Iyer,spin,Death,2,5,77,42,1,77.0,183.33,SRH
Abhishek Sharma,pace,Middle,2,6,77,54,6,12.83,142.59,MI
Utkarsh Singh,spin,Death,1,4,76,33,2,38.0,230.3,PBKS
SA Yadav,neutralish,Middle,2,3,76,45,3,25.33,168.89,DC
Hassan Nawaz,neutralish,Middle,2,4,75,58,3,25.0,129.31,RCB
TH David,pace,Death,1,4,75,39,2,37.5,192.31,PBKS
N Sindhu,neutralish,Middle,1,4,75,57,1,75.0,131.58,DC
WL Madsen,neutralish,Middle,2,2,75,44,0,,170.45,MI
V Suryavanshi,spin,Middle,1,7,75,60,7,10.71,125.0,PBKS
RD Rickelton,pace,PP,2,5,75,43,4,18.75,174.42,LSG
Abishek Porel,pace,Middle,2,4,75,48,1,75.0,156.25,RR
SP Narine,neutralish,PP,1,2,75,34,0,,220.59,KKR
H Klaasen,spin,Death,2,5,75,45,4,18.75,166.67,CSK
T Banton,neutralish,Middle,1,3,74,46,1,74.0,160.87,MI
Shubman Gill,neutralish,Middle,2,3,74,38,2,37.0,194.74,LSG
KL Rahul,pace,Middle,1,4,74,37,4,18.5,200.0,SRH
BJ McMullen,spin,PP,2,3,74,40,2,37.0,185.0,RR
RK Singh,pace,Death,1,5,74,39,4,18.5,189.74,MI
YK Pathan,pace,Middle,1,6,74,71,2,37.0,104.23,KKR
PD Salt,neutralish,PP,1,3,73,34,2,36.5,214.71,RCB
LS Livingstone,spin,Death,2,8,73,44,5,14.6,165.91,KKR
TP Ura,spin,Middle,2,3,73,41,2,36.5,178.05,PBKS
N Pooran,pace,Middle,1,5,73,54,4,18.25,135.19,MI
RK Singh,pace,Middle,1,4,73,62,1,73.0,117.74,MI
GJ Maxwell,spin,Middle,2,3,72,46,2,36.0,156.52,DC
V Suryavanshi,neutralish,Middle,1,4,72,55,3,24.0,130.91,PBKS
MW Short,pace,PP,1,4,72,34,1,72.0,211.76,MI
SP Narine,neutralish,Middle,1,3,72,44,3,24.0,163.64,KKR
N Rana,neutralish,Middle,1,6,71,44,6,11.83,161.36,PBKS
R Powell,pace,Middle,1,5,71,46,4,17.75,154.35,LSG
N Rana,pace,Death,1,3,71,30,2,35.5,236.67,PBKS
Q de Kock,spin,Middle,1,4,71,54,3,23.67,131.48,
TH David,spin,Middle,2,4,71,50,1,71.0,142.0,PBKS
Naman Dhir,neutralish,Middle,2,3,71,55,0,,129.09,GT
FH Allen,pace,Middle,2,2,70,52,1,70.0,134.62,PBKS
Aniket Verma,pace,PP,1,5,70,44,1,70.0,159.09,RR
PHKD Mendis,spin,Death,2,3,70,34,0,,205.88,DC
PWH de Silva,neutralish,Middle,1,2,70,36,2,35.0,194.44,RCB
MJ Owen,pace,Death,2,6,70,40,3,23.33,175.0,DC
RM Patidar,pace,Middle,1,4,70,61,3,23.33,114.75,KKR
R Parag,neutralish,Death,2,3,70,38,3,23.33,184.21,GT
PWH de Silva,pace,Middle,2,4,70,37,3,23.33,189.19,RCB
H Klaasen,spin,Death,1,2,70,32,0,,218.75,CSK
TP Ura,neutralish,Middle,1,2,69,43,1,69.0,160.47,PBKS
AK Markram,spin,Death,2,6,69,39,5,13.8,176.92,DC
Tarang Gohel,neutralish,Middle,2,2,69,43,1,69.0,160.47,DC
SS Iyer,spin,PP,1,6,69,59,4,17.25,116.95,LSG
Salil Arora,pace,Middle,2,2,69,43,1,69.0,160.47,RCB
B Sai Sudharsan,neutralish,PP,2,3,68,48,1,68.0,141.67,PBKS
Shashank Singh,pace,Middle,2,5,68,36,1,68.0,188.89,PBKS
Priyansh Arya,neutralish,Death,2,3,68,22,3,22.67,309.09,RCB
YBK Jaiswal,spin,Death,2,4,68,36,2,34.0,188.89,RR
S Dube,neutralish,PP,2,7,68,45,2,34.0,151.11,RR
Atharva Taide,neutralish,PP,2,3,68,38,1,68.0,178.95,MI
Anmolpreet Singh,pace,Death,1,5,68,32,4,17.0,212.5,CSK
LS Livingstone,spin,Middle,2,4,68,55,1,68.0,123.64,KKR
Urvil Patel,pace,PP,1,3,67,41,1,67.0,163.41,MI
RD Gaikwad,pace,Death,1,2,67,30,0,,223.33,GT
AM Rahane,pace,Death,2,5,67,31,3,22.33,216.13,MI
VR Iyer,neutralish,Death,1,3,67,28,0,,239.29,SRH
S Dube,pace,PP,1,5,67,47,0,,142.55,RR
Tanush Kotian,neutralish,Death,2,4,67,31,3,22.33,216.13,CSK
Abdul Samad,spin,Death,2,7,67,49,3,22.33,136.73,LSG
Tarang Gohel,neutralish,PP,2,3,66,31,1,66.0,212.9,DC
CH Gayle,spin,Middle,1,4,66,52,3,22.0,126.92,CSK
AK Markram,spin,PP,2,4,66,37,3,22.0,178.38,DC
Abdul Samad,neutralish,Death,1,4,66,33,2,33.0,200.0,LSG
N Sindhu,neutralish,Death,1,3,66,31,0,,212.9,DC
C Green,spin,Middle,2,8,66,55,5,13.2,120.0,KKR
PHKD Mendis,spin,Middle,1,7,65,47,6,10.83,138.3,DC
Ishan Kishan,pace,Middle,2,4,65,39,4,16.25,166.67,MI
Sakibul Gani,spin,Death,2,4,65,30,3,21.67,216.67,RCB
Rahul Singh,pace,Middle,1,4,64,35,4,16.0,182.86,RCB
AB de Villiers,neutralish,Death,2,4,64,33,2,32.0,193.94,RR
SV Samson,neutralish,Middle,2,1,64,32,0,,200.0,GT
WG Jacks,spin,Death,1,2,64,35,1,64.0,182.86,LSG
Tilak Varma,neutralish,Middle,2,4,64,38,3,21.33,168.42,CSK
Nithish Kumar Reddy,pace,Middle,1,4,64,49,2,32.0,130.61,SRH
P Simran Singh,neutralish,Middle,1,3,64,46,2,32.0,139.13,SRH
N Sindhu,neutralish,Middle,2,3,63,33,2,31.5,190.91,DC
RA Jadeja,pace,Middle,2,5,63,49,3,21.0,128.57,SRH
Naman Dhir,spin,Death,1,2,63,21,1,63.0,300.0,GT
Abdul Samad,pace,Middle,1,4,63,59,1,63.0,106.78,LSG
B Sai Sudharsan,spin,Death,2,4,63,31,3,21.0,203.23,PBKS
Priyansh Arya,neutralish,PP,2,2,63,28,0,,225.0,RCB
AM Rahane,spin,PP,1,8,63,57,4,15.75,110.53,MI
JC Buttler,pace,Middle,2,3,63,39,3,21.0,161.54,LSG
V Kohli,neutralish,Middle,2,2,62,39,1,62.0,158.97,RR
Abdul Samad,neutralish,Middle,1,4,62,47,0,,131.91,LSG
KA Pollard,pace,Middle,1,4,62,38,2,31.0,163.16,CSK
Shubman Gill,neutralish,Middle,1,2,62,36,2,31.0,172.22,LSG
BM Duckett,pace,PP,2,4,62,39,1,62.0,158.97,SRH
Rahul Singh,neutralish,PP,2,1,61,22,0,,277.27,RCB
SS Iyer,neutralish,Middle,1,2,61,47,1,61.0,129.79,LSG
Shashank Singh,spin,Middle,2,5,61,59,2,30.5,103.39,PBKS
N Sindhu,spin,Middle,1,5,61,37,4,15.25,164.86,DC
Kartik Sharma,spin,PP,1,2,61,29,1,61.0,210.34,SRH
Ishan Kishan,neutralish,PP,1,3,61,39,1,61.0,156.41,MI
Ashutosh Sharma,pace,Death,1,6,61,38,2,30.5,160.53,RCB
JC Buttler,neutralish,Death,1,3,61,35,1,61.0,174.29,LSG
Naman Dhir,neutralish,Death,2,3,60,29,1,60.0,206.9,GT
Ishan Kishan,spin,PP,2,3,60,41,3,20.0,146.34,MI
T Stubbs,neutralish,Death,1,4,60,32,2,30.0,187.5,CSK
N Sindhu,pace,PP,2,6,60,38,3,20.0,157.89,DC
V Kohli,pace,Middle,1,2,60,37,1,60.0,162.16,RR
MJ Owen,spin,Middle,1,2,60,31,1,60.0,193.55,DC
Abhishek Sharma,neutralish,Middle,1,3,60,29,3,20.0,206.9,MI
Aniket Verma,pace,Death,2,4,60,28,2,30.0,214.29,RR
BM Duckett,neutralish,PP,1,2,60,31,1,60.0,193.55,SRH
Abdul Samad,spin,Death,1,6,60,31,3,20.0,193.55,LSG
BM Duckett,spin,PP,1,3,59,32,2,29.5,184.38,SRH
R Parag,pace,Death,1,4,59,31,2,29.5,190.32,GT
AD Russell,pace,Death,2,3,59,26,1,59.0,226.92,DC
Karan Shinde,pace,Death,1,3,59,23,2,29.5,256.52,RCB
BM Duckett,pace,PP,1,2,59,33,2,29.5,178.79,SRH
SA Yadav,spin,Death,2,6,59,36,6,9.83,163.89,DC
YBK Jaiswal,neutralish,Death,1,3,59,23,1,59.0,256.52,RR
TA Boult,pace,Death,2,6,59,39,4,14.75,151.28,MI
SS Iyer,pace,PP,2,4,59,32,3,19.67,184.38,LSG
SS Iyer,spin,PP,2,5,59,37,1,59.0,159.46,LSG
D Brevis,spin,Middle,1,2,59,41,1,59.0,143.9,LSG
N Sindhu,spin,PP,1,5,59,40,2,29.5,147.5,DC
BJ McMullen,pace,PP,1,3,58,25,1,58.0,232.0,RR
J Fraser-McGurk,pace,PP,2,3,58,32,3,19.33,181.25,KKR
YK Pathan,pace,Death,1,7,58,54,4,14.5,107.41,KKR
MP Stoinis,pace,Death,2,2,58,20,0,,290.0,KKR
V Kohli,spin,Middle,1,4,57,49,4,14.25,116.33,RR
Shashwat Rawat,spin,PP,1,2,57,38,0,,150.0,PBKS
Jay Gohil,pace,Death,2,3,57,27,2,28.5,211.11,LSG
VR Iyer,pace,Death,2,6,57,36,3,19.0,158.33,SRH
SV Samson,neutralish,PP,1,7,57,50,6,9.5,114.0,GT
AB de Villiers,spin,Middle,2,4,57,44,2,28.5,129.55,RR
JP Inglis,spin,PP,1,5,57,44,3,19.0,129.55,GT
N Wadhera,spin,Middle,1,4,57,46,0,,123.91,KKR
MJ Owen,spin,PP,1,3,56,36,3,18.67,155.56,DC
Salil Arora,pace,Middle,1,3,56,32,2,28.0,175.0,RCB
Ramandeep Singh,pace,Death,1,6,56,35,3,18.67,160.0,LSG
B Sai Sudharsan,neutralish,Middle,2,3,56,51,2,28.0,109.8,PBKS
Tarang Gohel,neutralish,Middle,1,3,56,40,2,28.0,140.0,DC
SV Samson,neutralish,Middle,1,1,56,30,0,,186.67,GT
Dhruv Jurel,spin,PP,2,4,56,38,2,28.0,147.37,KKR
N Pooran,spin,Death,2,3,56,16,2,28.0,350.0,MI
Arshad Khan,spin,Death,1,5,56,38,2,28.0,147.37,DC
GJ Maxwell,neutralish,Middle,2,3,56,38,3,18.67,147.37,DC
PWH de Silva,neutralish,PP,1,2,55,26,0,,211.54,RCB
PP Shaw,pace,PP,1,3,55,54,1,55.0,101.85,MI
MG Erasmus,spin,Middle,2,4,55,49,3,18.33,112.24,
JC Buttler,spin,Death,1,5,55,28,4,13.75,196.43,LSG
AM Rahane,spin,PP,2,4,55,41,0,,134.15,MI
Urvil Patel,spin,Death,1,4,55,29,3,18.33,189.66,MI
Ishaan Gadekar,spin,Middle,1,3,55,25,3,18.33,220.0,SRH
Anmolpreet Singh,pace,Death,2,5,55,24,2,27.5,229.17,CSK
Salil Arora,spin,Middle,2,3,55,35,1,55.0,157.14,RCB
GD Phillips,pace,Death,1,4,55,28,3,18.33,196.43,GT
GJ Maxwell,spin,Death,1,2,54,19,1,54.0,284.21,DC
AR Patel,spin,Death,1,4,54,24,2,27.0,225.0,CSK
WG Jacks,neutralish,Death,1,1,54,20,0,,270.0,LSG
Naman Dhir,pace,PP,1,5,54,37,1,54.0,145.95,GT
DP Conway,spin,Middle,1,2,54,48,0,,112.5,PBKS
MP Stoinis,spin,PP,2,3,54,51,1,54.0,105.88,KKR
Arshad Khan,neutralish,Death,2,6,54,29,3,18.0,186.21,DC
RM Patidar,pace,PP,2,5,54,42,3,18.0,128.57,KKR
Abdul Samad,pace,Death,1,6,53,35,5,10.6,151.43,LSG
Hassan Nawaz,spin,Middle,2,5,53,43,4,13.25,123.26,RCB
RG Sharma,spin,Death,1,5,53,27,3,17.67,196.3,KKR
HS Desai,spin,Middle,1,2,53,45,2,26.5,117.78,CSK
GD Phillips,spin,Death,1,4,53,26,4,13.25,203.85,GT
TH David,spin,Death,2,4,53,23,3,17.67,230.43,PBKS
Chirag Jani,neutralish,Death,1,5,53,32,4,13.25,165.62,CSK
Smaran Ravichandran,pace,PP,1,5,53,35,2,26.5,151.43,PBKS
Smaran Ravichandran,spin,Death,1,6,52,35,4,13.0,148.57,PBKS
Rahul Singh,pace,Middle,2,3,52,33,3,17.33,157.58,RCB
Tanush Kotian,spin,Death,1,6,52,27,4,13.0,192.59,CSK
WL Madsen,spin,Death,2,6,52,36,1,52.0,144.44,MI
Anmolpreet Singh,pace,Middle,1,4,52,37,1,52.0,140.54,CSK
RM Patidar,pace,PP,1,7,52,48,5,10.4,108.33,KKR
SA Yadav,spin,PP,1,4,52,37,1,52.0,140.54,DC
WG Jacks,pace,Death,2,2,52,23,1,52.0,226.09,LSG
TM Head,pace,PP,1,4,52,47,1,52.0,110.64,
SS Iyer,pace,Death,1,4,52,24,3,17.33,216.67,LSG
JP Inglis,pace,Death,2,4,52,25,3,17.33,208.0,GT
T Stubbs,spin,Death,1,4,52,25,2,26.0,208.0,CSK
CH Morris,pace,Death,1,4,51,34,2,25.5,150.0,
Nithish Kumar Reddy,neutralish,Death,2,5,51,26,2,25.5,196.15,SRH
Tilak Varma,neutralish,Death,1,2,51,26,2,25.5,196.15,CSK
Abhishek Sharma,pace,Middle,1,1,51,20,1,51.0,255.0,MI
RK Singh,neutralish,Death,2,2,51,19,1,51.0,268.42,MI
RA Jadeja,pace,Death,1,3,51,33,2,25.5,154.55,SRH
H Klaasen,neutralish,Middle,2,2,51,32,1,51.0,159.38,CSK
SR Dickson,pace,Middle,2,2,51,28,1,51.0,182.14,RCB
N Pooran,pace,Death,1,2,51,24,2,25.5,212.5,MI
RG Sharma,pace,PP,1,7,51,28,2,25.5,182.14,KKR
HH Pandya,pace,Death,2,4,51,27,2,25.5,188.89,MI
YK Pathan,spin,Death,2,4,51,28,1,51.0,182.14,KKR
MP Stoinis,spin,Middle,2,2,51,33,2,25.5,154.55,KKR
RD Gaikwad,neutralish,PP,2,2,51,29,1,51.0,175.86,GT
S Dube,neutralish,Death,2,3,50,17,1,50.0,294.12,RR
J Fraser-McGurk,neutralish,PP,2,2,50,30,0,,166.67,KKR
MS Dhoni,pace,Middle,2,3,50,29,0,,172.41,CSK
MW Short,spin,Middle,1,3,50,38,2,25.0,131.58,MI
MJ Owen,spin,Death,2,4,50,25,3,16.67,200.0,DC
MJ Owen,neutralish,PP,2,2,50,24,1,50.0,208.33,DC
AA Kulkarni,neutralish,PP,1,3,50,32,2,25.0,156.25,GT
PHKD Mendis,spin,Middle,2,4,49,36,3,16.33,136.11,DC
HC Brook,pace,Middle,2,5,49,38,3,16.33,128.95,
Shashank Singh,neutralish,Death,1,3,49,25,2,24.5,196.0,PBKS
JC Buttler,pace,PP,2,4,49,36,2,24.5,136.11,LSG
JDS Neesham,pace,Middle,1,2,49,36,1,49.0,136.11,
D Wiese,pace,Death,2,6,49,24,2,24.5,204.17,GT
PP Shaw,spin,PP,1,3,49,39,1,49.0,125.64,MI
Abdul Samad,spin,Middle,1,3,49,47,2,24.5,104.26,LSG
MS Pepper,neutralish,Middle,1,2,49,26,1,49.0,188.46,
SS Iyer,spin,Death,2,3,49,29,3,16.33,168.97,LSG
JJ Smit,pace,Middle,1,5,49,38,3,16.33,128.95,PBKS
Aniket Verma,spin,Middle,2,4,48,32,4,12.0,150.0,RR
Q de Kock,pace,Middle,1,2,48,39,2,24.0,123.08,
DS Airee,spin,Middle,2,2,48,39,1,48.0,123.08,CSK
SR Hain,pace,Middle,1,2,48,32,1,48.0,150.0,
RM Patidar,pace,Middle,2,4,48,42,3,16.0,114.29,KKR
Aniket Verma,neutralish,Middle,1,3,48,32,2,24.0,150.0,RR
Tilak Varma,pace,Death,1,3,48,31,2,24.0,154.84,CSK
Rahul Singh,spin,Middle,2,3,48,37,1,48.0,129.73,RCB
HH Pandya,pace,Middle,2,6,47,40,6,7.83,117.5,MI
H Klaasen,spin,PP,1,4,47,40,1,47.0,117.5,CSK
JN Loftie-Eaton,spin,Death,1,2,47,29,1,47.0,162.07,RR
Ishan Kishan,spin,Middle,1,4,47,43,2,23.5,109.3,MI
Abdul Samad,spin,Middle,2,4,47,49,1,47.0,95.92,LSG
MR Marsh,neutralish,Death,2,3,47,25,1,47.0,188.0,SRH
JC Buttler,spin,PP,1,4,47,33,1,47.0,142.42,LSG
D Brevis,spin,Death,1,3,47,24,2,23.5,195.83,LSG
Naman Dhir,spin,PP,1,3,47,29,1,47.0,162.07,GT
Nithish Kumar Reddy,neutralish,Death,1,4,47,21,3,15.67,223.81,SRH
Kumar Kushagra,neutralish,Middle,1,1,47,31,1,47.0,151.61,GT
P Simran Singh,spin,Death,1,2,46,22,2,23.0,209.09,SRH
RM Patidar,neutralish,Middle,2,2,46,41,0,,112.2,KKR
V Kohli,neutralish,Death,1,1,46,15,0,,306.67,RR
Arshad Khan,neutralish,Death,1,3,46,21,1,46.0,219.05,DC
R Powell,pace,Middle,2,4,46,50,3,15.33,92.0,LSG
YBK Jaiswal,neutralish,Death,2,3,46,22,1,46.0,209.09,RR
PP Shaw,spin,Middle,1,2,46,45,0,,102.22,MI
V Suryavanshi,neutralish,Middle,2,1,46,31,0,,148.39,PBKS
Bilal Zalmai,spin,Death,1,2,46,23,0,,200.0,
Aniket Verma,neutralish,Death,2,3,46,20,2,23.0,230.0,RR
Babar Azam,pace,Middle,1,3,46,44,2,23.0,104.55,
N Rana,pace,Death,2,4,46,27,2,23.0,170.37,PBKS
HS Desai,spin,PP,1,3,45,37,1,45.0,121.62,CSK
RG Sharma,neutralish,Death,2,2,45,17,1,45.0,264.71,KKR
Suryansh Shedge,neutralish,Death,2,4,45,26,3,15.0,173.08,CSK
D Brevis,neutralish,Middle,2,3,45,40,2,22.5,112.5,LSG
RR Rossouw,spin,Middle,1,2,45,34,2,22.5,132.35,SRH
BM Duckett,neutralish,Middle,2,3,45,42,3,15.0,107.14,SRH
Smaran Ravichandran,neutralish,Middle,1,4,45,30,3,15.0,150.0,PBKS
RM Patidar,pace,Death,2,4,45,25,2,22.5,180.0,KKR
Washington Sundar,neutralish,Death,1,3,45,31,1,45.0,145.16,PBKS
Babar Azam,pace,PP,1,3,45,35,1,45.0,128.57,
Waseem Muhammad,pace,Middle,2,3,44,32,2,22.0,137.5,
JDS Neesham,pace,Middle,2,2,44,37,0,,118.92,
TP Ura,spin,PP,2,4,44,25,2,22.0,176.0,PBKS
RM Patidar,spin,Death,2,2,44,23,0,,191.3,KKR
RD Rickelton,spin,PP,1,7,44,30,6,7.33,146.67,LSG
Smaran Ravichandran,pace,Death,1,2,44,23,2,22.0,191.3,PBKS
Suryansh Shedge,spin,Death,2,2,44,19,1,44.0,231.58,CSK
R Powell,pace,Death,1,4,44,24,4,11.0,183.33,LSG
V Suryavanshi,pace,Middle,2,3,44,26,3,14.67,169.23,PBKS
C Green,spin,PP,1,3,44,30,1,44.0,146.67,KKR
SS Iyer,neutralish,Death,1,2,43,20,0,,215.0,LSG
Utkarsh Singh,spin,Middle,1,6,43,36,4,10.75,119.44,PBKS
Gaurav Puri,neutralish,Death,2,3,43,19,3,14.33,226.32,LSG
Tilak Varma,spin,Death,2,2,43,19,0,,226.32,CSK
AD Russell,spin,Middle,2,3,43,42,2,21.5,102.38,DC
DAJ Bracewell,pace,Death,1,2,43,15,1,43.0,286.67,
DJ Bravo,pace,Death,1,4,43,32,2,21.5,134.38,
AB de Villiers,pace,Middle,2,4,43,21,3,14.33,204.76,RR
Tanush Kotian,spin,Middle,2,4,43,30,2,21.5,143.33,CSK
Salil Arora,neutralish,Death,1,1,43,15,0,,286.67,RCB
Mohammad Nabi,spin,Death,1,7,42,35,7,6.0,120.0,LSG
N Pooran,neutralish,Death,1,3,42,18,2,21.0,233.33,MI
V Nigam,spin,Death,2,5,42,30,4,10.5,140.0,GT
Ravi Singh,pace,Middle,1,3,42,26,3,14.0,161.54,KKR
Naman Dhir,pace,PP,2,5,42,31,0,,135.48,GT
R Parag,spin,PP,2,2,42,27,0,,155.56,GT
WG Jacks,neutralish,Middle,2,2,42,32,1,42.0,131.25,LSG
KL Rahul,pace,PP,1,5,42,29,1,42.0,144.83,SRH
Hassan Nawaz,pace,Middle,1,4,42,31,3,14.0,135.48,RCB
J Fraser-McGurk,neutralish,PP,1,2,42,26,1,42.0,161.54,KKR
N Sindhu,spin,Death,1,1,42,18,0,,233.33,DC
Priyansh Arya,neutralish,Middle,1,1,42,20,1,42.0,210.0,RCB
SA Yadav,pace,Death,2,4,42,26,3,14.0,161.54,DC
Nithish Kumar Reddy,neutralish,Middle,1,1,42,23,0,,182.61,SRH
Abishek Porel,pace,Death,1,4,42,24,2,21.0,175.0,RR
Nithish Kumar Reddy,pace,Death,1,2,42,21,1,42.0,200.0,SRH
Sameer Rizvi,neutralish,Middle,1,3,42,26,2,21.0,161.54,LSG
Salil Arora,pace,PP,2,1,42,18,0,,233.33,RCB
KL Rahul,pace,Death,2,4,42,18,3,14.0,233.33,SRH
Atharva Taide,spin,PP,2,1,41,23,1,41.0,178.26,MI
RA Jadeja,neutralish,Death,2,3,41,19,1,41.0,215.79,SRH
FH Allen,spin,Middle,1,3,41,27,3,13.67,151.85,PBKS
AM Rahane,neutralish,Death,1,1,41,18,0,,227.78,MI
RA Jadeja,spin,Middle,1,4,41,32,0,,128.12,SRH
Q de Kock,pace,PP,1,4,41,36,2,20.5,113.89,
MP Stoinis,pace,Middle,1,3,41,27,2,20.5,151.85,KKR
Ravi Singh,pace,Middle,2,2,41,25,1,41.0,164.0,KKR
YBK Jaiswal,pace,PP,1,1,41,20,0,,205.0,RR
FH Allen,spin,Death,2,2,41,23,0,,178.26,PBKS
CH Gayle,neutralish,Death,2,2,40,20,0,,200.0,CSK
YK Pathan,spin,Death,1,3,40,20,3,13.33,200.0,KKR
C Connolly,neutralish,Middle,2,1,40,24,0,,166.67,PBKS
VR Iyer,pace,Middle,1,3,40,31,2,20.0,129.03,SRH
DS Airee,spin,Death,1,3,40,21,2,20.0,190.48,CSK
YBK Jaiswal,spin,Middle,2,5,40,40,2,20.0,100.0,RR
R Parag,neutralish,Death,1,4,40,21,3,13.33,190.48,GT
Usman Khan (2),neutralish,Middle,1,1,40,29,1,40.0,137.93,
Abdul Samad,pace,Middle,2,2,40,18,0,,222.22,LSG
TM Head,spin,Middle,2,2,40,37,2,20.0,108.11,
RD Rickelton,pace,Middle,2,1,40,27,0,,148.15,LSG
R Parag,neutralish,Middle,2,2,40,31,0,,129.03,GT
GF Linde,neutralish,Middle,1,3,40,37,2,20.0,108.11,GT
Urvil Patel,pace,Death,1,3,40,19,1,40.0,210.53,MI
VR Iyer,neutralish,Middle,2,3,39,22,0,,177.27,SRH
HH Pandya,neutralish,Death,2,3,39,19,2,19.5,205.26,MI
R Sai Kishore,spin,Death,1,4,39,21,1,39.0,185.71,MI
Chirag Jani,pace,PP,1,4,39,21,1,39.0,185.71,CSK
AM Rahane,neutralish,Middle,1,1,39,24,0,,162.5,MI
JP Inglis,neutralish,Death,2,2,39,21,0,,185.71,GT
YBK Jaiswal,pace,Death,2,3,39,17,0,,229.41,RR
C Green,pace,Death,1,2,39,15,1,39.0,260.0,KKR
Karan Lal,neutralish,Death,2,4,39,26,2,19.5,150.0,RR
V Suryavanshi,neutralish,PP,2,2,39,32,1,39.0,121.88,PBKS
Ishan Kishan,spin,Middle,2,1,39,26,0,,150.0,MI
Karan Shinde,neutralish,Death,1,2,39,18,1,39.0,216.67,RCB
JL Smith,spin,Middle,2,1,39,22,1,39.0,177.27,
Dhruv Jurel,spin,PP,1,2,39,29,1,39.0,134.48,KKR
GD Phillips,spin,Middle,2,3,39,26,2,19.5,150.0,GT
Hassan Nawaz,neutralish,PP,2,3,39,38,0,,102.63,RCB
GJ Maxwell,pace,Death,1,1,39,15,1,39.0,260.0,DC
Smaran Ravichandran,spin,PP,2,7,39,26,4,9.75,150.0,PBKS
Tarang Gohel,spin,PP,1,1,38,20,1,38.0,190.0,DC
JM Sharma,pace,PP,2,2,38,15,1,38.0,253.33,RCB
Sameer Rizvi,neutralish,Middle,2,2,38,25,1,38.0,152.0,LSG
JM Vince,neutralish,Middle,2,1,38,24,0,,158.33,
Sameer Rizvi,neutralish,Death,2,2,38,15,0,,253.33,LSG
V Kohli,neutralish,PP,1,4,38,29,4,9.5,131.03,RR
N Rana,spin,Middle,2,1,38,26,1,38.0,146.15,PBKS
SA Yadav,spin,PP,2,3,38,15,0,,253.33,DC
Akash Vasisht,spin,Death,1,4,38,23,3,12.67,165.22,SRH
Dhruv Jurel,pace,Middle,2,3,38,38,3,12.67,100.0,KKR
Gaurav Puri,spin,Middle,2,3,38,31,1,38.0,122.58,LSG
Shashank Singh,spin,Middle,1,7,38,36,5,7.6,105.56,PBKS
Suryansh Shedge,pace,Death,2,4,38,20,4,9.5,190.0,CSK
