match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,wicket_type,player_dismissed,legal_balls_bowled,legality,bowler_wicket,islegal,isDotforBatter,isOne,isTwo,isThree,isStrikeRotation,isFour,isSix,isBowlerWicket,is_striker_Out,is_nonstriker_Out,isWicket,total_runs,runs_scored,wickets_down,run_rate,last_fow,partnership_runs,isno,is_faced_by_batter,last_fow_run_rate,fours,sixes,striker_batting_position,non_striker_batting_position,runs_conceeded,isDotforbowler,legal_balls_remaining,target,runs_remaining,reqd_run_rate
M001,2025,2025-01-30,DC,1,1,LSG,DC,Shubman Gill,WG Jacks,RA Jadeja,1,0,0,0,0,0,,,1,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,6.0,0.0,1.0,False,1,,0,0,1,2,1,0,,,,
M001,2025,2025-01-30,DC,1,2,LSG,DC,WG Jacks,Shubman Gill,RA Jadeja,0,1,0,0,0,1,,,2,True,False,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,6.0,0.0,2.0,False,1,,0,0,2,1,0,1,,,,
M001,2025,2025-01-30,DC,1,3,LSG,DC,Shubman Gill,WG Jacks,RA Jadeja,1,0,0,0,0,0,,,3,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,3,0,6.0,0.0,3.0,False,1,,0,0,1,2,1,0,,,,
M001,2025,2025-01-30,DC,1,4,LSG,DC,WG Jacks,Shubman Gill,RA Jadeja,0,0,0,0,0,0,,,4,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4.5,0.0,3.0,False,1,,0,0,2,1,0,1,,,,
M001,2025,2025-01-30,DC,1,5,LSG,DC,WG Jacks,Shubman Gill,RA Jadeja,1,0,0,0,0,0,,,5,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,4,0,4.8,0.0,4.0,False,1,,0,0,2,1,1,0,,,,
M001,2025,2025-01-30,DC,1,6,LSG,DC,Shubman Gill,WG Jacks,RA Jadeja,1,0,0,0,0,0,,,6,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,5,0,5.0,0.0,5.0,False,1,,0,0,1,2,1,0,,,,
M001,2025,2025-01-30,DC,1,7,LSG,DC,Shubman Gill,WG Jacks,MM Sharma,1,0,0,0,0,0,,,7,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,6,0,5.142857142857143,0.0,6.0,False,1,,0,0,1,2,1,0,,,,
M001,2025,2025-01-30,DC,1,8,LSG,DC,WG Jacks,Shubman Gill,MM Sharma,1,0,0,0,0,0,,,8,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,7,0,5.25,0.0,7.0,False,1,,0,0,2,1,1,0,,,,
M001,2025,2025-01-30,DC,1,9,LSG,DC,Shubman Gill,WG Jacks,MM Sharma,0,0,0,0,0,0,,,9,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,4.666666666666667,0.0,7.0,False,1,,0,0,1,2,0,1,,,,
M001,2025,2025-01-30,DC,1,10,LSG,DC,Shubman Gill,WG Jacks,MM Sharma,1,0,0,0,0,0,,,10,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,8,0,4.8,0.0,8.0,False,1,,0,0,1,2,1,0,,,,
